1965,Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,
1965,9,Sun,November 14,boxscore,Cleveland Browns,,New York Giants,34,21,459,2,347,2,
1965,9,Sun,November 14,boxscore,San Francisco 49ers,@,Detroit Lions,27,21,324,3,193,3,
1965,9,Sun,November 14,boxscore,Baltimore Colts,@,Minnesota Vikings,41,21,393,0,249,2,
1965,9,Sun,November 14,boxscore,Chicago Bears,,St. Louis Cardinals,34,13,463,2,295,1,
1965,10,Sun,November 21,boxscore,Green Bay Packers,@,Minnesota Vikings,38,13,339,3,364,6,
1965,10,Sun,November 21,boxscore,Cleveland Browns,@,Dallas Cowboys,24,17,200,1,293,3,
1965,10,Sun,November 21,boxscore,San Francisco 49ers,,Los Angeles Rams,30,27,269,3,354,2,
1965,10,Sun,November 21,boxscore,Baltimore Colts,,Philadelphia Eagles,34,24,403,2,250,2,
1965,10,Sun,November 21,boxscore,New York Giants,@,St. Louis Cardinals,28,15,227,1,336,5,
1965,10,Sun,November 21,boxscore,Washington Redskins,@,Pittsburgh Steelers,31,3,199,2,115,7,
1965,10,Sun,November 21,boxscore,Chicago Bears,@,Detroit Lions,17,10,230,1,184,3,
1965,11,Thu,November 25,boxscore,Detroit Lions,,Baltimore Colts,24,24,264,1,280,3,
1965,11,Sun,November 28,boxscore,Los Angeles Rams,,Green Bay Packers,21,10,344,2,254,1,
1965,11,Sun,November 28,boxscore,Cleveland Browns,@,Pittsburgh Steelers,42,21,360,0,358,0,
1965,11,Sun,November 28,boxscore,San Francisco 49ers,@,Minnesota Vikings,45,24,403,3,287,3,
1965,11,Sun,November 28,boxscore,Chicago Bears,@,New York Giants,35,14,370,2,202,3,
1965,11,Sun,November 28,boxscore,Philadelphia Eagles,@,St. Louis Cardinals,28,24,477,4,297,5,
1965,11,Sun,November 28,boxscore,Washington Redskins,,Dallas Cowboys,34,31,415,6,284,2,
1965,12,Sun,December 5,boxscore,New York Giants,,Pittsburgh Steelers,35,10,414,2,184,6,
1965,12,Sun,December 5,boxscore,Cleveland Browns,,Washington Redskins,24,16,284,4,201,3,
1965,12,Sun,December 5,boxscore,Chicago Bears,@,Baltimore Colts,13,0,418,4,222,6,
1965,12,Sun,December 5,boxscore,Los Angeles Rams,@,St. Louis Cardinals,27,3,380,1,166,2,
1965,12,Sun,December 5,boxscore,San Francisco 49ers,,Detroit Lions,17,14,357,1,300,1,
1965,12,Sun,December 5,boxscore,Dallas Cowboys,@,Philadelphia Eagles,21,19,341,2,434,2,
1965,12,Sun,December 5,boxscore,Green Bay Packers,,Minnesota Vikings,24,19,266,4,336,2,
1965,13,Sat,December 11,boxscore,Dallas Cowboys,,St. Louis Cardinals,27,13,403,1,339,0,
1965,13,Sun,December 12,boxscore,Philadelphia Eagles,@,Pittsburgh Steelers,47,13,302,2,324,12,
1965,13,Sun,December 12,boxscore,Los Angeles Rams,,Cleveland Browns,42,7,469,1,119,1,
1965,13,Sun,December 12,boxscore,New York Giants,@,Washington Redskins,27,10,368,2,294,3,
1965,13,Sun,December 12,boxscore,Chicago Bears,,San Francisco 49ers,61,20,584,0,330,2,
1965,13,Sun,December 12,boxscore,Green Bay Packers,@,Baltimore Colts,42,27,366,3,264,3,
1965,13,Sun,December 12,boxscore,Minnesota Vikings,@,Detroit Lions,29,7,274,2,135,4,
1965,14,Sat,December 18,boxscore,Baltimore Colts,@,Los Angeles Rams,20,17,264,0,267,2,
1965,14,Sun,December 19,boxscore,Detroit Lions,@,Philadelphia Eagles,35,28,327,2,93,4,
1965,14,Sun,December 19,boxscore,Washington Redskins,,Pittsburgh Steelers,35,14,177,2,231,5,
1965,14,Sun,December 19,boxscore,Minnesota Vikings,@,Chicago Bears,24,17,284,3,331,3,
1965,14,Sun,December 19,boxscore,Dallas Cowboys,@,New York Giants,38,20,334,2,322,3,
1965,14,Sun,December 19,boxscore,San Francisco 49ers,,Green Bay Packers,24,24,392,5,299,1,
1965,14,Sun,December 19,boxscore,Cleveland Browns,@,St. Louis Cardinals,27,24,287,3,160,4,
1965,,,Playoffs,,,,,,,,,,,
1965,Division,Sun,December 26,boxscore,Green Bay Packers,,Baltimore Colts,13,10,362,4,175,1,
1965,Champ,Sun,January 2,boxscore,Green Bay Packers,,Cleveland Browns,23,12,332,1,161,2,
