1965,Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,
1965,1,Sun,September 19,boxscore,San Francisco 49ers,,Chicago Bears,52,24,485,1,263,2,
1965,1,Sun,September 19,boxscore,Cleveland Browns,@,Washington Redskins,17,7,313,2,232,1,
1965,1,Sun,September 19,boxscore,Green Bay Packers,@,Pittsburgh Steelers,41,9,354,0,193,4,
1965,1,Sun,September 19,boxscore,Dallas Cowboys,,New York Giants,31,2,270,1,139,4,
1965,1,Sun,September 19,boxscore,Detroit Lions,,Los Angeles Rams,20,0,324,2,119,4,
1965,1,Sun,September 19,boxscore,Philadelphia Eagles,,St. Louis Cardinals,34,27,358,0,357,1,
1965,1,Sun,September 19,boxscore,Baltimore Colts,,Minnesota Vikings,35,16,310,2,263,2,
1965,2,Sat,September 25,boxscore,Los Angeles Rams,,Chicago Bears,30,28,389,2,224,2,
1965,2,Sun,September 26,boxscore,New York Giants,@,Philadelphia Eagles,16,14,280,0,296,1,
1965,2,Sun,September 26,boxscore,Dallas Cowboys,,Washington Redskins,27,7,297,1,274,5,
1965,2,Sun,September 26,boxscore,Green Bay Packers,,Baltimore Colts,20,17,184,3,309,6,
1965,2,Sun,September 26,boxscore,Detroit Lions,@,Minnesota Vikings,31,29,224,1,286,3,
1965,2,Sun,September 26,boxscore,San Francisco 49ers,,Pittsburgh Steelers,27,17,401,3,250,2,
1965,2,Sun,September 26,boxscore,St. Louis Cardinals,@,Cleveland Browns,49,13,489,2,290,6,
1965,3,Sun,October 3,boxscore,New York Giants,@,Pittsburgh Steelers,23,13,344,0,323,3,
1965,3,Sun,October 3,boxscore,Baltimore Colts,,San Francisco 49ers,27,24,341,3,352,3,
1965,3,Sun,October 3,boxscore,Cleveland Browns,@,Philadelphia Eagles,35,17,314,1,345,6,
1965,3,Sun,October 3,boxscore,Minnesota Vikings,@,Los Angeles Rams,38,35,392,1,361,3,
1965,3,Sun,October 3,boxscore,Green Bay Packers,,Chicago Bears,23,14,299,0,413,2,
1965,3,Sun,October 3,boxscore,Detroit Lions,,Washington Redskins,14,10,118,6,196,8,
1965,3,Mon,October 4,boxscore,St. Louis Cardinals,,Dallas Cowboys,20,13,353,3,181,3,
1965,4,Sat,October 9,boxscore,Cleveland Browns,,Pittsburgh Steelers,24,19,375,0,252,3,
1965,4,Sat,October 9,boxscore,Minnesota Vikings,,New York Giants,40,14,360,1,245,3,
1965,4,Sun,October 10,boxscore,Chicago Bears,,Los Angeles Rams,31,6,390,2,284,5,
1965,4,Sun,October 10,boxscore,Philadelphia Eagles,@,Dallas Cowboys,35,24,396,0,298,3,
1965,4,Sun,October 10,boxscore,Green Bay Packers,,San Francisco 49ers,27,10,339,2,279,1,
1965,4,Sun,October 10,boxscore,Baltimore Colts,,Detroit Lions,31,7,363,2,155,4,
1965,4,Sun,October 10,boxscore,St. Louis Cardinals,@,Washington Redskins,37,16,403,2,240,4,
1965,5,Sun,October 17,boxscore,Cleveland Browns,,Dallas Cowboys,23,17,335,1,264,1,
1965,5,Sun,October 17,boxscore,Baltimore Colts,@,Washington Redskins,38,7,273,1,268,2,
1965,5,Sun,October 17,boxscore,Green Bay Packers,@,Detroit Lions,31,21,374,1,296,3,
1965,5,Sun,October 17,boxscore,St. Louis Cardinals,@,Pittsburgh Steelers,20,7,344,3,142,4,
1965,5,Sun,October 17,boxscore,New York Giants,,Philadelphia Eagles,35,27,398,1,440,5,
1965,5,Sun,October 17,boxscore,Chicago Bears,@,Minnesota Vikings,45,37,316,1,413,5,
1965,5,Sun,October 17,boxscore,San Francisco 49ers,@,Los Angeles Rams,45,21,386,5,221,2,
1965,6,Sun,October 24,boxscore,Green Bay Packers,,Dallas Cowboys,13,3,63,0,192,5,
1965,6,Sun,October 24,boxscore,Cleveland Browns,@,New York Giants,38,14,526,1,312,3,
1965,6,Sun,October 24,boxscore,Washington Redskins,@,St. Louis Cardinals,24,20,251,1,309,2,
1965,6,Sun,October 24,boxscore,Minnesota Vikings,@,San Francisco 49ers,42,41,549,4,438,2,
1965,6,Sun,October 24,boxscore,Baltimore Colts,,Los Angeles Rams,35,20,356,2,226,3,
1965,6,Sun,October 24,boxscore,Pittsburgh Steelers,@,Philadelphia Eagles,20,14,132,2,388,5,
1965,6,Sun,October 24,boxscore,Chicago Bears,,Detroit Lions,38,10,290,2,260,5,
1965,7,Sun,October 31,boxscore,Pittsburgh Steelers,,Dallas Cowboys,22,13,314,2,255,3,
1965,7,Sun,October 31,boxscore,Baltimore Colts,@,San Francisco 49ers,34,28,418,2,443,3,
1965,7,Sun,October 31,boxscore,New York Giants,,St. Louis Cardinals,14,10,259,1,438,2,
1965,7,Sun,October 31,boxscore,Minnesota Vikings,@,Cleveland Browns,27,17,408,1,167,0,
1965,7,Sun,October 31,boxscore,Washington Redskins,,Philadelphia Eagles,23,21,359,1,268,1,
1965,7,Sun,October 31,boxscore,Detroit Lions,@,Los Angeles Rams,31,7,343,2,303,9,
1965,7,Sun,October 31,boxscore,Chicago Bears,,Green Bay Packers,31,10,265,3,219,4,
1965,8,Sun,November 7,boxscore,Dallas Cowboys,,San Francisco 49ers,39,31,242,3,411,5,
1965,8,Sun,November 7,boxscore,Washington Redskins,@,New York Giants,23,7,283,2,224,5,
1965,8,Sun,November 7,boxscore,Baltimore Colts,@,Chicago Bears,26,21,402,4,340,2,
1965,8,Sun,November 7,boxscore,St. Louis Cardinals,,Pittsburgh Steelers,21,17,276,0,339,1,
1965,8,Sun,November 7,boxscore,Minnesota Vikings,,Los Angeles Rams,24,13,359,2,320,1,
1965,8,Sun,November 7,boxscore,Detroit Lions,@,Green Bay Packers,12,7,180,4,68,3,
1965,8,Sun,November 7,boxscore,Cleveland Browns,,Philadelphia Eagles,38,34,369,3,582,2,
1965,9,Sun,November 14,boxscore,Philadelphia Eagles,,Washington Redskins,21,14,383,2,219,1,
1965,9,Sun,November 14,boxscore,Green Bay Packers,,Los Angeles Rams,6,3,177,1,142,4,
1965,9,Sun,November 14,boxscore,Dallas Cowboys,,Pittsburgh Steelers,24,17,341,5,197,6,
