1967,Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,
1967,1,Sun,September 17,boxscore,Baltimore Colts,,Atlanta Falcons,38,31,508,2,303,5,
1967,1,Sun,September 17,boxscore,Philadelphia Eagles,,Washington Redskins,35,24,426,2,388,1,
1967,1,Sun,September 17,boxscore,Los Angeles Rams,@,New Orleans Saints,27,13,462,1,299,3,
1967,1,Sun,September 17,boxscore,Pittsburgh Steelers,,Chicago Bears,41,13,393,2,95,6,
1967,1,Sun,September 17,boxscore,Green Bay Packers,,Detroit Lions,17,17,306,5,233,1,
1967,1,Sun,September 17,boxscore,New York Giants,@,St. Louis Cardinals,37,20,336,0,358,6,
1967,1,Sun,September 17,boxscore,Dallas Cowboys,@,Cleveland Browns,21,14,370,4,221,3,
1967,1,Sun,September 17,boxscore,San Francisco 49ers,@,Minnesota Vikings,27,21,360,1,335,3,
1967,2,Fri,September 22,boxscore,Los Angeles Rams,,Minnesota Vikings,39,3,237,2,224,6,
1967,2,Sun,September 24,boxscore,Detroit Lions,,Cleveland Browns,31,14,461,0,269,3,
1967,2,Sun,September 24,boxscore,Green Bay Packers,,Chicago Bears,13,10,365,8,159,1,
1967,2,Sun,September 24,boxscore,Washington Redskins,@,New Orleans Saints,30,10,369,1,290,0,
1967,2,Sun,September 24,boxscore,Baltimore Colts,@,Philadelphia Eagles,38,6,345,0,299,4,
1967,2,Sun,September 24,boxscore,Dallas Cowboys,,New York Giants,38,24,414,1,266,3,
1967,2,Sun,September 24,boxscore,St. Louis Cardinals,@,Pittsburgh Steelers,28,14,283,1,237,6,
1967,2,Sun,September 24,boxscore,San Francisco 49ers,,Atlanta Falcons,38,7,517,2,97,1,
1967,3,Sun,October 1,boxscore,Baltimore Colts,,San Francisco 49ers,41,7,524,0,240,2,
1967,3,Sun,October 1,boxscore,Cleveland Browns,@,New Orleans Saints,42,7,421,4,266,5,
1967,3,Sun,October 1,boxscore,Los Angeles Rams,@,Dallas Cowboys,35,13,356,1,272,4,
1967,3,Sun,October 1,boxscore,St. Louis Cardinals,,Detroit Lions,38,28,403,1,310,3,
1967,3,Sun,October 1,boxscore,Washington Redskins,,New York Giants,38,34,405,2,520,3,
1967,3,Sun,October 1,boxscore,Philadelphia Eagles,,Pittsburgh Steelers,34,24,319,1,318,3,
1967,3,Sun,October 1,boxscore,Chicago Bears,@,Minnesota Vikings,17,7,221,0,200,2,
1967,3,Sun,October 1,boxscore,Green Bay Packers,,Atlanta Falcons,23,0,382,2,58,2,
1967,4,Sat,October 7,boxscore,Cleveland Browns,,Pittsburgh Steelers,21,10,361,3,278,4,
1967,4,Sun,October 8,boxscore,St. Louis Cardinals,@,Minnesota Vikings,34,24,412,3,337,3,
1967,4,Sun,October 8,boxscore,Dallas Cowboys,@,Washington Redskins,17,14,320,2,253,3,
1967,4,Sun,October 8,boxscore,Philadelphia Eagles,@,Atlanta Falcons,38,7,380,0,308,6,
1967,4,Sun,October 8,boxscore,San Francisco 49ers,@,Los Angeles Rams,27,24,335,3,253,6,
1967,4,Sun,October 8,boxscore,Baltimore Colts,@,Chicago Bears,24,3,219,4,272,5,
1967,4,Sun,October 8,boxscore,New York Giants,,New Orleans Saints,27,21,535,1,210,1,
1967,4,Sun,October 8,boxscore,Green Bay Packers,@,Detroit Lions,27,17,249,4,122,5,
1967,5,Sun,October 15,boxscore,San Francisco 49ers,@,Philadelphia Eagles,28,27,386,0,244,0,
1967,5,Sun,October 15,boxscore,Minnesota Vikings,@,Green Bay Packers,10,7,183,2,268,3,
1967,5,Sun,October 15,boxscore,Dallas Cowboys,,New Orleans Saints,14,10,234,3,207,3,
1967,5,Sun,October 15,boxscore,New York Giants,@,Pittsburgh Steelers,27,24,381,2,259,2,
1967,5,Sun,October 15,boxscore,Washington Redskins,@,Atlanta Falcons,20,20,415,3,323,2,
1967,5,Sun,October 15,boxscore,Cleveland Browns,,St. Louis Cardinals,20,16,223,1,349,5,
1967,5,Sun,October 15,boxscore,Chicago Bears,,Detroit Lions,14,3,265,3,168,3,
1967,5,Sun,October 15,boxscore,Los Angeles Rams,@,Baltimore Colts,24,24,410,1,368,2,
1967,6,Sun,October 22,boxscore,Detroit Lions,,Atlanta Falcons,24,3,250,1,223,1,
1967,6,Sun,October 22,boxscore,Dallas Cowboys,@,Pittsburgh Steelers,24,21,378,1,379,2,
1967,6,Sun,October 22,boxscore,Washington Redskins,@,Los Angeles Rams,28,28,354,0,438,1,
1967,6,Sun,October 22,boxscore,St. Louis Cardinals,,Philadelphia Eagles,48,14,416,0,319,2,
1967,6,Sun,October 22,boxscore,Minnesota Vikings,,Baltimore Colts,20,20,310,0,343,1,
1967,6,Sun,October 22,boxscore,Cleveland Browns,,Chicago Bears,24,0,347,1,136,2,
1967,6,Sun,October 22,boxscore,San Francisco 49ers,,New Orleans Saints,27,13,318,1,200,2,
1967,6,Sun,October 22,boxscore,Green Bay Packers,@,New York Giants,48,21,397,0,324,4,
1967,7,Sun,October 29,boxscore,Pittsburgh Steelers,@,New Orleans Saints,14,10,267,4,308,1,
1967,7,Sun,October 29,boxscore,New York Giants,,Cleveland Browns,38,34,386,2,369,4,
1967,7,Sun,October 29,boxscore,Los Angeles Rams,@,Chicago Bears,28,17,309,3,180,4,
1967,7,Sun,October 29,boxscore,Detroit Lions,@,San Francisco 49ers,45,3,391,2,173,6,
1967,7,Sun,October 29,boxscore,Philadelphia Eagles,,Dallas Cowboys,21,14,341,6,306,5,
1967,7,Sun,October 29,boxscore,Atlanta Falcons,,Minnesota Vikings,21,20,186,2,314,2,
1967,7,Sun,October 29,boxscore,Baltimore Colts,@,Washington Redskins,17,13,351,2,322,3,
1967,7,Mon,October 30,boxscore,Green Bay Packers,@,St. Louis Cardinals,31,23,246,2,405,2,
1967,8,Sun,November 5,boxscore,New Orleans Saints,,Philadelphia Eagles,31,24,249,2,359,2,
1967,8,Sun,November 5,boxscore,Los Angeles Rams,@,San Francisco 49ers,17,7,152,0,257,3,
1967,8,Sun,November 5,boxscore,Minnesota Vikings,,New York Giants,27,24,304,3,403,2,
1967,8,Sun,November 5,boxscore,Chicago Bears,@,Detroit Lions,27,13,180,2,174,4,
1967,8,Sun,November 5,boxscore,Baltimore Colts,,Green Bay Packers,13,10,237,2,265,1,
1967,8,Sun,November 5,boxscore,Dallas Cowboys,,Atlanta Falcons,37,7,324,2,223,5,
1967,8,Sun,November 5,boxscore,St. Louis Cardinals,@,Washington Redskins,27,21,414,2,219,3,
1967,8,Sun,November 5,boxscore,Cleveland Browns,@,Pittsburgh Steelers,34,14,313,1,301,3,
1967,9,Sun,November 12,boxscore,Minnesota Vikings,,Detroit Lions,10,10,177,1,366,6,
1967,9,Sun,November 12,boxscore,Los Angeles Rams,,Philadelphia Eagles,33,17,394,4,257,5,
1967,9,Sun,November 12,boxscore,Dallas Cowboys,@,New Orleans Saints,27,10,380,2,211,3,
1967,9,Sun,November 12,boxscore,Chicago Bears,,New York Giants,34,7,264,1,161,4,
1967,9,Sun,November 12,boxscore,Pittsburgh Steelers,@,St. Louis Cardinals,14,14,274,1,258,3,
1967,9,Sun,November 12,boxscore,Washington Redskins,,San Francisco 49ers,31,28,420,3,294,3,
1967,9,Sun,November 12,boxscore,Green Bay Packers,,Cleveland Browns,55,7,456,1,228,7,
