1964,Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,
1964,1,Sat,September 12,boxscore,St. Louis Cardinals,@,Dallas Cowboys,16,6,271,2,275,3,
1964,1,Sun,September 13,boxscore,Green Bay Packers,,Chicago Bears,23,12,294,3,129,2,
1964,1,Sun,September 13,boxscore,Los Angeles Rams,@,Pittsburgh Steelers,26,14,175,1,167,8,
1964,1,Sun,September 13,boxscore,Cleveland Browns,@,Washington Redskins,27,13,255,3,307,4,
1964,1,Sun,September 13,boxscore,Philadelphia Eagles,,New York Giants,38,7,253,1,204,4,
1964,1,Sun,September 13,boxscore,Detroit Lions,@,San Francisco 49ers,26,17,372,1,219,1,
1964,1,Sun,September 13,boxscore,Minnesota Vikings,,Baltimore Colts,34,24,463,3,230,1,
1964,2,Sat,September 19,boxscore,Los Angeles Rams,,Detroit Lions,17,17,309,2,187,4,
1964,2,Sun,September 20,boxscore,Baltimore Colts,@,Green Bay Packers,21,20,261,1,308,4,
1964,2,Sun,September 20,boxscore,Pittsburgh Steelers,,New York Giants,27,24,214,2,356,2,
1964,2,Sun,September 20,boxscore,San Francisco 49ers,@,Philadelphia Eagles,28,24,352,3,364,2,
1964,2,Sun,September 20,boxscore,St. Louis Cardinals,@,Cleveland Browns,33,33,344,3,281,3,
1964,2,Sun,September 20,boxscore,Dallas Cowboys,,Washington Redskins,24,18,335,4,207,2,
1964,2,Sun,September 20,boxscore,Chicago Bears,@,Minnesota Vikings,34,28,432,1,413,3,
1964,3,Fri,September 25,boxscore,New York Giants,,Washington Redskins,13,10,235,3,271,3,
1964,3,Sun,September 27,boxscore,Pittsburgh Steelers,,Dallas Cowboys,23,17,291,0,320,2,
1964,3,Sun,September 27,boxscore,Cleveland Browns,@,Philadelphia Eagles,28,20,362,1,337,4,
1964,3,Sun,September 27,boxscore,Los Angeles Rams,,Minnesota Vikings,22,13,379,1,214,1,
1964,3,Sun,September 27,boxscore,St. Louis Cardinals,@,San Francisco 49ers,23,13,296,1,235,2,
1964,3,Sun,September 27,boxscore,Baltimore Colts,,Chicago Bears,52,0,456,1,241,3,
1964,3,Mon,September 28,boxscore,Green Bay Packers,@,Detroit Lions,14,10,289,1,196,2,
1964,4,Sun,October 4,boxscore,St. Louis Cardinals,@,Washington Redskins,23,17,454,4,208,2,
1964,4,Sun,October 4,boxscore,Baltimore Colts,,Los Angeles Rams,35,20,389,0,257,1,
1964,4,Sun,October 4,boxscore,Detroit Lions,,New York Giants,26,3,413,0,167,3,
1964,4,Sun,October 4,boxscore,Minnesota Vikings,@,Green Bay Packers,24,23,332,1,325,1,
1964,4,Sun,October 4,boxscore,Philadelphia Eagles,,Pittsburgh Steelers,21,7,452,1,293,2,
1964,4,Sun,October 4,boxscore,San Francisco 49ers,,Chicago Bears,31,21,320,0,253,2,
1964,4,Sun,October 4,boxscore,Cleveland Browns,,Dallas Cowboys,27,6,367,2,239,1,
1964,5,Sat,October 10,boxscore,Pittsburgh Steelers,@,Cleveland Browns,23,7,477,1,217,0,
1964,5,Sun,October 11,boxscore,Washington Redskins,,Philadelphia Eagles,35,20,434,2,221,3,
1964,5,Sun,October 11,boxscore,Chicago Bears,,Los Angeles Rams,38,17,328,0,263,6,
1964,5,Sun,October 11,boxscore,Detroit Lions,@,Minnesota Vikings,24,20,272,4,241,4,
1964,5,Sun,October 11,boxscore,New York Giants,@,Dallas Cowboys,13,13,128,2,463,6,
1964,5,Sun,October 11,boxscore,Green Bay Packers,,San Francisco 49ers,24,14,336,1,270,2,
1964,5,Mon,October 12,boxscore,Baltimore Colts,,St. Louis Cardinals,47,27,382,1,248,2,
1964,6,Sun,October 18,boxscore,St. Louis Cardinals,,Washington Redskins,38,24,366,4,264,3,
1964,6,Sun,October 18,boxscore,Detroit Lions,@,Chicago Bears,10,0,207,1,207,4,
1964,6,Sun,October 18,boxscore,Minnesota Vikings,,Pittsburgh Steelers,30,10,310,1,227,2,
1964,6,Sun,October 18,boxscore,Philadelphia Eagles,@,New York Giants,23,17,167,2,194,4,
1964,6,Sun,October 18,boxscore,Cleveland Browns,@,Dallas Cowboys,20,16,264,3,332,5,
1964,6,Sun,October 18,boxscore,Los Angeles Rams,,San Francisco 49ers,42,14,291,3,438,7,
1964,6,Sun,October 18,boxscore,Baltimore Colts,,Green Bay Packers,24,21,258,1,401,1,
1964,7,Sun,October 25,boxscore,Baltimore Colts,@,Detroit Lions,34,0,315,2,247,4,
1964,7,Sun,October 25,boxscore,Minnesota Vikings,@,San Francisco 49ers,27,22,215,3,392,8,
1964,7,Sun,October 25,boxscore,Philadelphia Eagles,@,Pittsburgh Steelers,34,10,391,2,305,2,
1964,7,Sun,October 25,boxscore,Washington Redskins,,Chicago Bears,27,20,214,2,321,3,
1964,7,Sun,October 25,boxscore,Los Angeles Rams,@,Green Bay Packers,27,17,281,5,179,1,
1964,7,Sun,October 25,boxscore,Cleveland Browns,,New York Giants,42,20,225,3,426,6,
1964,7,Sun,October 25,boxscore,Dallas Cowboys,@,St. Louis Cardinals,31,13,276,1,264,4,
1964,8,Sun,November 1,boxscore,Detroit Lions,,Los Angeles Rams,37,17,395,0,346,3,
1964,8,Sun,November 1,boxscore,Green Bay Packers,@,Minnesota Vikings,42,13,350,0,167,2,
1964,8,Sun,November 1,boxscore,Dallas Cowboys,@,Chicago Bears,24,10,271,4,263,4,
1964,8,Sun,November 1,boxscore,Baltimore Colts,,San Francisco 49ers,37,7,384,2,221,4,
1964,8,Sun,November 1,boxscore,Washington Redskins,@,Philadelphia Eagles,21,10,209,1,244,6,
1964,8,Sun,November 1,boxscore,Cleveland Browns,@,Pittsburgh Steelers,30,17,412,1,251,2,
1964,8,Sun,November 1,boxscore,New York Giants,,St. Louis Cardinals,34,17,434,1,342,4,
1964,9,Sun,November 8,boxscore,Green Bay Packers,,Detroit Lions,30,7,407,0,214,3,
1964,9,Sun,November 8,boxscore,Cleveland Browns,,Washington Redskins,34,24,385,1,362,1,
1964,9,Sun,November 8,boxscore,Baltimore Colts,@,Chicago Bears,40,24,479,0,377,4,
1964,9,Sun,November 8,boxscore,Minnesota Vikings,,San Francisco 49ers,24,7,396,2,237,2,
1964,9,Sun,November 8,boxscore,St. Louis Cardinals,,Pittsburgh Steelers,34,30,351,1,355,3,
1964,9,Sun,November 8,boxscore,Los Angeles Rams,,Philadelphia Eagles,20,10,382,2,277,0,
1964,9,Sun,November 8,boxscore,Dallas Cowboys,@,New York Giants,31,21,242,3,301,5,
1964,10,Sun,November 15,boxscore,Chicago Bears,@,Los Angeles Rams,34,24,394,1,359,3,
1964,10,Sun,November 15,boxscore,Cleveland Browns,,Detroit Lions,37,21,370,2,331,3,
1964,10,Sun,November 15,boxscore,Washington Redskins,@,Pittsburgh Steelers,30,0,286,3,267,5,
1964,10,Sun,November 15,boxscore,New York Giants,@,St. Louis Cardinals,10,10,212,3,143,3,
1964,10,Sun,November 15,boxscore,Baltimore Colts,,Minnesota Vikings,17,14,381,0,306,3,
1964,10,Sun,November 15,boxscore,Philadelphia Eagles,@,Dallas Cowboys,17,14,300,2,223,1,
1964,10,Sun,November 15,boxscore,San Francisco 49ers,,Green Bay Packers,24,14,212,4,363,3,
1964,11,Sun,November 22,boxscore,Pittsburgh Steelers,@,New York Giants,44,17,429,2,305,4,
1964,11,Sun,November 22,boxscore,Green Bay Packers,,Cleveland Browns,28,21,285,0,302,4,
1964,11,Sun,November 22,boxscore,Minnesota Vikings,@,Detroit Lions,23,23,230,3,289,6,
1964,11,Sun,November 22,boxscore,Baltimore Colts,@,Los Angeles Rams,24,7,285,0,131,0,
1964,11,Sun,November 22,boxscore,Chicago Bears,,San Francisco 49ers,23,21,370,0,323,2,
1964,11,Sun,November 22,boxscore,St. Louis Cardinals,@,Philadelphia Eagles,38,13,460,2,343,7,
1964,11,Sun,November 22,boxscore,Washington Redskins,,Dallas Cowboys,28,16,366,3,196,5,
1964,12,Thu,November 26,boxscore,Chicago Bears,@,Detroit Lions,27,24,313,2,220,2,
1964,12,Sun,November 29,boxscore,Cleveland Browns,,Philadelphia Eagles,38,24,302,1,383,4,
1964,12,Sun,November 29,boxscore,Baltimore Colts,@,San Francisco 49ers,14,3,239,2,246,8,
1964,12,Sun,November 29,boxscore,St. Louis Cardinals,@,Pittsburgh Steelers,21,20,204,5,279,4,
1964,12,Sun,November 29,boxscore,Minnesota Vikings,,Los Angeles Rams,34,13,257,1,309,5,
1964,12,Sun,November 29,boxscore,Washington Redskins,,New York Giants,36,21,464,2,243,6,
1964,12,Sun,November 29,boxscore,Green Bay Packers,@,Dallas Cowboys,45,21,246,2,132,6,
1964,13,Sat,December 5,boxscore,Green Bay Packers,@,Chicago Bears,17,3,234,2,197,5,
1964,13,Sun,December 6,boxscore,St. Louis Cardinals,,Cleveland Browns,28,19,309,2,337,2,
1964,13,Sun,December 6,boxscore,Pittsburgh Steelers,@,Washington Redskins,14,7,180,3,184,2,
1964,13,Sun,December 6,boxscore,San Francisco 49ers,,Los Angeles Rams,28,7,321,3,198,4,
1964,13,Sun,December 6,boxscore,Detroit Lions,@,Baltimore Colts,31,14,302,1,362,3,
1964,13,Sun,December 6,boxscore,Minnesota Vikings,@,New York Giants,30,21,330,2,335,2,
1964,13,Sun,December 6,boxscore,Philadelphia Eagles,,Dallas Cowboys,24,14,257,2,132,1,
1964,14,Sat,December 12,boxscore,Cleveland Browns,@,New York Giants,52,20,407,0,339,4,
1964,14,Sun,December 13,boxscore,Detroit Lions,,San Francisco 49ers,24,7,327,3,287,0,
1964,14,Sun,December 13,boxscore,Dallas Cowboys,,Pittsburgh Steelers,17,14,268,1,225,5,
