1966,Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,
1966,1,Sat,September 10,boxscore,Green Bay Packers,,Baltimore Colts,24,3,292,1,213,3,
1966,1,Sun,September 11,boxscore,Los Angeles Rams,@,Atlanta Falcons,19,14,421,2,237,2,
1966,1,Sun,September 11,boxscore,Detroit Lions,,Chicago Bears,14,3,208,3,256,3,
1966,1,Sun,September 11,boxscore,Cleveland Browns,@,Washington Redskins,38,14,307,3,315,6,
1966,1,Sun,September 11,boxscore,Pittsburgh Steelers,,New York Giants,34,34,404,3,279,5,
1966,1,Sun,September 11,boxscore,St. Louis Cardinals,,Philadelphia Eagles,16,13,278,1,254,0,
1966,1,Sun,September 11,boxscore,San Francisco 49ers,,Minnesota Vikings,20,20,307,1,298,1,
1966,2,Fri,September 16,boxscore,Los Angeles Rams,,Chicago Bears,31,17,294,4,239,3,
1966,2,Sun,September 18,boxscore,Dallas Cowboys,,New York Giants,52,7,518,1,257,4,
1966,2,Sun,September 18,boxscore,Green Bay Packers,@,Cleveland Browns,21,20,356,2,266,1,
1966,2,Sun,September 18,boxscore,Pittsburgh Steelers,,Detroit Lions,17,3,256,1,158,4,
1966,2,Sun,September 18,boxscore,St. Louis Cardinals,,Washington Redskins,23,7,382,2,217,3,
1966,2,Sun,September 18,boxscore,Baltimore Colts,@,Minnesota Vikings,38,23,346,2,337,3,
1966,2,Sun,September 18,boxscore,Philadelphia Eagles,,Atlanta Falcons,23,10,340,2,298,3,
1966,3,Sun,September 25,boxscore,Dallas Cowboys,,Minnesota Vikings,28,17,314,0,389,1,
1966,3,Sun,September 25,boxscore,Washington Redskins,@,Pittsburgh Steelers,33,27,320,2,278,6,
1966,3,Sun,September 25,boxscore,St. Louis Cardinals,@,Cleveland Browns,34,28,313,5,373,1,
1966,3,Sun,September 25,boxscore,Philadelphia Eagles,,New York Giants,35,17,271,0,386,1,
1966,3,Sun,September 25,boxscore,Green Bay Packers,,Los Angeles Rams,24,13,327,5,173,2,
1966,3,Sun,September 25,boxscore,Detroit Lions,,Atlanta Falcons,28,10,344,3,259,3,
1966,3,Sun,September 25,boxscore,Baltimore Colts,,San Francisco 49ers,36,14,379,2,250,1,
1966,4,Fri,September 30,boxscore,Los Angeles Rams,,San Francisco 49ers,34,3,356,1,251,5,
1966,4,Sun,October 2,boxscore,Chicago Bears,@,Minnesota Vikings,13,10,283,2,284,3,
1966,4,Sun,October 2,boxscore,Dallas Cowboys,@,Atlanta Falcons,47,14,363,2,276,5,
1966,4,Sun,October 2,boxscore,Washington Redskins,,Pittsburgh Steelers,24,10,333,0,249,4,
1966,4,Sun,October 2,boxscore,St. Louis Cardinals,@,Philadelphia Eagles,41,10,147,1,230,5,
1966,4,Sun,October 2,boxscore,Cleveland Browns,@,New York Giants,28,7,418,1,274,6,
1966,4,Sun,October 2,boxscore,Green Bay Packers,,Detroit Lions,23,14,251,0,349,5,
1966,5,Sat,October 8,boxscore,Cleveland Browns,,Pittsburgh Steelers,41,10,467,2,204,6,
1966,5,Sun,October 9,boxscore,Chicago Bears,,Baltimore Colts,27,17,315,1,364,4,
1966,5,Sun,October 9,boxscore,Dallas Cowboys,,Philadelphia Eagles,56,7,652,0,217,1,
1966,5,Sun,October 9,boxscore,Los Angeles Rams,@,Detroit Lions,14,7,369,3,283,6,
1966,5,Sun,October 9,boxscore,St. Louis Cardinals,,New York Giants,24,19,268,2,271,2,
1966,5,Sun,October 9,boxscore,San Francisco 49ers,,Green Bay Packers,21,20,248,1,368,2,
1966,5,Sun,October 9,boxscore,Washington Redskins,,Atlanta Falcons,33,20,432,0,268,2,
1966,6,Sun,October 16,boxscore,Baltimore Colts,,Detroit Lions,45,14,420,2,293,4,
1966,6,Sun,October 16,boxscore,Minnesota Vikings,,Los Angeles Rams,35,7,378,1,230,3,
1966,6,Sun,October 16,boxscore,Green Bay Packers,@,Chicago Bears,17,0,180,2,94,4,
1966,6,Sun,October 16,boxscore,New York Giants,,Washington Redskins,13,10,325,1,188,2,
1966,6,Sun,October 16,boxscore,Dallas Cowboys,@,St. Louis Cardinals,10,10,326,4,175,0,
1966,6,Sun,October 16,boxscore,Philadelphia Eagles,@,Pittsburgh Steelers,31,14,281,3,178,3,
1966,6,Sun,October 16,boxscore,San Francisco 49ers,@,Atlanta Falcons,44,7,504,1,215,4,
1966,7,Sun,October 23,boxscore,Chicago Bears,,Los Angeles Rams,17,10,287,2,203,2,
1966,7,Sun,October 23,boxscore,Baltimore Colts,,Minnesota Vikings,20,17,347,2,317,1,
1966,7,Sun,October 23,boxscore,Cleveland Browns,,Dallas Cowboys,30,21,264,0,413,4,
1966,7,Sun,October 23,boxscore,Washington Redskins,,St. Louis Cardinals,26,20,291,1,251,5,
1966,7,Sun,October 23,boxscore,Philadelphia Eagles,@,New York Giants,31,3,316,3,228,5,
1966,7,Sun,October 23,boxscore,San Francisco 49ers,,Detroit Lions,27,24,359,4,314,2,
1966,7,Sun,October 23,boxscore,Green Bay Packers,,Atlanta Falcons,56,3,357,0,216,4,
1966,8,Sun,October 30,boxscore,Dallas Cowboys,,Pittsburgh Steelers,52,21,425,3,119,4,
1966,8,Sun,October 30,boxscore,Baltimore Colts,@,Los Angeles Rams,17,3,322,3,340,6,
1966,8,Sun,October 30,boxscore,Minnesota Vikings,,San Francisco 49ers,28,3,559,2,154,3,
1966,8,Sun,October 30,boxscore,Green Bay Packers,@,Detroit Lions,31,7,344,2,317,5,
1966,8,Sun,October 30,boxscore,Cleveland Browns,@,Atlanta Falcons,49,17,508,1,321,3,
1966,8,Sun,October 30,boxscore,Washington Redskins,@,Philadelphia Eagles,27,13,260,3,257,2,
1966,8,Mon,October 31,boxscore,St. Louis Cardinals,,Chicago Bears,24,17,166,3,282,4,
1966,9,Sun,November 6,boxscore,Philadelphia Eagles,,Dallas Cowboys,24,23,80,3,240,2,
1966,9,Sun,November 6,boxscore,Detroit Lions,@,Chicago Bears,10,10,255,1,282,0,
1966,9,Sun,November 6,boxscore,Pittsburgh Steelers,,Cleveland Browns,16,6,267,0,307,6,
1966,9,Sun,November 6,boxscore,Baltimore Colts,,Washington Redskins,37,10,520,2,272,4,
1966,9,Sun,November 6,boxscore,San Francisco 49ers,,Los Angeles Rams,21,13,358,2,142,1,
1966,9,Sun,November 6,boxscore,Minnesota Vikings,@,Green Bay Packers,20,17,290,0,292,1,
1966,9,Sun,November 6,boxscore,St. Louis Cardinals,@,New York Giants,20,17,264,2,210,2,
1966,10,Sun,November 13,boxscore,Dallas Cowboys,@,Washington Redskins,31,30,515,3,341,0,
1966,10,Sun,November 13,boxscore,Baltimore Colts,@,Atlanta Falcons,19,7,200,3,241,7,
1966,10,Sun,November 13,boxscore,Los Angeles Rams,,New York Giants,55,14,572,1,103,3,
1966,10,Sun,November 13,boxscore,San Francisco 49ers,@,Chicago Bears,30,30,423,3,220,1,
1966,10,Sun,November 13,boxscore,Cleveland Browns,,Philadelphia Eagles,27,7,345,0,290,4,
1966,10,Sun,November 13,boxscore,Pittsburgh Steelers,,St. Louis Cardinals,30,9,150,3,251,4,
1966,10,Sun,November 13,boxscore,Detroit Lions,@,Minnesota Vikings,32,31,268,4,232,5,
1966,11,Sun,November 20,boxscore,Dallas Cowboys,@,Pittsburgh Steelers,20,7,258,1,163,3,
1966,11,Sun,November 20,boxscore,Detroit Lions,,Baltimore Colts,20,14,281,4,289,6,
1966,11,Sun,November 20,boxscore,Atlanta Falcons,@,New York Giants,27,16,289,1,303,4,
1966,11,Sun,November 20,boxscore,Cleveland Browns,,Washington Redskins,14,3,271,2,327,4,
1966,11,Sun,November 20,boxscore,Los Angeles Rams,,Minnesota Vikings,21,6,228,1,186,4,
1966,11,Sun,November 20,boxscore,Green Bay Packers,,Chicago Bears,13,6,296,2,160,4,
1966,11,Sun,November 20,boxscore,Philadelphia Eagles,@,San Francisco 49ers,35,34,289,5,404,5,
1966,12,Thu,November 24,boxscore,Dallas Cowboys,,Cleveland Browns,26,14,304,0,321,1,
1966,12,Thu,November 24,boxscore,San Francisco 49ers,@,Detroit Lions,41,14,487,3,196,2,
1966,12,Sun,November 27,boxscore,Chicago Bears,,Atlanta Falcons,23,6,476,4,167,3,
1966,12,Sun,November 27,boxscore,Green Bay Packers,@,Minnesota Vikings,28,16,304,1,322,2,
1966,12,Sun,November 27,boxscore,Washington Redskins,,New York Giants,72,41,341,2,389,6,
1966,12,Sun,November 27,boxscore,Los Angeles Rams,@,Baltimore Colts,23,7,310,1,140,2,
1966,12,Sun,November 27,boxscore,St. Louis Cardinals,,Pittsburgh Steelers,6,3,228,1,78,2,
1966,13,Sun,December 4,boxscore,Philadelphia Eagles,,Pittsburgh Steelers,27,23,304,2,250,2,
1966,13,Sun,December 4,boxscore,Dallas Cowboys,,St. Louis Cardinals,31,17,190,1,295,5,
1966,13,Sun,December 4,boxscore,Cleveland Browns,,New York Giants,49,40,447,3,335,1,
1966,13,Sun,December 4,boxscore,Atlanta Falcons,@,Minnesota Vikings,20,13,187,0,270,6,
1966,13,Sun,December 4,boxscore,Baltimore Colts,,Chicago Bears,21,16,260,2,296,3,
1966,13,Sun,December 4,boxscore,Green Bay Packers,,San Francisco 49ers,20,7,311,1,321,4,
1966,13,Sun,December 4,boxscore,Los Angeles Rams,,Detroit Lions,23,3,293,0,305,4,
1966,14,Sat,December 10,boxscore,Green Bay Packers,@,Baltimore Colts,14,10,242,1,283,5,
1966,14,Sun,December 11,boxscore,Philadelphia Eagles,,Cleveland Browns,33,21,320,5,349,3,
1966,14,Sun,December 11,boxscore,Washington Redskins,@,Dallas Cowboys,34,31,399,2,370,1,
1966,14,Sun,December 11,boxscore,San Francisco 49ers,,Chicago Bears,41,14,411,2,129,4,
1966,14,Sun,December 11,boxscore,Pittsburgh Steelers,@,New York Giants,47,28,392,1,310,2,
1966,14,Sun,December 11,boxscore,Atlanta Falcons,,St. Louis Cardinals,16,10,192,2,296,3,
1966,14,Sun,December 11,boxscore,Minnesota Vikings,@,Detroit Lions,28,16,317,3,282,2,
1966,15,Sat,December 17,boxscore,Cleveland Browns,@,St. Louis Cardinals,38,10,428,1,227,3,
1966,15,Sun,December 18,boxscore,Dallas Cowboys,@,New York Giants,17,7,257,2,262,2,
1966,15,Sun,December 18,boxscore,Pittsburgh Steelers,@,Atlanta Falcons,57,33,458,1,370,5,
1966,15,Sun,December 18,boxscore,Baltimore Colts,@,San Francisco 49ers,30,14,403,1,305,3,
1966,15,Sun,December 18,boxscore,Philadelphia Eagles,@,Washington Redskins,37,28,310,4,355,6,
1966,15,Sun,December 18,boxscore,Chicago Bears,,Minnesota Vikings,41,28,380,0,460,4,
1966,15,Sun,December 18,boxscore,Green Bay Packers,@,Los Angeles Rams,27,23,355,4,351,2,
1966,,,Playoffs,,,,,,,,,,,
1966,Champ,Sun,January 1,boxscore,Green Bay Packers,@,Dallas Cowboys,34,27,367,1,418,2,
1966,SuperBowl,Sun,January 15,boxscore,Green Bay Packers,N,Kansas City Chiefs,35,10,358,1,239,1,
