1960,Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,
1960,1,Fri,September 23,boxscore,St. Louis Cardinals,@,Los Angeles Rams,43,21,430,5,238,6,
1960,1,Sat,September 24,boxscore,Pittsburgh Steelers,@,Dallas Cowboys,35,28,475,1,395,4,
1960,1,Sun,September 25,boxscore,Chicago Bears,@,Green Bay Packers,17,14,306,4,230,3,
1960,1,Sun,September 25,boxscore,Baltimore Colts,,Washington Redskins,20,0,344,1,113,3,
1960,1,Sun,September 25,boxscore,New York Giants,@,San Francisco 49ers,21,19,278,2,335,1,
1960,1,Sun,September 25,boxscore,Cleveland Browns,@,Philadelphia Eagles,41,24,396,0,406,4,
1960,2,Fri,September 30,boxscore,Philadelphia Eagles,@,Dallas Cowboys,27,25,301,5,339,5,
1960,2,Sun,October 2,boxscore,Green Bay Packers,,Detroit Lions,28,9,364,3,272,1,
1960,2,Sun,October 2,boxscore,San Francisco 49ers,,Los Angeles Rams,13,9,284,1,199,1,
1960,2,Sun,October 2,boxscore,Cleveland Browns,,Pittsburgh Steelers,28,20,428,0,406,2,
1960,2,Sun,October 2,boxscore,New York Giants,@,St. Louis Cardinals,35,14,405,6,222,5,
1960,2,Sun,October 2,boxscore,Baltimore Colts,,Chicago Bears,42,7,375,0,318,8,
1960,3,Sun,October 9,boxscore,San Francisco 49ers,@,Detroit Lions,14,10,283,1,232,1,
1960,3,Sun,October 9,boxscore,Chicago Bears,,Los Angeles Rams,34,27,457,3,102,2,
1960,3,Sun,October 9,boxscore,New York Giants,@,Pittsburgh Steelers,19,17,323,5,312,4,
1960,3,Sun,October 9,boxscore,Washington Redskins,,Dallas Cowboys,26,14,362,1,331,4,
1960,3,Sun,October 9,boxscore,Philadelphia Eagles,,St. Louis Cardinals,31,27,293,3,364,6,
1960,3,Sun,October 9,boxscore,Green Bay Packers,,Baltimore Colts,35,21,217,0,409,6,
1960,4,Sun,October 16,boxscore,Cleveland Browns,@,Dallas Cowboys,48,7,282,1,167,6,
1960,4,Sun,October 16,boxscore,Philadelphia Eagles,,Detroit Lions,28,10,329,2,276,6,
1960,4,Sun,October 16,boxscore,Washington Redskins,@,New York Giants,24,24,229,1,286,4,
1960,4,Sun,October 16,boxscore,Chicago Bears,,San Francisco 49ers,27,10,231,0,298,2,
1960,4,Sun,October 16,boxscore,Baltimore Colts,,Los Angeles Rams,31,17,326,2,347,4,
1960,4,Sun,October 16,boxscore,Pittsburgh Steelers,,St. Louis Cardinals,27,14,237,0,295,6,
1960,5,Sun,October 23,boxscore,Green Bay Packers,,San Francisco 49ers,41,14,455,1,163,2,
1960,5,Sun,October 23,boxscore,Philadelphia Eagles,@,Cleveland Browns,31,29,428,2,451,0,
1960,5,Sun,October 23,boxscore,St. Louis Cardinals,,Dallas Cowboys,12,10,306,3,175,2,
1960,5,Sun,October 23,boxscore,Detroit Lions,,Baltimore Colts,30,17,300,0,332,3,
1960,5,Sun,October 23,boxscore,Washington Redskins,,Pittsburgh Steelers,27,27,367,2,384,2,
1960,5,Sun,October 23,boxscore,Los Angeles Rams,,Chicago Bears,24,24,220,1,337,2,
1960,6,Sun,October 30,boxscore,Green Bay Packers,@,Pittsburgh Steelers,19,13,343,2,308,5,
1960,6,Sun,October 30,boxscore,Cleveland Browns,@,Washington Redskins,31,10,281,0,259,4,
1960,6,Sun,October 30,boxscore,Los Angeles Rams,,Detroit Lions,48,35,282,1,483,8,
1960,6,Sun,October 30,boxscore,St. Louis Cardinals,@,New York Giants,20,13,260,3,225,8,
1960,6,Sun,October 30,boxscore,Baltimore Colts,@,Dallas Cowboys,45,7,493,1,147,6,
1960,6,Sun,October 30,boxscore,San Francisco 49ers,,Chicago Bears,25,7,320,0,255,2,
1960,7,Sun,November 6,boxscore,Philadelphia Eagles,,Pittsburgh Steelers,34,7,487,0,212,3,
1960,7,Sun,November 6,boxscore,New York Giants,@,Cleveland Browns,17,13,314,2,95,3,
1960,7,Sun,November 6,boxscore,Detroit Lions,@,San Francisco 49ers,24,0,313,0,232,3,
1960,7,Sun,November 6,boxscore,Baltimore Colts,,Green Bay Packers,38,24,404,2,426,6,
1960,7,Sun,November 6,boxscore,Los Angeles Rams,@,Dallas Cowboys,38,13,500,1,225,4,
1960,7,Sun,November 6,boxscore,St. Louis Cardinals,,Washington Redskins,44,7,499,2,178,4,
1960,8,Sun,November 13,boxscore,Philadelphia Eagles,,Washington Redskins,19,13,247,4,237,4,
1960,8,Sun,November 13,boxscore,Detroit Lions,,Los Angeles Rams,12,10,232,3,245,3,
1960,8,Sun,November 13,boxscore,New York Giants,,Pittsburgh Steelers,27,24,365,3,330,3,
1960,8,Sun,November 13,boxscore,Cleveland Browns,,St. Louis Cardinals,28,27,402,3,385,3,
1960,8,Sun,November 13,boxscore,Baltimore Colts,@,Chicago Bears,24,20,298,4,292,5,
1960,8,Sun,November 13,boxscore,Green Bay Packers,,Dallas Cowboys,41,7,391,2,260,5,
1960,9,Sun,November 20,boxscore,Los Angeles Rams,@,Green Bay Packers,33,31,205,2,384,5,
1960,9,Sun,November 20,boxscore,Philadelphia Eagles,@,New York Giants,17,10,264,0,358,4,
1960,9,Sun,November 20,boxscore,Chicago Bears,,Detroit Lions,28,7,333,2,147,2,
1960,9,Sun,November 20,boxscore,Pittsburgh Steelers,,Cleveland Browns,14,10,323,2,413,0,
1960,9,Sun,November 20,boxscore,St. Louis Cardinals,@,Washington Redskins,26,14,515,5,154,5,
1960,9,Sun,November 20,boxscore,San Francisco 49ers,@,Dallas Cowboys,26,14,313,2,282,7,
1960,10,Thu,November 24,boxscore,Detroit Lions,,Green Bay Packers,23,10,291,1,181,2,
1960,10,Sun,November 27,boxscore,San Francisco 49ers,@,Baltimore Colts,30,22,356,0,428,6,
1960,10,Sun,November 27,boxscore,Philadelphia Eagles,,New York Giants,31,23,211,3,337,5,
1960,10,Sun,November 27,boxscore,Chicago Bears,,Dallas Cowboys,17,7,279,3,218,2,
1960,10,Sun,November 27,boxscore,St. Louis Cardinals,,Cleveland Browns,17,17,322,6,274,2,
1960,10,Sun,November 27,boxscore,Pittsburgh Steelers,,Washington Redskins,22,10,394,3,181,3,
1960,11,Sun,December 4,boxscore,Cleveland Browns,,Washington Redskins,27,16,326,3,178,2,
1960,11,Sun,December 4,boxscore,San Francisco 49ers,@,Los Angeles Rams,23,7,344,0,263,4,
1960,11,Sun,December 4,boxscore,Green Bay Packers,@,Chicago Bears,41,13,443,0,321,3,
1960,11,Sun,December 4,boxscore,Detroit Lions,@,Baltimore Colts,20,15,302,3,387,5,
1960,11,Sun,December 4,boxscore,Philadelphia Eagles,@,St. Louis Cardinals,20,6,268,1,190,2,
1960,11,Sun,December 4,boxscore,New York Giants,,Dallas Cowboys,31,31,327,3,328,2,
1960,12,Sat,December 10,boxscore,Green Bay Packers,@,San Francisco 49ers,13,0,292,1,81,2,
1960,12,Sun,December 11,boxscore,Cleveland Browns,,Chicago Bears,42,0,215,1,193,8,
1960,12,Sun,December 11,boxscore,Los Angeles Rams,,Baltimore Colts,10,3,248,2,272,3,
1960,12,Sun,December 11,boxscore,Pittsburgh Steelers,,Philadelphia Eagles,27,21,484,6,308,3,
1960,12,Sun,December 11,boxscore,New York Giants,@,Washington Redskins,17,3,51,3,103,5,
1960,12,Sun,December 11,boxscore,Detroit Lions,,Dallas Cowboys,23,14,343,3,286,3,
1960,13,Sat,December 17,boxscore,Green Bay Packers,@,Los Angeles Rams,35,21,299,0,422,4,
1960,13,Sun,December 18,boxscore,Detroit Lions,,Chicago Bears,36,0,201,2,143,2,
1960,13,Sun,December 18,boxscore,Cleveland Browns,@,New York Giants,48,34,411,4,425,4,
1960,13,Sun,December 18,boxscore,San Francisco 49ers,,Baltimore Colts,34,10,251,2,177,3,
1960,13,Sun,December 18,boxscore,Philadelphia Eagles,@,Washington Redskins,38,28,408,3,383,4,
1960,13,Sun,December 18,boxscore,St. Louis Cardinals,,Pittsburgh Steelers,38,7,379,1,180,4,
1960,,,Playoffs,,,,,,,,,,,
1960,Champ,Mon,December 26,boxscore,Philadelphia Eagles,,Green Bay Packers,17,13,296,3,401,1,
