1961,Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,
1961,1,Sun,September 17,boxscore,Minnesota Vikings,,Chicago Bears,37,13,336,1,270,5,
1961,1,Sun,September 17,boxscore,San Francisco 49ers,,Washington Redskins,35,3,399,3,135,3,
1961,1,Sun,September 17,boxscore,Baltimore Colts,,Los Angeles Rams,27,24,326,2,308,2,
1961,1,Sun,September 17,boxscore,Dallas Cowboys,,Pittsburgh Steelers,27,24,403,2,342,4,
1961,1,Sun,September 17,boxscore,Detroit Lions,@,Green Bay Packers,17,13,266,1,294,2,
1961,1,Sun,September 17,boxscore,St. Louis Cardinals,@,New York Giants,21,10,239,2,157,5,
1961,1,Sun,September 17,boxscore,Philadelphia Eagles,,Cleveland Browns,27,20,305,1,432,4,
1961,2,Sat,September 23,boxscore,Chicago Bears,@,Los Angeles Rams,21,17,328,2,299,3,
1961,2,Sun,September 24,boxscore,Philadelphia Eagles,,Washington Redskins,14,7,260,3,325,3,
1961,2,Sun,September 24,boxscore,Green Bay Packers,,San Francisco 49ers,30,10,275,1,233,3,
1961,2,Sun,September 24,boxscore,New York Giants,@,Pittsburgh Steelers,17,14,278,1,252,4,
1961,2,Sun,September 24,boxscore,Dallas Cowboys,,Minnesota Vikings,21,7,437,3,251,3,
1961,2,Sun,September 24,boxscore,Detroit Lions,@,Baltimore Colts,16,15,248,4,186,4,
1961,2,Sun,September 24,boxscore,Cleveland Browns,,St. Louis Cardinals,20,17,245,4,185,3,
1961,3,Sun,October 1,boxscore,San Francisco 49ers,@,Detroit Lions,49,0,317,2,291,6,
1961,3,Sun,October 1,boxscore,Los Angeles Rams,,Pittsburgh Steelers,24,14,258,3,218,8,
1961,3,Sun,October 1,boxscore,New York Giants,@,Washington Redskins,24,21,416,3,145,2,
1961,3,Sun,October 1,boxscore,Baltimore Colts,,Minnesota Vikings,34,33,366,5,261,0,
1961,3,Sun,October 1,boxscore,Cleveland Browns,,Dallas Cowboys,25,7,316,4,152,3,
1961,3,Sun,October 1,boxscore,St. Louis Cardinals,@,Philadelphia Eagles,30,27,368,3,451,3,
1961,3,Sun,October 1,boxscore,Green Bay Packers,,Chicago Bears,24,0,281,3,255,4,
1961,4,Sun,October 8,boxscore,Cleveland Browns,,Washington Redskins,31,7,285,0,245,2,
1961,4,Sun,October 8,boxscore,San Francisco 49ers,,Los Angeles Rams,35,0,521,0,166,2,
1961,4,Sun,October 8,boxscore,Philadelphia Eagles,,Pittsburgh Steelers,21,16,227,5,281,1,
1961,4,Sun,October 8,boxscore,New York Giants,@,St. Louis Cardinals,24,9,224,2,160,7,
1961,4,Sun,October 8,boxscore,Dallas Cowboys,@,Minnesota Vikings,28,0,297,0,183,5,
