1969,Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,
1969,1,Sun,September 21,boxscore,Atlanta Falcons,,San Francisco 49ers,24,12,308,2,331,5,
1969,1,Sun,September 21,boxscore,Los Angeles Rams,@,Baltimore Colts,27,20,339,0,337,4,
1969,1,Sun,September 21,boxscore,Green Bay Packers,,Chicago Bears,17,0,286,0,204,2,
1969,1,Sun,September 21,boxscore,Pittsburgh Steelers,,Detroit Lions,16,13,237,4,236,4,
1969,1,Sun,September 21,boxscore,Cleveland Browns,@,Philadelphia Eagles,27,20,369,5,246,2,
1969,1,Sun,September 21,boxscore,Dallas Cowboys,,St. Louis Cardinals,24,3,362,2,257,3,
1969,1,Sun,September 21,boxscore,New York Giants,,Minnesota Vikings,24,23,320,2,327,2,
1969,1,Sun,September 21,boxscore,Washington Redskins,@,New Orleans Saints,26,20,303,1,328,1,
1969,2,Sun,September 28,boxscore,St. Louis Cardinals,,Chicago Bears,20,17,170,2,371,2,
1969,2,Sun,September 28,boxscore,Cleveland Browns,,Washington Redskins,27,23,339,2,275,0,
1969,2,Sun,September 28,boxscore,Green Bay Packers,,San Francisco 49ers,14,7,269,3,376,1,
1969,2,Sun,September 28,boxscore,Philadelphia Eagles,,Pittsburgh Steelers,41,27,460,2,355,2,
1969,2,Sun,September 28,boxscore,Detroit Lions,,New York Giants,24,0,241,1,187,1,
1969,2,Sun,September 28,boxscore,Minnesota Vikings,,Baltimore Colts,52,14,622,3,235,3,
1969,2,Sun,September 28,boxscore,Dallas Cowboys,@,New Orleans Saints,21,17,294,1,310,4,
1969,2,Sun,September 28,boxscore,Los Angeles Rams,,Atlanta Falcons,17,7,269,2,178,3,
1969,3,Sun,October 5,boxscore,Los Angeles Rams,,New Orleans Saints,36,17,350,1,315,3,
1969,3,Sun,October 5,boxscore,St. Louis Cardinals,@,Pittsburgh Steelers,27,14,344,4,345,5,
1969,3,Sun,October 5,boxscore,Washington Redskins,@,San Francisco 49ers,17,17,304,2,271,1,
1969,3,Sun,October 5,boxscore,Dallas Cowboys,@,Philadelphia Eagles,38,7,526,1,252,2,
1969,3,Sun,October 5,boxscore,Detroit Lions,@,Cleveland Browns,28,21,301,4,264,6,
1969,3,Sun,October 5,boxscore,Minnesota Vikings,,Green Bay Packers,19,7,230,0,173,3,
1969,3,Sun,October 5,boxscore,Baltimore Colts,@,Atlanta Falcons,21,14,260,4,302,2,
1969,3,Sun,October 5,boxscore,New York Giants,,Chicago Bears,28,24,267,1,380,3,
1969,4,Sun,October 12,boxscore,New York Giants,,Pittsburgh Steelers,10,7,208,1,231,4,
1969,4,Sun,October 12,boxscore,Washington Redskins,,St. Louis Cardinals,33,17,377,2,226,5,
1969,4,Sun,October 12,boxscore,Dallas Cowboys,@,Atlanta Falcons,24,17,397,1,213,2,
1969,4,Sun,October 12,boxscore,Los Angeles Rams,@,San Francisco 49ers,27,21,269,0,317,3,
1969,4,Sun,October 12,boxscore,Green Bay Packers,@,Detroit Lions,28,17,308,1,227,4,
1969,4,Sun,October 12,boxscore,Cleveland Browns,@,New Orleans Saints,27,17,306,0,277,4,
1969,4,Sun,October 12,boxscore,Minnesota Vikings,@,Chicago Bears,31,0,256,1,119,4,
1969,4,Mon,October 13,boxscore,Baltimore Colts,,Philadelphia Eagles,24,20,363,3,320,1,
1969,5,Sat,October 18,boxscore,Cleveland Browns,,Pittsburgh Steelers,42,31,283,4,320,8,
1969,5,Sun,October 19,boxscore,Washington Redskins,,New York Giants,20,14,280,2,318,1,
1969,5,Sun,October 19,boxscore,Minnesota Vikings,@,St. Louis Cardinals,27,10,332,1,169,1,
1969,5,Sun,October 19,boxscore,Detroit Lions,,Chicago Bears,13,7,252,1,153,1,
1969,5,Sun,October 19,boxscore,Atlanta Falcons,@,San Francisco 49ers,21,7,284,3,295,7,
1969,5,Sun,October 19,boxscore,Baltimore Colts,@,New Orleans Saints,30,10,491,0,325,4,
1969,5,Sun,October 19,boxscore,Dallas Cowboys,,Philadelphia Eagles,49,14,447,1,180,3,
1969,5,Sun,October 19,boxscore,Los Angeles Rams,,Green Bay Packers,34,21,312,0,189,3,
1969,6,Sun,October 26,boxscore,Green Bay Packers,,Atlanta Falcons,28,10,337,4,219,3,
1969,6,Sun,October 26,boxscore,San Francisco 49ers,@,Baltimore Colts,24,21,331,1,408,4,
1969,6,Sun,October 26,boxscore,Philadelphia Eagles,,New Orleans Saints,13,10,366,4,267,4,
1969,6,Sun,October 26,boxscore,Los Angeles Rams,@,Chicago Bears,9,7,236,2,159,2,
1969,6,Sun,October 26,boxscore,Washington Redskins,@,Pittsburgh Steelers,14,7,214,3,301,2,
1969,6,Sun,October 26,boxscore,St. Louis Cardinals,@,Cleveland Browns,21,21,445,1,336,1,
1969,6,Sun,October 26,boxscore,Minnesota Vikings,,Detroit Lions,24,10,201,1,167,4,
1969,6,Mon,October 27,boxscore,Dallas Cowboys,,New York Giants,25,3,370,3,166,2,
1969,7,Sun,November 2,boxscore,Minnesota Vikings,,Chicago Bears,31,14,296,3,211,2,
1969,7,Sun,November 2,boxscore,Cleveland Browns,,Dallas Cowboys,42,10,325,3,323,6,
1969,7,Sun,November 2,boxscore,New Orleans Saints,@,St. Louis Cardinals,51,42,508,1,478,4,
1969,7,Sun,November 2,boxscore,Green Bay Packers,@,Pittsburgh Steelers,38,34,318,5,346,4,
