1982,Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,
1982,13,Mon,December 6,boxscore,New York Jets,@,Detroit Lions,28,13,437,3,274,5,
1982,14,Sat,December 11,boxscore,New York Giants,,Philadelphia Eagles,23,7,353,1,198,2,
1982,14,Sat,December 11,boxscore,San Diego Chargers,@,San Francisco 49ers,41,37,538,0,465,2,
1982,14,Sun,December 12,boxscore,Buffalo Bills,,Pittsburgh Steelers,13,0,339,2,94,4,
1982,14,Sun,December 12,boxscore,Los Angeles Raiders,@,Kansas City Chiefs,21,16,343,3,285,0,
1982,14,Sun,December 12,boxscore,New York Jets,,Tampa Bay Buccaneers,32,17,307,2,251,5,
1982,14,Sun,December 12,boxscore,Washington Redskins,@,St. Louis Cardinals,12,7,292,1,356,3,
1982,14,Sun,December 12,boxscore,Atlanta Falcons,,New Orleans Saints,35,0,329,4,91,6,
1982,14,Sun,December 12,boxscore,New England Patriots,,Miami Dolphins,3,0,212,1,235,2,
1982,14,Sun,December 12,boxscore,Detroit Lions,@,Green Bay Packers,30,10,296,4,200,5,
1982,14,Sun,December 12,boxscore,Denver Broncos,@,Los Angeles Rams,27,24,385,3,253,3,
1982,14,Sun,December 12,boxscore,Minnesota Vikings,,Baltimore Colts,13,10,345,1,198,2,
1982,14,Sun,December 12,boxscore,Cincinnati Bengals,,Cleveland Browns,23,10,256,1,210,4,
1982,14,Sun,December 12,boxscore,Seattle Seahawks,,Chicago Bears,20,14,290,0,310,2,
1982,14,Mon,December 13,boxscore,Dallas Cowboys,@,Houston Oilers,37,7,416,2,199,3,
1982,15,Sat,December 18,boxscore,Miami Dolphins,,New York Jets,20,19,304,3,274,2,
1982,15,Sat,December 18,boxscore,Los Angeles Raiders,,Los Angeles Rams,37,31,431,4,272,2,
1982,15,Sun,December 19,boxscore,Cleveland Browns,,Pittsburgh Steelers,10,9,224,2,222,5,
1982,15,Sun,December 19,boxscore,Philadelphia Eagles,,Houston Oilers,35,14,362,2,218,4,
1982,15,Sun,December 19,boxscore,Washington Redskins,,New York Giants,15,14,375,5,139,2,
1982,15,Sun,December 19,boxscore,New England Patriots,@,Seattle Seahawks,16,0,393,1,171,6,
1982,15,Sun,December 19,boxscore,Dallas Cowboys,,New Orleans Saints,21,7,316,5,301,4,
1982,15,Sun,December 19,boxscore,Minnesota Vikings,@,Detroit Lions,34,31,332,0,346,3,
1982,15,Sun,December 19,boxscore,Atlanta Falcons,@,San Francisco 49ers,17,7,391,2,219,2,
1982,15,Sun,December 19,boxscore,Tampa Bay Buccaneers,,Buffalo Bills,24,23,342,4,318,5,
1982,15,Sun,December 19,boxscore,St. Louis Cardinals,@,Chicago Bears,10,7,240,3,273,1,
1982,15,Sun,December 19,boxscore,Green Bay Packers,@,Baltimore Colts,20,20,362,2,295,1,
1982,15,Sun,December 19,boxscore,Kansas City Chiefs,@,Denver Broncos,37,16,270,1,220,4,
1982,15,Mon,December 20,boxscore,San Diego Chargers,,Cincinnati Bengals,50,34,661,3,441,1,
1982,16,Sun,December 26,boxscore,St. Louis Cardinals,,New York Giants,24,21,376,1,394,0,
1982,16,Sun,December 26,boxscore,New York Jets,@,Minnesota Vikings,42,14,324,1,484,3,
1982,16,Sun,December 26,boxscore,Philadelphia Eagles,@,Dallas Cowboys,24,20,236,4,245,4,
1982,16,Sun,December 26,boxscore,Cincinnati Bengals,,Seattle Seahawks,24,10,389,3,279,3,
1982,16,Sun,December 26,boxscore,San Francisco 49ers,@,Kansas City Chiefs,26,13,370,3,275,2,
1982,16,Sun,December 26,boxscore,Washington Redskins,@,New Orleans Saints,27,10,448,2,197,1,
1982,16,Sun,December 26,boxscore,Pittsburgh Steelers,,New England Patriots,37,14,494,2,331,1,
1982,16,Sun,December 26,boxscore,Green Bay Packers,@,Atlanta Falcons,38,7,411,3,335,1,
1982,16,Sun,December 26,boxscore,Chicago Bears,@,Los Angeles Rams,34,26,421,0,583,3,
1982,16,Sun,December 26,boxscore,Cleveland Browns,@,Houston Oilers,20,14,340,1,369,6,
1982,16,Sun,December 26,boxscore,San Diego Chargers,,Baltimore Colts,44,26,507,3,370,5,
1982,16,Sun,December 26,boxscore,Los Angeles Raiders,,Denver Broncos,27,10,312,4,345,6,
1982,16,Sun,December 26,boxscore,Tampa Bay Buccaneers,,Detroit Lions,23,21,377,2,210,2,
1982,16,Mon,December 27,boxscore,Miami Dolphins,,Buffalo Bills,27,10,242,3,301,4,
1982,17,Sun,January 2,boxscore,Detroit Lions,,Green Bay Packers,27,24,368,3,276,4,
1982,17,Sun,January 2,boxscore,Miami Dolphins,@,Baltimore Colts,34,7,371,2,273,5,
1982,17,Sun,January 2,boxscore,New York Giants,@,Philadelphia Eagles,26,24,304,4,201,2,
1982,17,Sun,January 2,boxscore,Kansas City Chiefs,,New York Jets,37,13,355,1,308,2,
1982,17,Sun,January 2,boxscore,Los Angeles Raiders,@,San Diego Chargers,41,34,354,1,438,2,
1982,17,Sun,January 2,boxscore,Los Angeles Rams,@,San Francisco 49ers,21,20,374,0,324,1,
1982,17,Sun,January 2,boxscore,Seattle Seahawks,,Denver Broncos,13,11,363,3,387,4,
1982,17,Sun,January 2,boxscore,Washington Redskins,,St. Louis Cardinals,28,0,253,0,196,5,
1982,17,Sun,January 2,boxscore,Pittsburgh Steelers,,Cleveland Browns,37,21,521,3,345,6,
1982,17,Sun,January 2,boxscore,Cincinnati Bengals,@,Houston Oilers,35,27,457,2,334,2,
1982,17,Sun,January 2,boxscore,Tampa Bay Buccaneers,,Chicago Bears,26,23,424,3,248,1,
1982,17,Sun,January 2,boxscore,New England Patriots,,Buffalo Bills,30,19,418,1,353,1,
1982,17,Sun,January 2,boxscore,New Orleans Saints,,Atlanta Falcons,35,6,462,3,248,2,
1982,17,Mon,January 3,boxscore,Minnesota Vikings,,Dallas Cowboys,31,27,381,3,364,2,
1982,,,Playoffs,,,,,,,,,,,
1982,WildCard,Sat,January 8,boxscore,Miami Dolphins,,New England Patriots,28,13,448,3,237,3,
1982,WildCard,Sat,January 8,boxscore,Washington Redskins,,Detroit Lions,31,7,366,0,364,5,
1982,WildCard,Sat,January 8,boxscore,Green Bay Packers,,St. Louis Cardinals,41,16,394,1,453,4,
1982,WildCard,Sat,January 8,boxscore,Los Angeles Raiders,,Cleveland Browns,27,10,510,2,284,1,
1982,WildCard,Sun,January 9,boxscore,Minnesota Vikings,,Atlanta Falcons,30,24,378,1,235,2,
1982,WildCard,Sun,January 9,boxscore,New York Jets,@,Cincinnati Bengals,44,17,517,2,395,4,
1982,WildCard,Sun,January 9,boxscore,San Diego Chargers,@,Pittsburgh Steelers,31,28,479,2,422,2,
1982,WildCard,Sun,January 9,boxscore,Dallas Cowboys,,Tampa Bay Buccaneers,30,17,456,3,218,3,
1982,Division,Sat,January 15,boxscore,New York Jets,@,Los Angeles Raiders,17,14,391,5,339,5,
1982,Division,Sat,January 15,boxscore,Washington Redskins,,Minnesota Vikings,21,7,415,1,317,0,
1982,Division,Sun,January 16,boxscore,Dallas Cowboys,,Green Bay Packers,37,26,375,2,466,5,
1982,Division,Sun,January 16,boxscore,Miami Dolphins,,San Diego Chargers,34,13,413,2,247,7,
1982,ConfChamp,Sat,January 22,boxscore,Washington Redskins,,Dallas Cowboys,31,17,260,0,340,3,
1982,ConfChamp,Sun,January 23,boxscore,Miami Dolphins,,New York Jets,14,0,198,4,139,5,
1982,SuperBowl,Sun,January 30,boxscore,Washington Redskins,N,Miami Dolphins,27,17,400,2,176,2,
