1982,Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,
1982,1,Sun,September 12,boxscore,Atlanta Falcons,@,New York Giants,16,14,272,3,378,4,
1982,1,Sun,September 12,boxscore,Washington Redskins,@,Philadelphia Eagles,37,34,487,2,426,1,
1982,1,Sun,September 12,boxscore,Minnesota Vikings,,Tampa Bay Buccaneers,17,10,216,1,355,4,
1982,1,Sun,September 12,boxscore,San Diego Chargers,@,Denver Broncos,23,3,393,0,323,6,
1982,1,Sun,September 12,boxscore,Green Bay Packers,,Los Angeles Rams,35,23,377,6,271,3,
1982,1,Sun,September 12,boxscore,Los Angeles Raiders,@,San Francisco 49ers,23,17,255,4,252,4,
1982,1,Sun,September 12,boxscore,Cincinnati Bengals,,Houston Oilers,27,6,419,0,171,1,
1982,1,Sun,September 12,boxscore,New England Patriots,@,Baltimore Colts,24,13,330,1,352,4,
1982,1,Sun,September 12,boxscore,Detroit Lions,,Chicago Bears,17,10,212,1,154,1,
1982,1,Sun,September 12,boxscore,Cleveland Browns,@,Seattle Seahawks,21,7,330,1,180,3,
1982,1,Sun,September 12,boxscore,St. Louis Cardinals,@,New Orleans Saints,21,7,150,1,290,4,
1982,1,Sun,September 12,boxscore,Buffalo Bills,,Kansas City Chiefs,14,9,259,0,229,2,
1982,1,Sun,September 12,boxscore,Miami Dolphins,@,New York Jets,45,28,323,2,341,4,
1982,1,Mon,September 13,boxscore,Pittsburgh Steelers,@,Dallas Cowboys,36,28,388,1,436,4,
1982,2,Thu,September 16,boxscore,Buffalo Bills,,Minnesota Vikings,23,22,451,2,371,1,
1982,2,Sun,September 19,boxscore,Los Angeles Raiders,@,Atlanta Falcons,38,14,364,1,385,5,
1982,2,Sun,September 19,boxscore,Kansas City Chiefs,,San Diego Chargers,19,12,282,1,282,3,
1982,2,Sun,September 19,boxscore,Houston Oilers,,Seattle Seahawks,23,21,282,3,303,3,
1982,2,Sun,September 19,boxscore,Denver Broncos,,San Francisco 49ers,24,21,283,2,413,2,
1982,2,Sun,September 19,boxscore,Washington Redskins,@,Tampa Bay Buccaneers,21,13,248,0,278,4,
1982,2,Sun,September 19,boxscore,Philadelphia Eagles,@,Cleveland Browns,24,21,423,2,366,3,
1982,2,Sun,September 19,boxscore,New York Jets,@,New England Patriots,31,7,396,2,57,3,
1982,2,Sun,September 19,boxscore,New Orleans Saints,@,Chicago Bears,10,0,317,1,183,3,
1982,2,Sun,September 19,boxscore,Detroit Lions,@,Los Angeles Rams,19,14,355,2,375,5,
1982,2,Sun,September 19,boxscore,Dallas Cowboys,@,St. Louis Cardinals,24,7,379,2,311,1,
1982,2,Sun,September 19,boxscore,Miami Dolphins,,Baltimore Colts,24,20,303,2,256,0,
1982,2,Sun,September 19,boxscore,Pittsburgh Steelers,,Cincinnati Bengals,26,20,295,0,379,3,
1982,2,Mon,September 20,boxscore,Green Bay Packers,@,New York Giants,27,19,361,1,267,3,
1982,11,Sun,November 21,boxscore,Atlanta Falcons,,Los Angeles Rams,34,17,387,0,274,2,
1982,11,Sun,November 21,boxscore,Seattle Seahawks,@,Denver Broncos,17,10,387,1,250,2,
1982,11,Sun,November 21,boxscore,San Francisco 49ers,@,St. Louis Cardinals,31,20,448,3,254,0,
1982,11,Sun,November 21,boxscore,Dallas Cowboys,,Tampa Bay Buccaneers,14,9,185,1,382,1,
1982,11,Sun,November 21,boxscore,Washington Redskins,@,New York Giants,27,17,312,0,287,1,
1982,11,Sun,November 21,boxscore,Pittsburgh Steelers,@,Houston Oilers,24,10,362,3,292,4,
1982,11,Sun,November 21,boxscore,Cleveland Browns,,New England Patriots,10,7,225,0,265,2,
1982,11,Sun,November 21,boxscore,Green Bay Packers,,Minnesota Vikings,26,7,359,1,184,1,
1982,11,Sun,November 21,boxscore,Cincinnati Bengals,@,Philadelphia Eagles,18,14,310,4,275,3,
1982,11,Sun,November 21,boxscore,New York Jets,,Baltimore Colts,37,0,476,0,318,3,
1982,11,Sun,November 21,boxscore,Chicago Bears,,Detroit Lions,20,17,365,3,152,2,
1982,11,Sun,November 21,boxscore,New Orleans Saints,,Kansas City Chiefs,27,17,293,1,286,2,
1982,11,Sun,November 21,boxscore,Miami Dolphins,@,Buffalo Bills,9,7,249,2,258,7,
1982,11,Mon,November 22,boxscore,Los Angeles Raiders,,San Diego Chargers,28,24,326,2,411,4,
1982,12,Thu,November 25,boxscore,New York Giants,@,Detroit Lions,13,6,206,3,321,4,
1982,12,Thu,November 25,boxscore,Dallas Cowboys,,Cleveland Browns,31,14,496,4,280,5,
1982,12,Sun,November 28,boxscore,New England Patriots,,Houston Oilers,29,21,378,3,240,3,
1982,12,Sun,November 28,boxscore,Washington Redskins,,Philadelphia Eagles,13,9,295,3,319,5,
1982,12,Sun,November 28,boxscore,Seattle Seahawks,,Pittsburgh Steelers,16,0,290,1,218,5,
1982,12,Sun,November 28,boxscore,Cincinnati Bengals,,Los Angeles Raiders,31,17,347,2,335,4,
1982,12,Sun,November 28,boxscore,New Orleans Saints,@,San Francisco 49ers,23,20,324,1,376,3,
1982,12,Sun,November 28,boxscore,Minnesota Vikings,,Chicago Bears,35,7,384,3,197,5,
1982,12,Sun,November 28,boxscore,Los Angeles Rams,,Kansas City Chiefs,20,14,281,4,278,1,
1982,12,Sun,November 28,boxscore,New York Jets,,Green Bay Packers,15,13,355,2,263,1,
1982,12,Sun,November 28,boxscore,San Diego Chargers,,Denver Broncos,30,20,436,3,294,5,
1982,12,Sun,November 28,boxscore,St. Louis Cardinals,@,Atlanta Falcons,23,20,299,0,274,2,
1982,12,Sun,November 28,boxscore,Buffalo Bills,,Baltimore Colts,20,0,312,0,88,1,
1982,12,Mon,November 29,boxscore,Tampa Bay Buccaneers,,Miami Dolphins,23,17,215,0,330,6,
1982,13,Thu,December 2,boxscore,San Francisco 49ers,@,Los Angeles Rams,30,24,375,1,341,2,
1982,13,Sun,December 5,boxscore,Tampa Bay Buccaneers,@,New Orleans Saints,13,10,271,0,380,3,
1982,13,Sun,December 5,boxscore,Los Angeles Raiders,,Seattle Seahawks,28,23,235,1,331,4,
1982,13,Sun,December 5,boxscore,San Diego Chargers,@,Cleveland Browns,30,13,382,2,398,2,
1982,13,Sun,December 5,boxscore,New York Giants,,Houston Oilers,17,14,401,1,268,0,
1982,13,Sun,December 5,boxscore,Chicago Bears,,New England Patriots,26,13,342,3,249,4,
1982,13,Sun,December 5,boxscore,Miami Dolphins,,Minnesota Vikings,22,14,301,1,182,4,
1982,13,Sun,December 5,boxscore,Pittsburgh Steelers,,Kansas City Chiefs,35,14,376,2,238,2,
1982,13,Sun,December 5,boxscore,Atlanta Falcons,@,Denver Broncos,34,27,342,2,350,4,
1982,13,Sun,December 5,boxscore,Green Bay Packers,,Buffalo Bills,33,21,301,3,336,5,
1982,13,Sun,December 5,boxscore,Cincinnati Bengals,@,Baltimore Colts,20,17,290,0,333,0,
1982,13,Sun,December 5,boxscore,St. Louis Cardinals,@,Philadelphia Eagles,23,20,360,2,245,2,
1982,13,Sun,December 5,boxscore,Dallas Cowboys,@,Washington Redskins,24,10,362,2,275,3,
