Year,Week,Day,Date,,Winner/tie,H,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP,Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P,Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts,Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP,Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P,Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
2007,1,Thu,September 6,boxscore,Indianapolis Colts,H,New Orleans Saints,41,10,452,1,293,3,Indianapolis Colts,13,3,0,0.813,450,262,188,11.8,0.3,12,6.6,5.4,3,Indianapolis Colts,16,450,5739,1020,5.6,19,5,357,355,551,4033,32,14,7,212,446,1706,19,3.8,119,67,515,26,44.6,11.4,177.78,6,Indianapolis Colts,16,355,551,64.4,4033,32,5.8,14,2.5,73,7.6,7.6,11.8,252.1,96.1,,23,139,7,7,4,1,2,167.7,18,Indianapolis Colts,16,446,1706,19,23,3.8,106.6,14,16.05,32,Indianapolis Colts,16,25,280,1,90,11.2,53,1157,0,47,21.8,7389,24,Indianapolis Colts,16,1,1,15,14,10,8,2,,1,,29,23,79.3%,51,49,96.1%,52,2181,63,0,41.9,3,Indianapolis Colts,16,19,32,1,,1,1,,54,2,3,49,51,23,29,2,450,28.1,32,Indianapolis Colts,16,166,1049,44.6,11.4,6.3,34.6,Own 31.8,2:52,2.57,New Orleans Saints,7,9,0,0.438,379,388,-9,-0.6,-2,-2.5,1.9,-4.5,13,New Orleans Saints,16,379,5780,1060,5.5,30,12,346,440,652,4314,28,18,6.5,232,392,1466,14,3.7,94,68,581,20,31.7,16.1,50.74,3,New Orleans Saints,16,440,652,67.5,4314,28,4.3,18,2.8,58,6.8,6.4,10.1,269.6,89.4,,16,109,6.5,6.1,2.4,1,1,83.29,28,New Orleans Saints,16,392,1466,14,26,3.7,91.6,25,-28.37,20,New Orleans Saints,16,24,197,0,48,8.2,71,1513,0,64,21.3,7672,28,New Orleans Saints,16,,,5,4,6,5,5,4,6,2,22,15,68.2%,42,42,100.0%,63,2757,61,0,43.8,13,New Orleans Saints,16,14,28,,,2,3,,47,4,5,42,42,15,22,1,379,23.7,22,New Orleans Saints,16,180,1082,31.7,16.1,6,32.1,Own 28.5,2:46,1.88
2007,1,Sun,September 9,boxscore,Seattle Seahawks,H,Tampa Bay Buccaneers,20,6,343,1,284,2,Seattle Seahawks,10,6,0,0.625,393,291,102,6.4,-4.6,1.8,0.8,0.9,9,Seattle Seahawks,16,393,5583,1056,5.3,24,11,323,371,590,3964,30,13,6.3,211,430,1619,9,3.8,93,59,428,19,33.2,11.4,8.97,8,Seattle Seahawks,16,371,590,62.9,3964,30,5.1,13,2.2,65,7.1,7.1,11.3,247.8,91.8,,36,217,6.3,6.4,5.8,3,3,75.61,20,Seattle Seahawks,16,430,1619,9,46,3.8,101.2,21,-60.81,6,Seattle Seahawks,16,58,658,1,94,11.3,53,1173,2,91,22.1,7629,1,Seattle Seahawks,16,,,12,12,5,5,12,8,5,3,34,28,82.4%,43,43,100.0%,86,3436,62,0,40,9,Seattle Seahawks,16,9,30,1,2,1,1,,44,,0,43,43,28,34,1,393,24.6,3,Seattle Seahawks,16,202,1090,33.2,11.4,5.4,27.5,Own 31.7,2:22,1.77,Tampa Bay Buccaneers,9,7,0,0.563,334,270,64,4,-2.8,1.2,-2.3,3.6,18,Tampa Bay Buccaneers,16,334,5229,975,5.4,20,12,281,316,490,3357,18,8,6.4,162,449,1872,15,4.2,98,81,614,21,33,9.7,-3.17,16,Tampa Bay Buccaneers,16,316,490,64.5,3357,18,3.7,8,1.6,69,7.3,7.3,11.3,209.8,91.7,,36,222,6.4,6.4,6.8,1,2,18.21,11,Tampa Bay Buccaneers,16,449,1872,15,31,4.2,117,18,-8.18,19,Tampa Bay Buccaneers,16,50,334,0,35,6.7,48,1119,1,90,23.3,6940,10,Tampa Bay Buccaneers,16,,,12,11,11,11,7,6,3,,33,28,84.8%,34,34,100.0%,78,3426,61,1,43.9,18,Tampa Bay Buccaneers,16,15,18,,1,1,1,,36,,2,34,34,28,33,,334,20.9,19,Tampa Bay Buccaneers,16,185,1008,33,9.7,5.4,28.2,Own 33.1,2:38,1.7
2007,1,Sun,September 9,boxscore,Pittsburgh Steelers,A,Cleveland Browns,34,7,365,1,221,5,Pittsburgh Steelers,10,6,0,0.625,393,269,124,7.8,-2.5,5.2,0.9,4.3,10,Pittsburgh Steelers,16,393,5239,1000,5.2,22,8,298,282,442,3071,34,14,6.3,179,511,2168,9,4.2,108,80,651,11,37.7,11.4,58.06,22,Pittsburgh Steelers,16,282,442,63.8,3071,34,7.7,14,3.2,83,7.7,7.8,12.1,191.9,99.9,,47,347,6.3,6.4,9.6,1,2,99.53,3,Pittsburgh Steelers,16,511,2168,9,45,4.2,135.5,21,-32.69,24,Pittsburgh Steelers,16,39,238,0,49,6.1,52,1145,1,98,22,6971,21,Pittsburgh Steelers,16,,,9,9,10,10,5,4,1,,25,23,92.0%,44,44,100.0%,68,2880,59,0,42.4,10,Pittsburgh Steelers,16,9,34,,1,,2,,46,2,2,44,44,23,25,,393,24.6,26,Pittsburgh Steelers,16,175,1025,37.7,11.4,5.9,29.8,Own 32.4,3:04,2.11,Cleveland Browns,10,6,0,0.625,402,382,20,1.3,-2.3,-1.1,2.2,-3.3,8,Cleveland Browns,16,402,5621,1004,5.6,29,9,315,305,545,3726,29,20,6.6,192,440,1895,13,4.3,110,114,868,13,35.4,14.6,-2.69,12,Cleveland Browns,16,305,545,56,3726,29,5.3,20,3.7,78,7.1,6.5,12.7,232.9,80.7,,19,140,6.6,6,3.4,2,2,21.73,10,Cleveland Browns,16,440,1895,13,66,4.3,118.4,22,-11.28,15,Cleveland Browns,16,30,405,1,76,13.5,72,1943,2,100,27,8098,14,Cleveland Browns,16,2,2,10,9,8,7,8,7,2,1,30,26,86.7%,43,42,97.7%,69,2895,64,0,42,8,Cleveland Browns,16,13,29,1,2,,1,,46,2,3,42,43,26,30,1,402,25.1,9,Cleveland Browns,16,192,1034,35.4,14.6,5.4,29.2,Own 33.2,2:27,1.94
2007,1,Sun,September 9,boxscore,Green Bay Packers,H,Philadelphia Eagles,16,13,215,2,283,3,Green Bay Packers,13,3,0,0.813,435,291,144,9,0,9,5.7,3.3,4,Green Bay Packers,16,435,5931,985,6,24,9,307,383,578,4334,30,15,7.3,210,388,1597,13,4.1,69,113,1006,28,38.9,12.1,101.36,2,Green Bay Packers,16,383,578,66.3,4334,30,5.2,15,2.6,82,7.7,7.6,11.6,270.9,95.9,,19,127,7.3,7.1,3.2,2,4,151.93,21,Green Bay Packers,16,388,1597,13,66,4.1,99.8,25,-42.03,8,Green Bay Packers,16,48,492,2,94,10.3,62,1349,0,67,21.8,7925,5,Green Bay Packers,16,1,1,8,8,11,10,14,9,5,3,39,31,79.5%,48,48,100.0%,62,2753,72,2,44.4,4,Green Bay Packers,16,13,30,2,,3,1,,49,,0,48,48,31,39,,435,27.2,13,Green Bay Packers,16,190,1024,38.9,12.1,5.4,31,Own 31.5,2:33,2.07,Philadelphia Eagles,8,8,0,0.5,336,300,36,2.3,3,5.3,0.1,5.1,17,Philadelphia Eagles,16,336,5729,1047,5.5,27,12,323,350,577,3755,24,15,6,186,421,1974,12,4.7,118,83,649,19,34.1,13.2,49.64,10,Philadelphia Eagles,16,350,577,60.7,3755,24,4.2,15,2.6,75,6.9,6.6,11.4,234.7,84.6,,49,250,6,5.7,7.8,1,1,36.73,8,Philadelphia Eagles,16,421,1974,12,40,4.7,123.4,24,20.15,4,Philadelphia Eagles,16,42,340,0,32,8.1,71,1539,0,35,21.7,7858,15,Philadelphia Eagles,16,,,12,12,10,10,6,1,4,1,32,24,75.0%,36,36,100.0%,73,3066,65,0,42,17,Philadelphia Eagles,16,12,24,,,2,,,38,,2,36,36,24,32,,336,21,20,Philadelphia Eagles,16,182,1079,34.1,13.2,5.9,31.5,Own 29.2,2:43,1.86
2007,1,Sun,September 9,boxscore,Tennessee Titans,A,Jacksonville Jaguars,13,10,350,2,272,1,Tennessee Titans,10,6,0,0.625,301,297,4,0.3,0.5,0.7,-2.9,3.6,22,Tennessee Titans,16,301,4987,1037,4.8,34,17,306,288,464,2878,9,17,5.8,171,543,2109,17,3.9,118,101,773,17,32.3,16.9,-61.98,27,Tennessee Titans,16,288,464,62.1,2878,9,1.9,17,3.7,73,6.6,5.4,10.7,179.9,72.6,,30,199,5.8,4.6,6.1,1,2,-0.78,5,Tennessee Titans,16,543,2109,17,42,3.9,131.8,32,-49.04,22,Tennessee Titans,16,42,367,0,39,8.7,52,1098,0,48,21.1,6632,18,Tennessee Titans,16,,,12,10,12,12,10,9,5,4,39,35,89.7%,28,28,100.0%,73,3060,66,0,41.9,22,Tennessee Titans,16,17,9,,,,2,,28,,0,28,28,35,39,,301,18.8,14,Tennessee Titans,16,189,1076,32.3,16.9,5.7,26.3,Own 32.5,2:42,1.52,Jacksonville Jaguars,11,5,0,0.688,411,304,107,6.7,0.1,6.8,4.8,2,6,Jacksonville Jaguars,16,411,5719,1022,5.6,21,13,328,288,469,3328,28,8,6.7,180,522,2391,18,4.6,127,76,594,21,39.6,10.1,120.14,17,Jacksonville Jaguars,16,288,469,61.4,3328,28,6,8,1.7,80,7.5,7.9,12.1,208,97.1,,31,167,6.7,7.1,6.2,3,4,107.68,2,Jacksonville Jaguars,16,522,2391,18,80,4.6,149.4,18,19.5,29,Jacksonville Jaguars,16,32,324,0,56,10.1,49,1110,1,100,22.7,7387,30,Jacksonville Jaguars,16,2,2,9,9,6,6,7,4,,,24,21,87.5%,48,46,95.8%,54,2249,76,0,41.6,6,Jacksonville Jaguars,16,18,28,,1,1,2,,50,1,1,46,48,21,24,,411,25.7,30,Jacksonville Jaguars,16,169,1047,39.6,10.1,6.2,33.8,Own 30.2,3:02,2.28
2007,1,Sun,September 9,boxscore,Dallas Cowboys,H,New York Giants,45,35,478,2,438,1,Dallas Cowboys,13,3,0,0.813,455,325,130,8.1,1.3,9.5,7.8,1.7,2,Dallas Cowboys,16,455,5851,975,6,24,5,322,342,531,4105,36,19,7.4,217,419,1746,14,4.2,83,104,815,22,41.8,12.6,117.63,4,Dallas Cowboys,16,342,531,64.4,4105,36,6.8,19,3.6,59,8.1,7.8,12.5,256.6,97.1,,25,185,7.4,7.1,4.5,2,2,144.81,17,Dallas Cowboys,16,419,1746,14,54,4.2,109.1,21,-8.97,28,Dallas Cowboys,16,26,227,0,49,8.7,61,1358,0,72,22.3,7647,7,Dallas Cowboys,16,,,12,10,7,7,7,7,5,2,31,26,83.9%,53,53,100.0%,63,2970,64,0,47.1,2,Dallas Cowboys,16,14,36,,,1,2,1,54,,1,53,53,26,31,,455,28.4,21,Dallas Cowboys,16,182,1006,41.8,12.6,5.5,32.1,Own 31.9,2:41,2.35,New York Giants,10,6,0,0.625,373,351,22,1.4,1.9,3.3,2.8,0.4,14,New York Giants,16,373,5302,1041,5.1,34,14,321,302,544,3154,23,20,5.5,167,469,2148,15,4.6,119,77,652,35,32.3,17.5,-5.3,21,New York Giants,16,302,544,55.5,3154,23,4.2,20,3.7,60,6.2,5.4,11.2,197.1,73,,28,222,5.5,4.7,4.9,5,6,-6.56,4,New York Giants,16,469,2148,15,88,4.6,134.3,26,7.15,9,New York Giants,16,43,319,0,27,7.4,66,1579,1,74,23.9,7521,16,New York Giants,16,1,1,10,9,8,5,8,8,,,27,23,85.2%,42,40,95.2%,72,2905,60,1,40.3,14,New York Giants,16,15,23,,1,2,3,,44,,1,40,42,23,27,,373,23.3,15,New York Giants,16,189,1068,32.3,17.5,5.7,28.1,Own 31.5,2:39,1.77
2007,1,Sun,September 9,boxscore,New England Patriots,A,New York Jets,38,14,431,0,227,0,New England Patriots,16,0,0,1,589,274,315,19.7,0.4,20.1,15.9,4.2,1,New England Patriots,16,589,6580,1058,6.2,15,6,393,403,586,4731,50,9,7.8,243,451,1849,17,4.1,124,78,690,26,52.7,7.8,310.31,1,New England Patriots,16,403,586,68.8,4731,50,8.5,9,1.5,69,8.3,9.3,12.1,295.7,116,,21,128,7.8,8.8,3.5,4,4,290.16,13,New England Patriots,16,451,1849,17,59,4.1,115.6,14,22.41,26,New England Patriots,16,33,311,0,35,9.4,55,1384,2,108,25.2,8462,13,New England Patriots,16,,,10,10,9,8,5,3,,,24,21,87.5%,74,74,100.0%,45,1862,64,1,41.4,1,New England Patriots,16,17,50,,2,3,3,,75,1,1,74,74,21,24,,589,36.8,31,New England Patriots,16,167,1082,52.7,7.8,6.5,39.3,Own 32.3,3:07,3.19,New York Jets,4,12,0,0.25,268,355,-87,-5.4,1.7,-3.7,-4,0.3,25,New York Jets,16,268,4715,1011,4.7,25,6,286,310,512,3014,15,19,5.3,173,446,1701,6,3.8,92,63,486,21,29.2,14,-69.54,25,New York Jets,16,310,512,60.5,3014,15,2.9,19,3.7,57,6.5,5.4,10.7,188.4,73.9,,53,316,5.3,4.4,9.4,1,2,-42.96,19,New York Jets,16,446,1701,6,49,3.8,106.3,20,-18.4,21,New York Jets,16,20,183,0,33,9.2,74,1695,3,98,22.9,6912,26,New York Jets,16,1,1,11,11,12,10,8,6,4,1,36,29,80.6%,24,23,95.8%,72,3106,62,1,43.1,25,New York Jets,16,6,15,,3,1,,1,26,1,2,23,24,29,36,,268,16.8,29,New York Jets,16,171,1048,29.2,14,6.1,27.5,Own 30.3,2:43,1.37
2007,1,Sun,September 9,boxscore,Minnesota Vikings,H,Atlanta Falcons,24,3,302,1,265,2,Minnesota Vikings,8,8,0,0.5,365,311,54,3.4,0.4,3.8,1.4,2.4,15,Minnesota Vikings,16,365,5379,964,5.6,30,16,294,249,432,2745,12,14,5.8,139,494,2634,22,5.3,131,86,662,24,28.4,15.3,-3.74,28,Minnesota Vikings,16,249,432,57.6,2745,12,2.8,14,3.2,79,6.8,5.9,11.8,171.6,74.2,,38,193,5.8,5,8.1,2,3,-18.07,1,Minnesota Vikings,16,494,2634,22,84,5.3,164.6,27,20.5,27,Minnesota Vikings,16,29,242,0,42,8.3,59,1461,1,104,24.8,7369,11,Minnesota Vikings,16,,,3,3,6,6,11,10,4,1,24,20,83.3%,40,39,97.5%,81,3621,70,0,44.7,15,Minnesota Vikings,16,22,12,,1,2,6,,43,3,3,39,40,20,24,1,365,22.8,12,Minnesota Vikings,16,190,988,28.4,15.3,5.2,28.2,Own 27.7,2:29,1.57,Atlanta Falcons,4,12,0,0.25,259,414,-155,-9.7,-0.9,-10.6,-5.8,-4.8,29,Atlanta Falcons,16,259,4813,987,4.9,24,9,248,336,555,3293,18,15,5.5,161,385,1520,7,3.9,73,105,891,14,26.3,12.4,-123.5,18,Atlanta Falcons,16,336,555,60.5,3293,18,3.2,15,2.7,74,6.4,5.9,10.6,205.8,78.9,,47,280,5.5,4.9,7.8,1,2,-55.7,26,Atlanta Falcons,16,385,1520,7,67,3.9,95,18,-50.66,10,Atlanta Falcons,16,36,228,0,23,6.3,72,1781,0,76,24.7,7155,8,Atlanta Falcons,16,,,10,9,12,12,10,5,,,34,26,76.5%,25,25,100.0%,88,3824,63,0,43.5,29,Atlanta Falcons,16,7,18,,,1,,,26,,1,25,25,26,34,,259,16.2,5,Atlanta Falcons,16,194,1021,26.3,12.4,5.3,24.7,Own 31.0,2:22,1.3
2007,1,Sun,September 9,boxscore,Washington Redskins,H,Miami Dolphins,16,13,400,2,273,1,Washington Redskins,9,7,0,0.563,334,310,24,1.5,3,4.5,0.2,4.3,19,Washington Redskins,16,334,5334,1052,5.1,29,18,307,319,525,3463,18,11,6.3,192,498,1871,15,3.8,103,90,751,12,32.1,15,-56.19,14,Washington Redskins,16,319,525,60.8,3463,18,3.4,11,2.1,54,6.9,6.6,11.4,216.4,84.2,,29,159,6.3,6,5.2,1,2,48.38,12,Washington Redskins,16,498,1871,15,32,3.8,116.9,35,-88.08,13,Washington Redskins,16,40,299,0,62,7.5,65,1544,0,80,23.8,7320,17,Washington Redskins,16,,,10,10,10,8,15,11,,,35,29,82.9%,30,29,96.7%,75,3072,64,0,41,19,Washington Redskins,16,15,18,,,,2,,35,2,5,29,30,29,35,2,334,20.9,8,Washington Redskins,16,193,1087,32.1,15,5.6,27.4,Own 32.0,2:35,1.65,Miami Dolphins,1,15,0,0.063,267,437,-170,-10.6,2.3,-8.4,-4.1,-4.2,26,Miami Dolphins,16,267,4600,989,4.7,29,13,283,318,558,3031,12,16,5.1,162,389,1569,14,4,107,91,732,14,26.9,16,-69.8,24,Miami Dolphins,16,318,558,57,3031,12,2.2,16,2.9,64,5.9,5.1,10.4,189.4,69.6,,42,288,5.1,4.3,7,1,1,-56.09,23,Miami Dolphins,16,389,1569,14,60,4,98.1,25,-6.25,14,Miami Dolphins,16,24,230,1,87,9.6,78,1552,0,52,19.9,6671,29,Miami Dolphins,16,,,7,7,6,6,9,7,1,1,23,21,91.3%,26,26,100.0%,77,3327,61,0,43.2,26,Miami Dolphins,16,14,12,1,,1,1,,29,2,2,26,26,21,23,,267,16.7,27,Miami Dolphins,16,175,1012,26.9,16,5.8,26,Own 27.7,2:42,1.4
2007,1,Sun,September 9,boxscore,Carolina Panthers,A,St. Louis Rams,27,13,385,2,238,2,Carolina Panthers,7,9,0,0.438,267,347,-80,-5,-0.8,-5.8,-5.7,-0.1,27,Carolina Panthers,16,267,4559,989,4.6,29,12,255,285,505,2735,19,17,5.1,142,451,1824,7,4,85,95,801,28,26.5,13.8,-87.11,29,Carolina Panthers,16,285,505,56.4,2735,19,3.8,17,3.4,74,5.8,5.1,10.3,170.9,71.9,,33,206,5.1,4.4,6.1,2,3,-36.54,14,Carolina Panthers,16,451,1824,7,75,4,114,25,-38.04,23,Carolina Panthers,16,32,269,0,34,8.4,60,1146,0,60,19.1,6183,6,Carolina Panthers,16,2,2,6,6,9,8,9,6,2,2,28,24,85.7%,27,27,100.0%,92,4038,64,0,43.9,27,Carolina Panthers,16,7,19,,,1,1,,28,,1,27,27,24,28,,267,16.7,16,Carolina Panthers,16,189,1017,26.5,13.8,5.4,23.9,Own 28.7,2:26,1.34,St. Louis Rams,3,13,0,0.188,263,438,-175,-10.9,-2,-13,-6.5,-6.5,28,St. Louis Rams,16,263,4760,1026,4.6,37,9,281,333,574,3233,19,28,5.2,193,404,1527,5,3.8,65,94,794,23,24.9,18.7,-129.19,19,St. Louis Rams,16,333,574,58,3233,19,3.3,28,4.9,40,6.2,4.7,10.7,202.1,67,,48,328,5.2,3.8,7.7,,,-69.2,25,St. Louis Rams,16,404,1527,5,54,3.8,95.4,25,-47.34,5,St. Louis Rams,16,30,357,1,85,11.9,82,1938,0,84,23.6,7404,22,St. Louis Rams,16,,,8,7,7,6,13,8,4,3,32,24,75.0%,25,25,100.0%,78,3684,80,0,47.2,28,St. Louis Rams,16,5,19,1,,,2,,27,1,2,25,25,24,32,1,263,16.4,7,St. Louis Rams,16,193,1059,24.9,18.7,5.5,24.6,Own 28.4,2:30,1.24
