Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP,Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P,Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
Arizona Cardinals,9,7,0,0.563,427,426,1,0.1,-1.9,-1.9,4.1,-6,4,Arizona Cardinals,16,427,5852,998,5.9,30,15,328,418,630,4674,31,15,7.1,231,340,1178,14,3.5,72,107,781,25,39.3,15.7,88.71,2,Arizona Cardinals,16,418,630,66.3,4674,31,4.9,15,2.4,79,7.7,7.7,11.7,292.1,96.1,,28,201,7.1,7,4.3,2,2,169.46,32,Arizona Cardinals,16,340,1178,14,35,3.5,73.6,27,-63.88,6,Arizona Cardinals,16,33,237,0,25,7.2,75,1630,1,93,21.7,7964,23,Arizona Cardinals,16,,,9,9,11,9,6,6,2,1,28,25,89.3%,44,44,100.0%,60,2509,59,0,41.8,4,Arizona Cardinals,16,14,31,,1,1,2,2,51,1,5,44,44,25,28,,427,26.7,20,Arizona Cardinals,16,178,1025,39.3,15.7,5.8,32.9,Own 30.8,2:43,2.19
Atlanta Falcons,11,5,0,0.688,391,325,66,4.1,-0.3,3.8,1.3,2.5,10,Atlanta Falcons,16,391,5779,1011,5.7,21,10,313,265,434,3336,16,11,7.4,157,560,2443,23,4.4,131,71,591,25,39.7,10.3,88.17,14,Atlanta Falcons,16,265,434,61.1,3336,16,3.7,11,2.5,70,7.9,7.5,13,208.5,87.7,,17,104,7.4,7,3.8,2,4,100.79,2,Atlanta Falcons,16,560,2443,23,70,4.4,152.7,18,-11.66,17,Atlanta Falcons,16,43,379,1,61,8.8,59,1408,0,92,23.9,7665,18,Atlanta Falcons,16,,,11,11,8,7,10,10,2,1,31,29,93.5%,42,42,100.0%,65,2647,60,2,40.7,10,Atlanta Falcons,16,23,16,1,,1,2,,43,1,1,42,42,29,31,1,391,24.4,24,Atlanta Falcons,16,174,1042,39.7,10.3,6,33.1,Own 30.6,2:52,2.11
Baltimore Ravens,11,5,0,0.688,385,244,141,8.8,1,9.8,4.2,5.6,11,Baltimore Ravens,16,385,5184,1058,4.9,21,9,300,261,433,2808,16,12,6,147,592,2376,20,4,132,103,785,21,33,10.8,-42.34,28,Baltimore Ravens,16,261,433,60.3,2808,16,3.7,12,2.8,70,7.1,6.6,11.8,175.5,82.8,,33,277,6,5.6,7.1,1,2,-7.52,4,Baltimore Ravens,16,592,2376,20,82,4,148.5,28,-30.94,23,Baltimore Ravens,16,44,378,0,46,8.6,50,1007,0,39,20.1,6892,4,Baltimore Ravens,16,,,11,11,12,11,9,5,3,1,35,28,80.0%,41,41,100.0%,84,3777,74,0,45,11,Baltimore Ravens,16,20,16,,,1,5,,42,1,1,41,41,28,35,3,385,24.1,3,Baltimore Ravens,16,194,1093,33,10.8,5.6,26.6,Own 32.3,2:45,1.73
Buffalo Bills,7,9,0,0.438,336,342,-6,-0.4,-3,-3.3,-2.8,-0.6,23,Buffalo Bills,16,336,4882,956,5.1,30,15,287,309,479,3040,14,15,5.9,167,439,1842,16,4.2,107,71,538,13,34.1,16.5,-50.77,22,Buffalo Bills,16,309,479,64.5,3040,14,2.9,15,3.1,87,6.9,6.1,10.7,190,81.3,,38,262,5.9,5.1,7.4,3,3,-31.9,14,Buffalo Bills,16,439,1842,16,50,4.2,115.1,33,-13.47,12,Buffalo Bills,16,30,464,1,63,15.5,75,1816,1,98,24.2,7412,25,Buffalo Bills,16,1,1,8,7,11,11,15,10,3,1,38,30,78.9%,34,34,100.0%,58,2557,63,0,44.1,23,Buffalo Bills,16,16,14,1,1,,3,,35,1,1,34,34,30,38,,336,21,22,Buffalo Bills,16,176,994,34.1,16.5,5.6,27.7,Own 32.1,2:44,1.7
Carolina Panthers,12,4,0,0.75,414,329,85,5.3,0.3,5.6,2.8,2.9,7,Carolina Panthers,16,414,5595,938,6,19,7,287,246,414,3158,15,12,7.3,152,504,2437,30,4.8,118,94,637,17,38,9.9,48.11,19,Carolina Panthers,16,246,414,59.4,3158,15,3.6,12,2.9,65,7.9,7.4,13.4,197.4,84.7,,20,130,7.3,6.7,4.6,4,5,39.47,3,Carolina Panthers,16,504,2437,30,69,4.8,152.3,12,26.42,16,Carolina Panthers,16,42,453,0,55,10.8,60,1372,0,59,22.9,7622,5,Carolina Panthers,16,,,7,7,9,9,12,11,3,1,31,28,90.3%,46,46,100.0%,76,3349,63,3,44.1,7,Carolina Panthers,16,30,15,,,2,,,47,1,1,46,46,28,31,,414,25.9,4,Carolina Panthers,16,192,969,38,9.9,5,29.2,Own 31.8,2:27,2.08
Chicago Bears,9,7,0,0.563,375,350,25,1.6,0.5,2.1,1.1,1,15,Chicago Bears,16,375,4734,991,4.8,27,13,264,304,528,3061,20,14,5.5,153,434,1673,15,3.9,98,78,610,13,30.5,11.3,-73.66,21,Chicago Bears,16,304,528,57.6,3061,20,3.8,14,2.7,65,6.1,5.7,10.6,191.3,77.1,,29,168,5.5,5.1,5.2,3,3,-29.38,24,Chicago Bears,16,434,1673,15,50,3.9,104.6,19,-35.53,2,Chicago Bears,16,39,261,0,25,6.7,77,1919,1,83,24.9,7108,1,Chicago Bears,16,,,6,6,12,12,11,8,,,29,26,89.7%,41,41,100.0%,96,3957,67,0,41.2,15,Chicago Bears,16,15,20,,1,3,1,2,42,1,1,41,41,26,29,1,375,23.4,1,Chicago Bears,16,203,1021,30.5,11.3,5,23.3,Own 33.4,2:15,1.63
Cincinnati Bengals,4,11,1,0.281,204,364,-160,-10,3,-7,-6.9,-0.1,32,Cincinnati Bengals,16,204,3926,984,4,26,11,245,303,513,2406,11,15,4.3,145,420,1520,6,3.6,80,75,591,20,21,13.4,-156.24,30,Cincinnati Bengals,16,303,513,59.1,2406,11,2.1,15,2.9,79,5.2,4.3,8.8,150.4,68,,51,271,4.3,3.5,9,,,-89.66,29,Cincinnati Bengals,16,420,1520,6,46,3.6,95,27,-63.28,19,Cincinnati Bengals,16,32,253,0,34,7.9,67,1551,0,60,23.1,6075,12,Cincinnati Bengals,16,1,1,6,6,7,6,11,9,,,25,22,88.0%,18,18,100.0%,101,3984,57,1,39.4,32,Cincinnati Bengals,16,6,11,,,2,1,,20,,2,18,18,22,25,,204,12.8,13,Cincinnati Bengals,16,186,1010,21,13.4,5.4,21,Own 30.1,2:31,0.99
Cleveland Browns,4,12,0,0.25,232,350,-118,-7.4,2.7,-4.6,-5.2,0.6,31,Cleveland Browns,16,232,3985,921,4.3,26,6,233,238,488,2380,11,20,4.6,127,409,1605,6,3.9,84,100,669,22,27.3,14.5,-148.88,31,Cleveland Browns,16,238,488,48.8,2380,11,2.3,20,4.1,70,5.2,3.8,10.7,148.8,54.8,,24,157,4.6,3.3,4.7,2,3,-113.59,26,Cleveland Browns,16,409,1605,6,72,3.9,100.3,17,-25.6,27,Cleveland Browns,16,30,251,0,32,8.4,58,1312,1,92,22.6,5690,26,Cleveland Browns,16,,,10,10,14,12,6,5,6,3,36,30,83.3%,18,18,100.0%,76,3443,65,0,45.3,31,Cleveland Browns,16,6,11,,1,,2,,20,2,2,18,18,30,36,,232,14.5,29,Cleveland Browns,16,172,958,27.3,14.5,5.6,23.1,Own 29.8,2:34,1.22
Dallas Cowboys,9,7,0,0.563,362,365,-3,-0.2,0.8,0.6,1.7,-1.2,18,Dallas Cowboys,16,362,5512,979,5.6,33,13,291,328,547,3789,29,20,6.6,171,401,1723,12,4.3,102,120,957,18,32.1,16.3,-6.02,9,Dallas Cowboys,16,328,547,60,3789,29,5.3,20,3.7,75,7.3,6.7,12.2,236.8,84.9,,31,199,6.6,6,5.4,2,2,21.04,21,Dallas Cowboys,16,401,1723,12,60,4.3,107.7,29,-16.01,7,Dallas Cowboys,16,37,238,0,33,6.4,70,1554,1,98,22.2,7494,15,Dallas Cowboys,16,,,1,1,8,7,11,10,2,2,22,20,90.9%,42,42,100.0%,78,3432,70,1,44,18,Dallas Cowboys,16,12,29,,1,,1,,43,,1,42,42,20,22,1,362,22.6,8,Dallas Cowboys,16,190,1001,32.1,16.3,5.3,28.9,Own 29.5,2:32,1.83
Denver Broncos,8,8,0,0.5,370,448,-78,-4.9,-0.9,-5.8,0.7,-6.5,16,Denver Broncos,16,370,6333,1019,6.2,30,12,354,386,620,4471,25,18,7.1,223,387,1862,15,4.8,103,77,739,28,38.9,17.4,122.17,3,Denver Broncos,16,386,620,62.3,4471,25,4,18,2.9,93,7.3,6.8,11.8,279.4,85.9,,12,74,7.1,6.6,1.9,3,4,123.98,12,Denver Broncos,16,387,1862,15,71,4.8,116.4,18,5.37,25,Denver Broncos,16,20,196,0,36,9.8,71,1550,0,95,21.8,8199,32,Denver Broncos,16,,,8,7,9,8,11,5,6,5,34,25,73.5%,40,39,97.5%,46,2150,64,0,46.7,16,Denver Broncos,16,15,25,,,2,,,42,2,2,39,40,25,34,,370,23.1,31,Denver Broncos,16,167,1053,38.9,17.4,6.3,37.9,Own 26.0,2:45,2.13
