Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP,Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P,Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
Arizona Cardinals,5,11,0,0.313,250,357,-107,-6.7,3.5,-3.2,-4.8,1.6,31,Arizona Cardinals,16,250,4209,1018,4.1,34,13,246,337,608,3005,11,21,4.5,168,352,1204,10,3.4,58,102,857,20,22,14.8,-230.4,28,Arizona Cardinals,16,337,608,55.4,3005,11,1.8,21,3.5,53,5.6,4.4,10,187.8,63.1,,58,378,4.5,3.4,8.7,3,3,-155,32,Arizona Cardinals,16,352,1204,10,52,3.4,75.3,25,-68.3,3,Arizona Cardinals,16,54,441,0,26,8.2,40,930,0,65,23.3,6113,2,Arizona Cardinals,16,,,6,6,10,9,10,8,2,2,28,25,89.3%,25,25,100.0%,112,5209,70,0,46.5,31,Arizona Cardinals,16,10,11,,,1,2,1,25,,0,25,25,25,28,,250,15.6,1,Arizona Cardinals,16,209,1046,22,14.8,5,20.1,Own 30.4,2:15,1.06
Atlanta Falcons,13,3,0,0.813,419,299,120,7.5,-1.1,6.4,2,4.5,7,Atlanta Falcons,16,419,5906,1021,5.8,18,4,343,422,615,4509,32,14,7,247,378,1397,12,3.7,70,55,415,26,44,10.3,153.25,6,Atlanta Falcons,16,422,615,68.6,4509,32,5.2,14,2.3,80,7.7,7.7,11.2,281.8,99.1,,28,210,7,7,4.4,5,7,211.97,29,Atlanta Falcons,16,378,1397,12,43,3.7,87.3,9,-50.54,32,Atlanta Falcons,16,26,205,0,28,7.9,27,640,0,77,23.7,7028,18,Atlanta Falcons,16,1,1,9,8,11,10,13,10,4,4,38,33,86.8%,44,44,100.0%,62,2847,63,2,45.9,7,Atlanta Falcons,16,12,32,,,1,1,,46,,2,44,44,33,38,,419,26.2,31,Atlanta Falcons,16,175,1059,44,10.3,6.1,33.7,Own 29.0,2:49,2.33
Baltimore Ravens,10,6,0,0.625,398,344,54,3.4,-0.5,2.9,1.9,1,10,Baltimore Ravens,16,398,5640,1042,5.4,16,5,314,334,560,3739,22,11,6.3,182,444,1901,17,4.3,98,121,1127,34,35.8,7.8,81.26,15,Baltimore Ravens,16,334,560,59.6,3739,22,3.9,11,2,61,7.1,7,12,233.7,86.4,,38,257,6.3,6.2,6.4,4,4,112.02,11,Baltimore Ravens,16,444,1901,17,78,4.3,118.8,14,-26.13,1,Baltimore Ravens,16,43,404,1,63,9.4,60,1636,2,108,27.3,7983,4,Baltimore Ravens,16,,,8,8,8,8,13,10,4,4,33,30,90.9%,42,42,100.0%,83,3911,60,0,47.1,10,Baltimore Ravens,16,17,22,1,2,,2,,44,1,1,42,42,30,33,,398,24.9,8,Baltimore Ravens,16,193,1075,35.8,7.8,5.6,29.2,Own 27.0,2:22,1.88
Buffalo Bills,6,10,0,0.375,344,435,-91,-5.7,-1,-6.7,-0.9,-5.8,21,Buffalo Bills,16,344,5486,983,5.6,34,17,301,309,511,3269,24,17,6,176,442,2217,12,5,103,104,871,22,30,17.4,-3.15,25,Buffalo Bills,16,309,511,60.5,3269,24,4.7,17,3.3,68,6.7,6.2,11.1,204.3,82.2,,30,161,6,5.5,5.5,0,1,20.72,6,Buffalo Bills,16,442,2217,12,62,5,138.6,23,-11.09,29,Buffalo Bills,16,26,445,2,88,17.1,42,1136,1,89,27,7221,21,Buffalo Bills,16,1,1,3,3,11,10,7,6,2,1,24,21,87.5%,39,39,100.0%,80,3542,66,0,44.3,21,Buffalo Bills,16,12,24,2,1,,1,,40,,1,39,39,21,24,1,344,21.5,11,Buffalo Bills,16,190,1007,30,17.4,5.3,28.8,Own 27.3,2:32,1.66
Carolina Panthers,7,9,0,0.438,357,363,-6,-0.4,1.2,0.8,-0.5,1.3,19,Carolina Panthers,16,357,5771,988,5.8,22,10,328,284,490,3683,19,12,7,171,462,2088,21,4.5,123,98,835,34,32.6,10.3,96.36,16,Carolina Panthers,16,284,490,58,3683,19,3.9,12,2.4,82,8,7.7,13.8,230.2,86.5,,36,244,7,6.7,6.8,1,1,86.83,9,Carolina Panthers,16,462,2088,21,72,4.5,130.5,22,20.16,31,Carolina Panthers,16,27,276,0,69,10.2,39,867,0,35,22.2,7161,24,Carolina Panthers,16,,,5,5,6,6,7,4,3,1,21,16,76.2%,44,43,97.7%,77,3267,63,1,42.4,19,Carolina Panthers,16,21,19,,,1,3,,44,,0,43,44,16,21,1,357,22.3,30,Carolina Panthers,16,175,1009,32.6,10.3,5.8,32.9,Own 25.8,2:44,1.91
Chicago Bears,10,6,0,0.625,375,277,98,6.1,0.8,6.9,1,6,16,Chicago Bears,16,375,4969,999,5,24,8,292,287,485,2999,21,16,5.7,163,470,1970,11,4.2,99,102,811,30,30.3,11.8,-38.94,29,Chicago Bears,16,287,485,59.2,2999,21,4.3,16,3.3,60,6.8,6.2,11.5,187.4,80.4,,44,299,5.7,5.1,8.3,1,1,2.87,10,Chicago Bears,16,470,1970,11,46,4.2,123.1,20,-28.41,6,Chicago Bears,16,44,333,0,44,7.6,47,929,0,40,19.8,6557,5,Chicago Bears,16,,,10,9,10,8,11,8,2,2,33,27,81.8%,40,40,100.0%,81,3399,64,0,42,16,Chicago Bears,16,11,21,,,1,8,1,42,1,2,40,40,27,33,,375,23.4,5,Chicago Bears,16,195,1032,30.3,11.8,5.3,25.4,Own 31.1,2:37,1.56
Cincinnati Bengals,10,6,0,0.625,391,320,71,4.4,-2.4,2.1,1.2,0.9,12,Cincinnati Bengals,16,391,5323,1016,5.2,26,10,292,335,540,3578,28,16,6.1,173,430,1745,11,4.1,95,99,857,24,35.4,12.8,-3.9,17,Cincinnati Bengals,16,335,540,62,3578,28,5.2,16,3,73,7.1,6.8,11.4,223.6,88.1,,46,229,6.1,5.8,7.8,2,4,5.27,18,Cincinnati Bengals,16,430,1745,11,48,4.1,109.1,19,-6.56,8,Cincinnati Bengals,16,47,488,1,81,10.4,41,928,0,45,22.6,7010,6,Cincinnati Bengals,16,2,2,8,8,9,9,12,9,4,2,35,30,85.7%,43,43,100.0%,76,3540,69,0,46.6,12,Cincinnati Bengals,16,11,28,1,,1,2,,43,,0,43,43,30,35,,391,24.4,6,Cincinnati Bengals,16,195,1052,35.4,12.8,5.4,27.2,Own 31.2,2:30,1.86
Cleveland Browns,5,11,0,0.313,302,368,-66,-4.1,-1.2,-5.3,-4.6,-0.7,24,Cleveland Browns,16,302,5028,998,5,26,8,279,328,566,3435,16,18,5.7,185,396,1593,12,4,71,113,1005,23,29.8,12,-63.47,19,Cleveland Browns,16,328,566,58,3435,16,2.8,18,3.2,71,6.5,5.6,11.2,214.7,73.5,,36,233,5.7,4.9,6,1,1,-33.56,24,Cleveland Browns,16,396,1593,12,35,4,99.6,22,-20.42,5,Cleveland Browns,16,41,606,1,93,14.8,50,1269,0,74,25.4,7154,14,Cleveland Browns,16,,,9,8,9,8,6,6,7,7,31,29,93.5%,29,29,100.0%,90,3766,58,0,41.8,24,Cleveland Browns,16,12,16,1,,,2,,31,,1,29,29,29,31,,302,18.9,10,Cleveland Browns,16,191,1029,29.8,12,5.4,26.2,Own 29.0,2:22,1.48
Dallas Cowboys,8,8,0,0.5,376,400,-24,-1.5,1.8,0.3,1.4,-1.2,15,Dallas Cowboys,16,376,5994,1049,5.7,29,10,338,434,658,4729,29,19,6.8,237,355,1265,8,3.6,76,117,853,25,36.7,15,67.75,3,Dallas Cowboys,16,434,658,66,4729,29,4.4,19,2.9,85,7.6,7.2,11.5,295.6,91.3,,36,263,6.8,6.4,5.2,5,5,129.09,31,Dallas Cowboys,16,355,1265,8,48,3.6,79.1,20,-45.66,27,Dallas Cowboys,16,34,420,1,78,12.4,36,741,0,44,20.6,7462,29,Dallas Cowboys,16,1,1,5,5,13,13,7,7,5,3,31,29,93.5%,37,37,100.0%,69,3039,64,1,44,15,Dallas Cowboys,16,8,29,1,,2,1,,41,3,4,37,37,29,31,,376,23.5,25,Dallas Cowboys,16,180,1080,36.7,15,6,33.2,Own 27.2,2:45,1.92
Denver Broncos,13,3,0,0.813,481,289,192,12,-1.9,10.1,6.3,3.8,2,Denver Broncos,16,481,6366,1090,5.8,25,14,380,402,588,4534,37,11,7.4,232,481,1832,12,3.8,112,100,805,36,39.9,12.2,135.85,5,Denver Broncos,16,402,588,68.4,4534,37,6.3,11,1.9,71,7.9,8.4,11.6,283.4,105.3,,21,137,7.4,7.8,3.4,3,3,197.32,16,Denver Broncos,16,481,1832,12,31,3.8,114.5,22,-59.03,16,Denver Broncos,16,49,445,1,76,9.1,28,646,1,105,23.1,7671,8,Denver Broncos,16,1,1,7,7,11,10,9,5,4,3,32,26,81.3%,55,55,100.0%,67,3099,67,0,46.3,2,Denver Broncos,16,12,37,1,1,1,5,,57,1,2,55,55,26,32,2,481,30.1,13,Denver Broncos,16,188,1122,39.9,12.2,6,33.9,Own 29.1,2:40,2.24
