Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP,Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P,Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
Detroit Lions,4,12,0,0.25,372,437,-65,-4.1,1.8,-2.3,2.1,-4.4,17,Detroit Lions,16,372,6540,1160,5.6,33,16,382,445,740,4927,22,17,6.4,272,391,1613,17,4.1,84,103,944,26,36,15.2,40.5,2,Detroit Lions,16,445,740,60.1,4927,22,3,17,2.3,57,6.9,6.5,11.5,307.9,81.5,,29,212,6.4,6,3.8,3,3,77.79,23,Detroit Lions,16,391,1613,17,67,4.1,100.8,24,-34.12,28,Detroit Lions,16,35,302,0,48,8.6,34,681,0,40,20,7728,13,Detroit Lions,16,1,1,3,3,10,10,19,16,3,2,36,32,88.9%,38,38,100.0%,76,3149,58,0,41.4,17,Detroit Lions,16,17,22,,,,,,39,1,1,38,38,32,36,1,372,23.3,3,Detroit Lions,16,197,1196,36,15.2,6.1,33.2,Own 25.1,2:36,1.87
Green Bay Packers,11,5,0,0.688,433,336,97,6.1,1.2,7.3,4.9,2.4,5,Green Bay Packers,16,433,5751,1042,5.5,16,8,341,374,558,4049,40,8,6.6,213,433,1702,9,3.9,85,103,923,43,37.6,8.1,149.37,9,Green Bay Packers,16,374,558,67,4049,40,7.2,8,1.4,73,7.8,8.6,11.6,253.1,108.3,,51,293,6.6,7.4,8.4,2,3,176.46,20,Green Bay Packers,16,433,1702,9,41,3.9,106.4,16,-28.93,15,Green Bay Packers,16,36,395,1,75,11,43,1074,0,46,25,7553,7,Green Bay Packers,16,,,5,5,7,5,12,9,9,2,33,21,63.6%,50,50,100.0%,71,3043,65,1,42.9,5,Green Bay Packers,16,9,40,1,,1,1,1,53,1,3,50,50,21,33,,433,27.1,18,Green Bay Packers,16,186,1075,37.6,8.1,5.8,30.9,Own 31.2,2:37,2.18
Houston Texans,12,4,0,0.75,416,331,85,5.3,-1.8,3.5,1.8,1.7,8,Houston Texans,16,416,5953,1090,5.5,17,4,341,354,554,3830,22,13,6.6,205,508,2123,19,4.2,114,108,873,22,35.6,8.4,84,11,Houston Texans,16,354,554,63.9,3830,22,4,13,2.3,60,7.3,7,11.4,239.4,89.2,,28,216,6.6,6.3,4.8,2,2,121,8,Houston Texans,16,508,2123,19,81,4.2,132.7,12,-29.02,13,Houston Texans,16,38,414,0,71,10.9,44,953,0,54,21.7,7574,1,Houston Texans,16,1,1,8,8,11,11,9,7,9,4,38,31,81.6%,45,45,100.0%,88,4150,66,0,47.2,8,Houston Texans,16,19,22,,,,3,2,46,,0,45,45,31,38,1,416,26,2,Houston Texans,16,202,1128,35.6,8.4,5.6,29.5,Own 27.0,2:40,1.88
Indianapolis Colts,11,5,0,0.688,357,387,-30,-1.9,-2.8,-4.7,-1.9,-2.8,18,Indianapolis Colts,16,357,5799,1109,5.2,27,9,360,339,628,4128,23,18,6.2,208,440,1671,11,3.8,110,94,801,42,33.3,13.9,70.29,7,Indianapolis Colts,16,339,628,54,4128,23,3.7,18,2.9,70,7,6.4,12.9,258,76.4,,41,246,6.2,5.6,6.1,4,7,64.2,22,Indianapolis Colts,16,440,1671,11,26,3.8,104.4,21,5.52,25,Indianapolis Colts,16,28,312,1,75,11.1,43,957,1,101,22.3,7315,19,Indianapolis Colts,16,1,1,8,8,7,4,10,9,7,4,33,26,78.8%,37,37,100.0%,74,3500,64,1,47.3,18,Indianapolis Colts,16,11,23,1,1,,4,,40,1,2,37,37,26,33,,357,22.3,26,Indianapolis Colts,16,180,1142,33.3,13.9,6.3,32.2,Own 24.8,2:44,1.76
Jacksonville Jaguars,2,14,0,0.125,255,444,-189,-11.8,-1.1,-13,-8.1,-4.9,30,Jacksonville Jaguars,16,255,4788,994,4.8,26,9,269,328,586,3419,20,17,5.4,157,358,1369,5,3.8,76,101,955,36,25.5,12.8,-121.17,21,Jacksonville Jaguars,16,328,586,56,3419,20,3.4,17,2.9,81,6.4,5.8,11.4,213.7,74.7,,50,327,5.4,4.8,7.9,1,1,-79.92,30,Jacksonville Jaguars,16,358,1369,5,59,3.8,85.6,20,-30.19,9,Jacksonville Jaguars,16,34,248,0,28,7.3,53,1114,0,38,21,6475,28,Jacksonville Jaguars,16,1,1,4,4,8,8,13,11,2,1,28,25,89.3%,19,18,94.7%,92,4353,73,1,47.3,30,Jacksonville Jaguars,16,5,20,,,,,1,26,3,7,18,19,25,28,,255,15.9,4,Jacksonville Jaguars,16,196,1022,25.5,12.8,5.2,24.4,Own 26.6,2:17,1.28
Kansas City Chiefs,2,14,0,0.125,211,425,-214,-13.4,-0.6,-14,-10.3,-3.7,32,Kansas City Chiefs,16,211,5108,1015,5,37,17,286,273,475,2713,8,20,5.3,144,500,2395,9,4.8,118,92,733,24,24.2,18.8,-119.35,32,Kansas City Chiefs,16,273,475,57.5,2713,8,1.7,20,4.2,57,6.2,4.6,10.8,169.6,63.8,,40,224,5.3,3.8,7.8,1,1,-95.42,5,Kansas City Chiefs,16,500,2395,9,91,4.8,149.7,26,-18.14,4,Kansas City Chiefs,16,43,375,0,27,8.7,49,1059,0,41,21.6,6834,31,Kansas City Chiefs,16,,,5,4,15,12,12,10,2,2,34,28,82.4%,17,17,100.0%,83,3887,71,0,46.8,32,Kansas City Chiefs,16,9,8,,,1,,,18,,1,17,17,28,34,1,211,13.2,17,Kansas City Chiefs,16,186,1049,24.2,18.8,5.6,27.4,Own 26.4,2:37,1.09
Miami Dolphins,7,9,0,0.438,288,317,-29,-1.8,-0.8,-2.6,-5.5,2.9,27,Miami Dolphins,16,288,4984,981,5.1,26,13,288,293,504,3182,13,13,5.9,158,440,1802,15,4.1,93,82,724,37,27.4,12.9,-38.78,26,Miami Dolphins,16,293,504,58.1,3182,13,2.6,13,2.6,80,6.8,6.2,11.7,198.9,76.7,,37,243,5.9,5.3,6.8,1,1,2,17,Miami Dolphins,16,440,1802,15,65,4.1,112.6,25,-38.29,26,Miami Dolphins,16,31,346,1,72,11.2,40,1082,1,96,27.1,6668,30,Miami Dolphins,16,,,3,3,9,9,13,9,5,2,30,23,76.7%,29,29,100.0%,76,3779,67,0,49.7,27,Miami Dolphins,16,15,13,1,1,,,1,31,2,2,29,29,23,30,,288,18,16,Miami Dolphins,16,186,1011,27.4,12.9,5.4,26.8,Own 25.3,2:30,1.42
Minnesota Vikings,10,6,0,0.625,379,348,31,1.9,1.4,3.4,1.6,1.8,14,Minnesota Vikings,16,379,5385,1001,5.4,23,11,306,300,483,2751,18,12,5.3,163,486,2634,16,5.4,113,90,830,30,37.9,12.6,34.14,31,Minnesota Vikings,16,300,483,62.1,2751,18,3.7,12,2.5,65,6.1,5.7,9.8,171.9,81.2,,32,184,5.3,5,6.2,1,2,24.46,2,Minnesota Vikings,16,486,2634,16,82,5.4,164.6,21,12.36,19,Minnesota Vikings,16,32,287,1,77,9,44,1171,1,105,26.6,7027,17,Minnesota Vikings,16,,,10,10,9,8,9,7,10,10,38,35,92.1%,36,36,100.0%,72,3237,59,0,45,14,Minnesota Vikings,16,16,18,1,1,,3,,39,2,3,36,36,35,38,,379,23.7,24,Minnesota Vikings,16,182,1039,37.9,12.6,5.7,29.5,Own 27.4,2:32,1.88
New England Patriots,12,4,0,0.75,557,331,226,14.1,-1.4,12.8,12.2,0.5,1,New England Patriots,16,557,6846,1191,5.7,16,7,444,402,641,4662,34,9,7,256,523,2184,25,4.2,151,97,840,37,48.1,8.1,253.91,4,New England Patriots,16,402,641,62.7,4662,34,5.3,9,1.4,83,7.6,8,12,291.4,97.7,,27,182,7,7.4,4,1,2,235.67,7,New England Patriots,16,523,2184,25,47,4.2,136.5,14,23.03,14,New England Patriots,16,42,506,1,68,12,38,807,1,104,21.2,8415,3,New England Patriots,16,,,8,8,12,10,13,9,2,2,35,29,82.9%,66,66,100.0%,61,2585,62,1,42.4,1,New England Patriots,16,25,34,1,1,4,2,,67,,1,66,66,29,35,1,557,34.8,20,New England Patriots,16,185,1226,48.1,8.1,6.6,37,Own 28.4,2:40,2.74
New Orleans Saints,7,9,0,0.438,461,454,7,0.4,1,1.4,6.5,-5.1,3,New Orleans Saints,16,461,6574,1067,6.2,24,5,352,423,671,4997,43,19,7.2,267,370,1577,10,4.3,64,104,911,21,37.4,12.1,142.9,1,New Orleans Saints,16,423,671,63,4997,43,6.4,19,2.8,80,7.7,7.7,12.3,312.3,96.4,,26,190,7.2,7.2,3.7,1,2,157.98,25,New Orleans Saints,16,370,1577,10,56,4.3,98.6,13,-7.95,18,New Orleans Saints,16,25,190,0,37,7.6,51,1266,0,75,24.8,8222,9,New Orleans Saints,16,,,9,9,6,4,3,2,4,3,22,18,81.8%,57,57,100.0%,74,3707,70,0,50.1,3,New Orleans Saints,16,10,43,,,,4,1,58,1,1,57,57,18,22,,461,28.8,12,New Orleans Saints,16,190,1089,37.4,12.1,5.7,34.7,Own 24.2,2:26,2.24
New York Giants,9,7,0,0.563,429,344,85,5.3,0.9,6.2,4,2.2,6,New York Giants,16,429,5687,968,5.9,21,6,327,323,539,3825,26,15,6.8,187,409,1862,18,4.6,103,72,578,37,43.8,11.9,103.44,12,New York Giants,16,323,539,59.9,3825,26,4.8,15,2.8,80,7.4,7.1,12.3,239.1,87.2,,20,142,6.8,6.6,3.6,3,3,101.32,14,New York Giants,16,409,1862,18,52,4.6,116.4,13,3.39,12,New York Giants,16,20,144,0,18,7.2,63,1648,1,97,26.2,7727,22,New York Giants,16,,,11,11,16,14,9,7,3,1,39,33,84.6%,46,46,100.0%,58,2757,68,0,47.5,6,New York Giants,16,18,26,,1,1,1,,47,1,1,46,46,33,39,,429,26.8,29,New York Giants,16,176,1007,43.8,11.9,5.7,32.3,Own 31.4,2:39,2.31
New York Jets,6,10,0,0.375,281,375,-94,-5.9,0,-5.9,-5.1,-0.9,28,New York Jets,16,281,4787,1034,4.6,37,18,299,272,493,2891,14,19,5.4,162,494,1896,12,3.8,102,83,708,35,24.2,17.5,-93.73,30,New York Jets,16,272,493,55.2,2891,14,2.8,19,3.9,66,6.4,5.3,11.7,180.7,68.3,,47,287,5.4,4.3,8.7,2,2,-65.56,12,New York Jets,16,494,1896,12,61,3.8,118.5,32,-18.59,22,New York Jets,16,23,238,1,68,10.3,50,1308,1,100,26.2,6688,23,New York Jets,16,,,8,7,8,6,7,5,4,3,27,21,77.8%,30,30,100.0%,86,3848,61,2,44.7,28,New York Jets,16,12,14,1,1,1,2,,31,,1,30,30,21,27,1,281,17.6,7,New York Jets,16,194,1061,24.2,17.5,5.5,24.6,Own 27.8,2:31,1.26
Oakland Raiders,4,12,0,0.25,290,443,-153,-9.6,-1.3,-10.8,-4.6,-6.2,26,Oakland Raiders,16,290,5504,1032,5.3,26,10,300,376,629,4084,24,16,6.2,200,376,1420,4,3.8,72,108,939,28,31.4,12.8,-40.18,8,Oakland Raiders,16,376,629,59.8,4084,24,3.8,16,2.5,64,6.8,6.4,11.4,255.3,82.4,,27,208,6.2,5.9,4.1,2,2,33.99,28,Oakland Raiders,16,376,1420,4,64,3.8,88.8,22,-69.74,17,Oakland Raiders,16,34,173,0,47,5.1,42,935,0,51,22.3,6771,25,Oakland Raiders,16,1,1,9,9,10,10,5,5,9,6,34,31,91.2%,25,25,100.0%,82,3826,68,1,46.7,26,Oakland Raiders,16,4,24,,,,,,28,2,3,25,25,31,34,,290,18.1,15,Oakland Raiders,16,188,1066,31.4,12.8,5.7,29,Own 26.0,2:31,1.54
Philadelphia Eagles,4,12,0,0.25,280,444,-164,-10.3,1.4,-8.9,-5.3,-3.6,29,Philadelphia Eagles,16,280,5665,1079,5.3,37,22,332,367,618,3791,18,15,5.7,190,413,1874,10,4.5,111,98,813,31,29.9,17.9,-50.97,13,Philadelphia Eagles,16,367,618,59.4,3791,18,2.9,15,2.4,77,6.6,6.1,11.1,236.9,78.6,,48,284,5.7,5.2,7.2,4,4,-0.36,13,Philadelphia Eagles,16,413,1874,10,65,4.5,117.1,37,-50.24,7,Philadelphia Eagles,16,30,310,1,98,10.3,60,1259,0,44,21,7463,32,Philadelphia Eagles,16,,,9,8,9,8,12,11,1,,31,27,87.1%,26,25,96.2%,72,3336,66,1,46.3,29,Philadelphia Eagles,16,10,18,1,,,,,29,,3,25,26,27,31,,280,17.5,21,Philadelphia Eagles,16,184,1110,29.9,17.9,6,30.4,Own 25.6,2:35,1.51
Pittsburgh Steelers,8,8,0,0.5,336,314,22,1.4,-2,-0.7,-2.8,2.1,22,Pittsburgh Steelers,16,336,5324,1023,5.2,30,16,307,354,574,3787,27,14,6.2,202,412,1537,8,3.7,80,92,938,25,33.9,15.6,1.4,14,Pittsburgh Steelers,16,354,574,61.7,3787,27,4.7,14,2.4,82,7,6.8,11.3,236.7,88.1,,37,225,6.2,6.1,6.1,3,4,65.43,26,Pittsburgh Steelers,16,412,1537,8,34,3.7,96.1,33,-58.31,11,Pittsburgh Steelers,16,41,300,0,63,7.3,43,1086,0,68,25.3,6946,20,Pittsburgh Steelers,16,,,8,7,8,8,12,12,3,1,31,28,90.3%,34,34,100.0%,79,3400,79,1,43,22,Pittsburgh Steelers,16,8,27,,,,1,,36,1,2,34,34,28,31,,336,21,19,Pittsburgh Steelers,16,186,1054,33.9,15.6,5.7,28.6,Own 26.8,2:46,1.77
San Diego Chargers,7,9,0,0.438,350,350,0,0,-2.3,-2.3,-2,-0.4,20,San Diego Chargers,16,350,4756,988,4.8,26,11,293,338,528,3295,26,15,5.7,184,411,1461,4,3.6,81,103,796,28,30.6,13.9,-37.96,24,San Diego Chargers,16,338,528,64,3295,26,4.9,15,2.8,80,6.8,6.5,10.7,205.9,88.5,,49,311,5.7,5.4,8.5,,,20.85,27,San Diego Chargers,16,411,1461,4,52,3.6,91.3,24,-48.67,23,San Diego Chargers,16,33,320,1,63,9.7,40,957,1,99,23.9,6342,12,San Diego Chargers,16,2,2,8,8,6,6,7,7,4,2,27,25,92.6%,39,39,100.0%,84,3914,66,3,46.6,20,San Diego Chargers,16,4,26,1,1,2,5,,39,,0,39,39,25,27,1,350,21.9,27,San Diego Chargers,16,180,1015,30.6,13.9,5.6,26.4,Own 28.9,2:49,1.58
San Francisco 49ers,11,4,1,0.719,397,273,124,7.8,2.5,10.2,3.5,6.7,11,San Francisco 49ers,16,397,5789,969,6,16,8,322,289,436,3298,23,8,6.9,172,492,2491,17,5.1,128,109,960,22,39.3,7.9,147.79,23,San Francisco 49ers,16,289,436,66.3,3298,23,5.3,8,1.8,57,8.1,8.4,12.3,206.1,101.2,,41,253,6.9,7.1,8.6,2,2,100.46,4,San Francisco 49ers,16,492,2491,17,50,5.1,155.7,26,55.54,10,San Francisco 49ers,16,36,378,0,38,10.5,49,1216,0,94,24.8,7774,10,San Francisco 49ers,16,1,1,9,8,13,11,13,7,6,2,42,29,69.0%,44,44,100.0%,67,3226,66,0,48.1,11,San Francisco 49ers,16,17,23,,,2,2,,44,,0,44,44,29,42,1,397,24.8,28,San Francisco 49ers,16,178,1011,39.3,7.9,5.7,32.5,Own 31.8,2:51,2.1
Seattle Seahawks,11,5,0,0.688,412,245,167,10.4,1.8,12.2,4.5,7.7,9,Seattle Seahawks,16,412,5610,974,5.8,18,8,311,259,405,3031,27,10,6.9,153,536,2579,16,4.8,129,110,890,29,39.4,10,129.06,27,Seattle Seahawks,16,259,405,64,3031,27,6.7,10,2.5,67,8,8.2,12.5,189.4,100.6,,33,203,6.9,7.1,7.5,4,5,129.26,3,Seattle Seahawks,16,536,2579,16,77,4.8,161.2,16,14.14,24,Seattle Seahawks,16,42,355,0,52,8.5,29,787,1,98,27.1,6985,26,Seattle Seahawks,16,1,1,7,7,10,10,5,5,4,1,27,24,88.9%,48,46,95.8%,65,2963,73,0,45.6,9,Seattle Seahawks,16,16,27,,1,1,2,2,49,,0,46,48,24,27,,412,25.8,32,Seattle Seahawks,16,170,1001,39.4,10,5.9,32.9,Own 29.4,3:00,2.19
St. Louis Rams,7,8,1,0.469,299,348,-49,-3.1,3.4,0.4,-2.1,2.4,25,St. Louis Rams,16,299,5264,1002,5.3,22,8,287,332,557,3550,22,14,6,189,410,1714,5,4.2,79,130,978,19,27.5,11,-27.88,18,St. Louis Rams,16,332,557,59.6,3550,22,3.9,14,2.5,80,6.8,6.5,11.4,221.9,82.7,,35,233,6,5.7,5.9,4,3,19.1,19,St. Louis Rams,16,410,1714,5,53,4.2,107.1,24,-38.58,20,St. Louis Rams,16,37,245,0,23,6.6,38,799,0,48,21,6546,27,St. Louis Rams,16,1,1,4,4,6,4,7,7,13,7,31,23,74.2%,26,26,100.0%,82,3756,68,0,45.8,25,St. Louis Rams,16,5,22,,,1,4,,32,5,6,26,26,23,31,1,299,18.7,23,St. Louis Rams,16,182,1033,27.5,11,5.7,28.9,Own 24.4,2:37,1.42
