Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP,Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP,Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,Rk,Tm,G,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck,Y/P,Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
Arizona Cardinals,8,8,0,0.5,404,399,5,0.3,-4.3,-3.9,1.9,-5.9,7,Arizona Cardinals,16,404,5505,1016,5.4,36,12,308,356,590,4065,32,24,6.6,210,402,1440,9,3.6,70,137,1128,28,32,18.3,-11.3,5,Arizona Cardinals,16,356,590,60.3,4065,32,5.4,24,4.1,62,7.2,6.4,11.9,254.1,83.4,,24,163,6.6,5.9,3.9,2,2,42.86,29,Arizona Cardinals,16,402,1440,9,27,3.6,90,27,-37.14,3,Arizona Cardinals,16,42,395,1,73,9.4,74,1682,0,59,22.7,7741,3,Arizona Cardinals,16,2,2,5,5,8,6,6,5,9,3,30,21,70.0%,48,47,97.9%,80,3238,61,1,40.5,7,Arizona Cardinals,16,9,32,1,,1,6,,49,,1,47,48,21,30,,404,25.3,4,Arizona Cardinals,16,197,1046,32,18.3,5.3,27.6,Own 32.5,2:29,1.81
Atlanta Falcons,4,12,0,0.25,259,414,-155,-9.7,-0.9,-10.6,-5.8,-4.8,29,Atlanta Falcons,16,259,4813,987,4.9,24,9,248,336,555,3293,18,15,5.5,161,385,1520,7,3.9,73,105,891,14,26.3,12.4,-123.5,18,Atlanta Falcons,16,336,555,60.5,3293,18,3.2,15,2.7,74,6.4,5.9,10.6,205.8,78.9,,47,280,5.5,4.9,7.8,1,2,-55.7,26,Atlanta Falcons,16,385,1520,7,67,3.9,95,18,-50.66,10,Atlanta Falcons,16,36,228,0,23,6.3,72,1781,0,76,24.7,7155,8,Atlanta Falcons,16,,,10,9,12,12,10,5,,,34,26,76.5%,25,25,100.0%,88,3824,63,0,43.5,29,Atlanta Falcons,16,7,18,,,1,,,26,,1,25,25,26,34,,259,16.2,5,Atlanta Falcons,16,194,1021,26.3,12.4,5.3,24.7,Own 31.0,2:22,1.3
Baltimore Ravens,5,11,0,0.313,275,384,-109,-6.8,0.1,-6.7,-5,-1.8,24,Baltimore Ravens,16,275,4832,1042,4.6,40,26,291,341,557,3035,13,14,5.1,175,446,1797,11,4,96,107,873,20,27.4,18.3,-105.93,23,Baltimore Ravens,16,341,557,61.2,3035,13,2.3,14,2.5,79,5.9,5.3,9.7,189.7,75.2,,39,273,5.1,4.5,6.5,0,1,-53.83,16,Baltimore Ravens,16,446,1797,11,46,4,112.3,35,-39,17,Baltimore Ravens,16,35,338,2,75,9.7,65,1525,1,94,23.5,6962,20,Baltimore Ravens,16,1,1,11,11,7,7,12,8,1,,32,27,84.4%,26,26,100.0%,79,3441,64,1,43.6,24,Baltimore Ravens,16,11,13,2,1,,1,,28,,2,26,26,27,32,,275,17.2,18,Baltimore Ravens,16,186,1076,27.4,18.3,5.8,25.9,Own 29.5,2:41,1.34
Buffalo Bills,7,9,0,0.438,252,354,-102,-6.4,2.3,-4.1,-5.6,1.5,30,Buffalo Bills,16,252,4434,919,4.8,21,7,248,263,445,2634,12,14,5.6,141,448,1800,8,4,91,78,633,16,24.9,11.9,-83.72,30,Buffalo Bills,16,263,445,59.1,2634,12,2.7,14,3.1,85,6.4,5.5,10.8,164.6,73.8,,26,208,5.6,4.8,5.5,3,5,-50.72,15,Buffalo Bills,16,448,1800,8,56,4,112.5,20,-27.87,16,Buffalo Bills,16,31,476,1,74,15.4,70,1448,1,103,20.7,6540,25,Buffalo Bills,16,,,11,11,7,7,6,4,3,2,27,24,88.9%,24,24,100.0%,81,3302,75,0,40.8,30,Buffalo Bills,16,8,12,1,1,1,2,,25,1,1,24,24,24,27,2,252,15.8,25,Buffalo Bills,16,177,946,24.9,11.9,5.3,24.8,Own 30.4,2:36,1.2
Carolina Panthers,7,9,0,0.438,267,347,-80,-5,-0.8,-5.8,-5.7,-0.1,27,Carolina Panthers,16,267,4559,989,4.6,29,12,255,285,505,2735,19,17,5.1,142,451,1824,7,4,85,95,801,28,26.5,13.8,-87.11,29,Carolina Panthers,16,285,505,56.4,2735,19,3.8,17,3.4,74,5.8,5.1,10.3,170.9,71.9,,33,206,5.1,4.4,6.1,2,3,-36.54,14,Carolina Panthers,16,451,1824,7,75,4,114,25,-38.04,23,Carolina Panthers,16,32,269,0,34,8.4,60,1146,0,60,19.1,6183,6,Carolina Panthers,16,2,2,6,6,9,8,9,6,2,2,28,24,85.7%,27,27,100.0%,92,4038,64,0,43.9,27,Carolina Panthers,16,7,19,,,1,1,,28,,1,27,27,24,28,,267,16.7,16,Carolina Panthers,16,189,1017,26.5,13.8,5.4,23.9,Own 28.7,2:26,1.34
Chicago Bears,7,9,0,0.438,334,348,-14,-0.9,2.1,1.2,-0.2,1.4,20,Chicago Bears,16,334,4692,1035,4.5,34,13,266,327,569,3362,18,21,5.5,168,423,1330,8,3.1,74,111,839,24,27.8,15.1,-141.68,15,Chicago Bears,16,327,569,57.5,3362,18,3.2,21,3.7,81,6.5,5.5,11.3,210.1,72.2,,43,339,5.5,4.5,7,4,4,-54.66,30,Chicago Bears,16,423,1330,8,43,3.1,83.1,34,-72.35,7,Chicago Bears,16,44,651,4,89,14.8,67,1234,2,97,18.4,7222,2,Chicago Bears,16,,,7,7,13,12,14,12,2,,36,31,86.1%,33,33,100.0%,94,3934,60,0,41.9,20,Chicago Bears,16,8,18,4,2,,1,1,34,1,1,33,33,31,36,1,334,20.9,1,Chicago Bears,16,205,1071,27.8,15.1,5.2,22.8,Own 34.5,2:13,1.34
Cincinnati Bengals,7,9,0,0.438,380,385,-5,-0.3,-2.1,-2.4,1.6,-4,11,Cincinnati Bengals,16,380,5568,1008,5.5,30,10,320,373,575,4012,26,20,6.8,213,416,1556,10,3.7,81,90,670,26,37.9,15.3,30.63,7,Cincinnati Bengals,16,373,575,64.9,4012,26,4.5,20,3.5,70,7.2,6.5,11.1,250.8,86.7,,17,119,6.8,6.1,2.9,2,2,80.79,24,Cincinnati Bengals,16,416,1556,10,45,3.7,97.3,20,-36.71,18,Cincinnati Bengals,16,27,131,0,19,4.9,73,1684,1,100,23.1,7648,27,Cincinnati Bengals,16,1,1,12,11,13,13,7,6,1,,34,31,91.2%,37,37,100.0%,59,2437,55,0,41.3,11,Cincinnati Bengals,16,10,26,,1,2,1,1,41,1,3,37,37,31,34,1,380,23.8,23,Cincinnati Bengals,16,177,1042,37.9,15.3,5.9,31.4,Own 31.1,2:39,1.95
Cleveland Browns,10,6,0,0.625,402,382,20,1.3,-2.3,-1.1,2.2,-3.3,8,Cleveland Browns,16,402,5621,1004,5.6,29,9,315,305,545,3726,29,20,6.6,192,440,1895,13,4.3,110,114,868,13,35.4,14.6,-2.69,12,Cleveland Browns,16,305,545,56,3726,29,5.3,20,3.7,78,7.1,6.5,12.7,232.9,80.7,,19,140,6.6,6,3.4,2,2,21.73,10,Cleveland Browns,16,440,1895,13,66,4.3,118.4,22,-11.28,15,Cleveland Browns,16,30,405,1,76,13.5,72,1943,2,100,27,8098,14,Cleveland Browns,16,2,2,10,9,8,7,8,7,2,1,30,26,86.7%,43,42,97.7%,69,2895,64,0,42,8,Cleveland Browns,16,13,29,1,2,,1,,46,2,3,42,43,26,30,1,402,25.1,9,Cleveland Browns,16,192,1034,35.4,14.6,5.4,29.2,Own 33.2,2:27,1.94
Dallas Cowboys,13,3,0,0.813,455,325,130,8.1,1.3,9.5,7.8,1.7,2,Dallas Cowboys,16,455,5851,975,6,24,5,322,342,531,4105,36,19,7.4,217,419,1746,14,4.2,83,104,815,22,41.8,12.6,117.63,4,Dallas Cowboys,16,342,531,64.4,4105,36,6.8,19,3.6,59,8.1,7.8,12.5,256.6,97.1,,25,185,7.4,7.1,4.5,2,2,144.81,17,Dallas Cowboys,16,419,1746,14,54,4.2,109.1,21,-8.97,28,Dallas Cowboys,16,26,227,0,49,8.7,61,1358,0,72,22.3,7647,7,Dallas Cowboys,16,,,12,10,7,7,7,7,5,2,31,26,83.9%,53,53,100.0%,63,2970,64,0,47.1,2,Dallas Cowboys,16,14,36,,,1,2,1,54,,1,53,53,26,31,,455,28.4,21,Dallas Cowboys,16,182,1006,41.8,12.6,5.5,32.1,Own 31.9,2:41,2.35
Denver Broncos,7,9,0,0.438,320,409,-89,-5.6,1.6,-3.9,-0.2,-3.8,21,Denver Broncos,16,320,5541,976,5.7,29,14,305,326,515,3584,21,15,6.6,187,429,1957,10,4.6,96,90,610,22,32.8,14.7,1.5,13,Denver Broncos,16,326,515,63.3,3584,21,4.1,15,2.9,68,7.3,6.8,11.5,224,86.7,,32,175,6.6,6.1,5.9,2,3,36.56,9,Denver Broncos,16,429,1957,10,62,4.6,122.3,30,-26.89,30,Denver Broncos,16,23,209,1,80,9.1,58,1293,0,35,22.3,7254,32,Denver Broncos,16,,,11,11,6,6,12,9,2,1,31,27,87.1%,33,33,100.0%,60,2721,65,2,45.4,21,Denver Broncos,16,10,21,1,,2,,,34,,1,33,33,27,31,1,320,20,24,Denver Broncos,16,177,1007,32.8,14.7,5.7,31.1,Own 28.0,2:40,1.68
Detroit Lions,7,9,0,0.438,346,444,-98,-6.1,2.6,-3.6,1.4,-5,16,Detroit Lions,16,346,5166,965,5.4,36,14,303,368,587,3878,19,22,6,203,324,1288,13,4,73,100,676,27,32.3,18.5,-42.6,9,Detroit Lions,16,368,587,62.7,3878,19,3.2,22,3.7,91,7.2,6.1,11.5,242.4,79.4,,54,338,6,5.1,8.4,2,3,0.43,31,Detroit Lions,16,324,1288,13,53,4,80.5,35,-31.73,25,Detroit Lions,16,18,148,0,18,8.2,72,1628,1,74,22.6,7315,19,Detroit Lions,16,1,1,5,4,12,10,13,11,4,3,35,29,82.9%,36,35,97.2%,68,3010,58,0,44.3,16,Detroit Lions,16,13,19,,1,,3,1,37,,1,35,36,29,35,1,346,21.6,17,Detroit Lions,16,189,1000,32.3,18.5,5.3,27.3,Own 29.7,2:21,1.65
Green Bay Packers,13,3,0,0.813,435,291,144,9,0,9,5.7,3.3,4,Green Bay Packers,16,435,5931,985,6,24,9,307,383,578,4334,30,15,7.3,210,388,1597,13,4.1,69,113,1006,28,38.9,12.1,101.36,2,Green Bay Packers,16,383,578,66.3,4334,30,5.2,15,2.6,82,7.7,7.6,11.6,270.9,95.9,,19,127,7.3,7.1,3.2,2,4,151.93,21,Green Bay Packers,16,388,1597,13,66,4.1,99.8,25,-42.03,8,Green Bay Packers,16,48,492,2,94,10.3,62,1349,0,67,21.8,7925,5,Green Bay Packers,16,1,1,8,8,11,10,14,9,5,3,39,31,79.5%,48,48,100.0%,62,2753,72,2,44.4,4,Green Bay Packers,16,13,30,2,,3,1,,49,,0,48,48,31,39,,435,27.2,13,Green Bay Packers,16,190,1024,38.9,12.1,5.4,31,Own 31.5,2:33,2.07
