year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade,Rnd,Pick,Tm,Name,Pos,Age,To,AP1 Misc,PB Misc,St,CarAV Approx Val,DrAV Approx Val,G,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,Att Rushing,Yds Rushing,TD Rushing,Rec Receiving,Yds Receiving,TD Receiving,Tkl,Int,Sk,College/Univ,Source,PICK,TEAM,PLAYER,POS,COLLEGE,YRS,DOLLARS,S.BONUS,G'TEED,2015 CAP HIT
2015,Blake Bell,Blake,Bell,TE,6,6,78,252,0,0,4.8,0,0,4.32,0,33,116,14,0,Oklahoma,,0,0,0,5.2,4,117,SFO,Blake Bell,TE,24,2015,0,0,0,,,10,,,,,,,,,7,89,0,,,,Oklahoma,College Stats,117,SFfrom SD,Blake Bell,TE,Oklahoma,4,"$2,785,132","$505,132","$505,132","$561,283"
2015,Kenny Bell,Kenny,Bell,WR,6,1,73,197,0,0,4.42,0,0,4.15,6.66,41.5,129,7,0,Nebraska,,0,0,0,5.4,5,162,TAM,Kenny Bell,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Nebraska,College Stats,162,TBfrom BAL,Kenny Bell,WR,Nebraska,4,"$2,484,836","$204,836","$204,836","$486,209"
2015,Michael Bennett,Michael,Bennett,DT,6,2,74,293,0,0,0,0,0,0,0,0,0,0,0,Ohio St.,,0,0,0,6,6,180,JAX,Michael Bennett,DT,22,2015,0,0,0,,,9,,,,,,,,,,,,3,,0.5,Ohio St.,College Stats,180,JAC,Michael Bennett,DT,Ohio State,4,"$2,418,698","$138,698","$138,698","$469,674"
2015,Angelo Blackson,Angelo,Blackson,DT,6,4,76,318,0,0,5.02,0,0,4.57,7.5,31,101,20,0,Auburn,,0,0,0,5,4,100,TEN,Angelo Blackson,DT,22,2015,0,0,0,,,12,,,,,,,,,,,,6,,2,Auburn,,100,TEN,Angelo Blackson,DT,Auburn,4,"$2,851,615","$571,615","$571,615","$577,903"
2015,Nick Boyle,Nick,Boyle,TE,6,4,76,268,0,0,5.04,0,0,4.23,0,30.5,112,20,0,Delaware,,0,0,0,5.2,5,171,BAL,Nick Boyle,TE,22,2015,0,0,0,,,11,,,,,,,,,18,153,0,,,,Delaware,,171 (C),BAL,Nick Boyle,TE,Delaware,4,"$2,446,254","$166,254","$166,254","$476,563"
2015,Da'Ron Brown,Da'Ron,Brown,WR,6,0,72,205,0,0,4.54,0,0,4.11,7.04,37,120,17,0,Northern Illinois,,0,0,0,4.9,7,233,KAN,Da'Ron Brown,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Northern Illinois,,233,KC,Da'Ron Brown,WR,Northern Illinois,4,"$2,375,056","$68,056","$68,056","$452,014"
2015,Jamon Brown,Jamon,Brown,OT,6,4,76,323,0,0,0,0,0,0,0,0,0,0,0,Louisville,,0,0,0,5.3,3,72,STL,Jamon Brown,T,22,2015,0,0,0,,,9,,,,,,,,,,,,,,,Louisville,College Stats,72,STL,Jamon Brown,G,Louisville,4,"$3,243,261","$754,816","$754,816","$623,704"
2015,Malcom Brown,Malcom,Brown,DT,6,2,74,319,0,0,5.05,0,0,4.59,7.84,29.5,98,26,0,Texas,,0,0,0,6.1,1,32,NWE,Malcom Brown,DT,21,2015,0,0,0,,,12,,,,,,,,,,,,21,,3,Texas,,32,NE,Malcom Brown,DT,Texas,4,"$7,613,229","$3,796,894","$6,140,062","$1,384,223"
2015,Trenton Brown,Trenton,Brown,OG,6,8,80,355,0,0,5.29,0,0,4.78,8.23,23.5,97,20,0,Florida,,0,0,0,5.3,7,244,SFO,Trenton Brown,G,22,2015,0,0,0,,,3,,,,,,,,,,,,,,,Florida,College Stats,244,"SFfrom DAL 
via IND",Trenton Brown,G,Florida,4,"$2,335,893","$55,893","$55,893","$448,973"
2015,Michael Burton,Michael,Burton,FB,5,11,71,242,0,0,4.74,0,0,4.34,7.2,33,115,25,0,Rutgers,,0,0,0,4.8,5,168,DET,Michael Burton,FB,23,2015,0,0,0,,,12,,,,,,4,2,0,2,9,0,,,,Rutgers,College Stats,168,"DETfrom NE 
via TB",Michael Burton,FB,Rutgers,4,"$2,464,356","$184,356","$184,356","$481,089"
