R1_year,R5_pos,Phys3_htin,Phys4_wt,Speed1_40,Speed4_20ss,Speed5_3cone,Strg1_v,Strg2_b,Strg3_bench,Draft6_grade,Draft8_pick,Draft9_team
2015,OT,77,314,5.16,4.7,8,29.5,106,21,5.1,91,DAL
2015,WR,77,237,4.49,4.45,6.89,33.5,119,13,5.7,40,TEN
2015,WR,71,182,4.53,4.12,6.88,36.5,122,0,5.7,139,JAX
2015,OLB,77,235,4.64,0,0,36.5,125,24,6.4,60,DAL
2015,DE,75,262,4.81,4.38,7.24,37,117,20,5.4,97,NWE
2015,RB,73,222,0,0,0,0,0,17,6.3,10,STL
2015,DE,77,246,4.72,4.28,7.28,36,121,22,5.2,209,SEA
2015,ILB,73,234,4.6,4.36,7.15,35,117,26,5.1,224,STL
2015,DE,75,307,0,0,0,0,0,27,5.6,135,CIN
2015,WR,70,192,4.56,4.21,6.63,36.5,114,11,5.4,107,ATL
2015,OLB,75,247,4.6,4.16,7.07,35,123,0,5.9,79,SFO
2015,OG,76,330,5.19,4.62,7.51,29.5,102,26,5.7,152,NYJ
2015,OG,77,329,0,0,0,0,0,0,5.1,226,NYG
2015,OT,79,321,5.46,4.87,8.28,28.5,96,16,5.8,57,STL
2015,ILB,72,231,4.59,4,6.68,33.5,120,19,5.2,140,OAK
2015,ILB,73,244,4.83,4.27,7.35,32,111,23,5.1,207,IND
2015,TE,77,254,0,0,0,0,0,26,5.4,92,DEN
2015,OLB,73,236,4.68,4.15,6.78,38,124,20,5.4,84,PHI
2015,RB,72,226,4.83,4.4,7.17,27,111,0,4.8,235,HOU
2015,FS,72,218,0,0,0,0,0,17,5.5,239,PIT
2015,OT,77,307,5.12,4.64,7.87,31,104,26,5.8,24,ARI
2015,QB,75,226,4.63,3.98,6.93,36,120,0,5.5,147,GNB
2015,DE,77,252,4.57,0,0,0,0,25,5.7,88,MIN
2015,DE,75,275,4.88,4.58,7.39,31,111,16,5,227,STL
2015,RB,72,247,5.02,4.33,7.24,31.5,110,30,4.8,231,TAM
2015,OG,76,330,5.52,0,0,25,96,0,5.7,111,NWE
2015,TE,79,261,4.83,4.5,0,37.5,121,26,5.1,160,PIT
2015,NT,73,304,5.06,4.56,7.37,31,112,30,5.8,137,ATL
2015,SS,70,200,4.57,4.4,6.95,33,109,21,5.2,181,WAS
2015,RB,73,224,4.5,4.27,6.82,41.5,127,25,5.3,86,ARI
2015,RB,69,207,4.54,0,0,33.5,121,0,5.9,77,CLE
2015,CB,72,188,4.52,3.89,6.79,41.5,130,0,5.9,16,HOU
2015,CB,73,199,0,3.94,6.78,44.5,147,0,5.3,27,DAL
2015,RB,74,231,4.61,4.2,0,31.5,112,20,5.3,95,WAS
2015,ILB,72,232,4.61,0,0,38,124,19,5.8,45,MIN
2015,OLB,74,253,0,0,0,0,0,0,5.8,44,NOR
2015,OG,77,310,0,0,0,0,0,0,5.3,112,WAS
2015,TE,77,255,0,0,0,0,0,0,5.4,229,JAX
2015,TE,77,246,0,0,0,0,0,17,5.4,85,CIN
2015,RB,72,208,4.42,4.32,7.22,34.5,118,0,5.3,106,CHI
2015,WR,76,214,4.58,4.28,7.11,33.5,119,16,5.3,234,BUF
2015,WR,74,192,4.61,4.13,6.92,36,114,10,5.4,156,MIA
2015,WR,70,182,4.4,4.07,6.89,35.5,121,0,5.5,69,SEA
2015,CB,71,201,4.44,4.07,6.83,38,130,17,5.4,83,SDG
2015,QB,78,229,5.14,4.39,7.29,31,105,0,5.3,89,STL
2015,QB,76,222,4.52,4.11,6.87,36,121,0,6.4,2,TEN
2015,C,76,307,4.98,4.47,7.33,30.5,108,30,5.4,61,TAM
2015,OLB,76,259,4.85,4.58,7.47,32,112,23,5.7,82,NYJ
2015,WR,74,224,4.67,4.13,6.93,35.5,117,0,5.6,123,CLE
2015,WR,72,210,4.41,4.08,6.96,38,122,16,5.3,245,TEN
2015,CB,69,195,4.51,3.82,6.8,36,130,17,5.3,145,MIA
2015,ILB,76,246,4.66,4.27,7.21,40.5,121,16,6,43,HOU
2015,OG,74,303,5.33,4.75,8.2,27,104,29,5.5,81,BUF
2015,WR,72,221,4.55,4.21,6.97,40.5,121,0,5.6,94,GNB
2015,OG,77,305,5.14,4.5,7.6,31,112,36,5.2,49,KAN
2015,WR,72,215,4.54,4.25,7.07,32.5,121,0,4.8,175,HOU
2015,RB,68,193,4.61,4.4,0,29,109,11,5.3,230,NOR
2015,OG,77,326,5.44,4.91,8.1,27.5,94,0,5.2,176,BAL
2015,CB,70,197,4.49,4.07,6.88,34.5,115,19,5.4,98,KAN
2015,DT,74,307,5.02,4.69,7.67,34,114,26,5.1,217,KAN
2015,OLB,74,232,0,0,0,0,0,24,5.1,236,DAL
2015,TE,75,252,4.93,4.5,0,30.5,110,21,5.4,194,BUF
2015,DE,75,267,4.62,4.19,7.36,39,127,25,5.7,74,NYG
2015,OT,77,306,0,0,0,0,0,23,5.9,21,CIN
2015,DE,75,250,4.8,4.43,7.28,31.5,115,0,5.8,51,CLE
2015,WR,75,209,4.45,0,0,36.5,125,17,6.2,14,MIA
2015,NT,73,308,5.38,0,0,29,103,34,5.4,151,IND
2015,OT,79,313,5.18,4.62,8.01,31,105,0,6.2,13,NOR
2015,WR,74,212,0,0,0,0,0,0,5.8,26,BAL
2015,ILB,71,236,4.78,0,0,32,113,27,5.7,48,SDG
2015,CB,72,197,4.53,4.08,7.08,37.5,121,17,5.8,18,KAN
2015,QB,75,230,4.87,4.13,6.91,34,121,0,5.3,103,NYJ
2015,NT,77,329,5.17,4.68,7.88,30,105,28,6.2,52,MIA
2015,DT,73,298,5,0,8,31,107,26,5.4,192,SDG
2015,P,77,229,0,0,0,0,0,0,5,165,SFO
2015,OG,77,307,5.09,4.66,7.9,31,113,25,5,130,SEA
2015,OG,77,335,5.32,4.89,8.09,26.5,95,26,5.4,66,TEN
2015,TE,74,251,4.58,4.37,0,38,118,17,5,143,MIN
2015,ILB,72,240,4.78,4.39,7.07,31,110,19,5.4,219,CLE
2015,FS,71,196,4.46,4.07,6.83,38,120,14,5.4,30,GNB
2015,DE,75,245,0,0,0,0,0,21,6.8,23,DEN
2015,SS,71,211,4.65,4.22,6.74,32,111,13,5.2,64,NWE
2015,OT,79,324,0,0,0,0,0,28,5.3,240,DET
2015,OLB,75,245,4.61,4.38,7.49,37,121,20,4.8,232,MIN
2015,RB,68,217,4.7,0,0,32,113,21,5.2,205,IND
2015,CB,71,195,4.57,4.28,7.1,36.5,122,14,5.8,62,GNB
2015,FS,73,205,4.45,3.97,6.7,39,125,19,5.4,47,PHI
2015,DE,76,269,4.75,4.47,7.25,32.5,119,25,5,163,DAL
2015,OLB,74,240,4.65,4.2,7.11,34.5,120,20,5.3,129,GNB
2015,OT,78,311,5.36,4.58,7.54,29,97,23,5.6,59,DEN
2015,SS,74,209,4.56,0,7.04,32.5,123,0,5.2,104,JAX
2015,OG,77,319,5.05,0,0,0,0,23,6.4,5,WAS
2015,CB,72,201,4.44,4.12,7.01,37.5,130,26,5.4,120,CIN
2015,NT,74,339,5.64,4.65,7.99,30.5,95,34,6.4,12,CLE
2015,OT,76,315,5.39,4.7,8.04,29,94,17,5.3,228,MIN
2015,CB,71,199,0,0,0,0,0,14,5.4,191,PHI
2015,NT,76,321,5.12,4.76,7.92,29.5,105,35,5,223,NYJ
2015,WR,74,226,0,0,0,0,0,0,5.5,132,SFO
2015,CB,70,187,4.45,4.26,6.96,36,124,18,5.6,65,IND
2015,FS,70,200,0,0,0,0,0,0,5.7,197,CIN
2015,WR,72,196,4.42,4.15,0,39,122,10,5.7,37,NYJ
2015,OG,78,338,5.27,4.79,7.95,32,109,26,5.3,34,TAM
2015,DE,77,271,4.74,4.28,7.07,34,121,24,5.6,38,WAS
2015,CB,72,195,4.6,3.96,6.97,36.5,124,15,4.9,170,SEA
2015,DE,76,274,4.83,4.66,7.42,29,113,23,5.5,122,BAL
2015,OLB,72,236,4.88,0,7.66,35,120,25,5.3,141,WAS
2015,WR,74,217,4.44,0,0,42,123,0,5.8,70,HOU
2015,CB,72,189,4.5,0,0,33,118,0,5.3,167,NOR
2015,SS,73,221,4.53,0,0,0,124,0,5.5,46,SFO
2015,TE,76,250,0,0,0,0,0,20,0,198,CLE
2015,OLB,72,228,4.64,4.08,6.99,33.5,117,0,6,25,CAR
2015,OT,77,324,0,4.92,0,29,97,29,5.5,185,MIN
2015,OG,75,323,5.33,4.87,8.17,31.5,103,25,5.6,28,DET
2015,OLB,74,246,0,0,0,42.5,132,26,5.2,148,NOR
2015,OLB,77,251,4.83,4.37,7.59,36.5,121,0,5.4,179,OAK
2015,TE,76,251,4.79,4.57,0,35,120,20,5.6,68,OAK
2015,WR,78,238,4.46,4.25,7.07,37,125,12,5.4,204,BAL
2015,DT,77,319,5.25,4.78,7.91,27,103,25,5.4,199,PIT
2015,CB,72,186,4.31,4.39,7.06,38,122,19,6.2,11,MIN
2015,WR,75,215,4.35,4.14,6.92,36.5,123,23,6.2,7,CHI
2015,CB,69,183,4.63,0,0,35.5,121,18,5.3,7,CHI
