year,name,position,heightfeet,heightinches,heightinchestotal,weight,fortyyd,twentyss,threecone,vertical,broad,bench,college,nflgrade,Pick,Tm,Name,Pos,Age,To,G,College/Univ,PICK,TEAM,PLAYER,POS,COLLEGE,YRS,DOLLARS,S.BONUS,G'TEED,2015 CAP HIT
2015,Mario Edwards, DT,6,3,75,279,4.84,4.55,7.44,32.5,120,32,Florida St.,5.6,35,OAK,Mario Edwards,DT,21,2015,12,Florida St.,35,OAK,Mario Edwards,DE,Florida State,4,"$6,017,162","$2,636,118",-,"$1,094,029"
2015,Ifo Ekpre-Olomu,CB,5,9,69,192,0,0,0,0,0,0,Oregon,5.6,241,CLE,Ifo Ekpre-Olomu,CB,22,,,Oregon,241,CLEfrom ARI,Ifo Ekpre-Olomu,CB,Oregon,4,"$2,337,301","$57,301","$57,301","$449,325"
2015,Kyle Emanuel,OLB,6,3,75,255,4.77,4.25,7.1,34,120,27,North Dakota St.,5.5,153,SDG,Kyle Emanuel,OLB,24,2015,12,North Dakota St.,153,SD,Kyle Emanuel,OLB,North Dakota State,4,"$2,498,572","$218,572","$218,572","$489,643"
2015,Cameron Erving,C,6,5,77,313,5.15,4.63,7.48,30.5,112,30,Florida St.,5.8,19,CLE,Cameron Erving,C,23,2015,12,Florida St.,19,CLEfrom BUF,Cameron Erving,C,Florida State,4,"$9,429,065","$5,117,502","$9,429,065","$1,714,375"
2015,Tayo Fabuluje,OG,6,6,78,353,5.55,4.77,0,29.5,0,0,TCU,5.3,183,CHI,Tayo Fabuluje,T,24,2015,4,TCU,183,CHI,Tayo Fabuluje,T,Texas Christian,4,"$2,411,364","$131,364","$131,364","$467,841"
2015,Jon Feliciano,OG,6,4,76,323,5.33,4.74,0,26.5,97,0,Miami,4.8,128,OAK,Jon Feliciano,G,23,2015,3,Miami (FL),128,"OAKfrom IND 
via TB",Jon Feliciano,G,Miami (FL),4,"$2,740,652","$460,652","$460,652","$550,163"
2015,Jake Fisher,OT,6,6,78,306,5.01,4.33,7.25,32.5,0,25,Oregon,5.7,53,CIN,Jake Fisher,T,22,2015,12,Oregon,53,CIN,Jake Fisher,LT,Oregon,4,"$4,259,520","$1,357,833","$1,986,448","$774,458"
2015,Ereck Flowers,OT,6,6,78,329,5.31,0,0,0,0,37,Miami,6,9,NYG,Ereck Flowers,T,21,2015,11,Miami (FL),9,NYG,Ereck Flowers,LT,Miami (FL),4,"$14,391,719","$8,726,705","$14,391,719","$2,616,676"
2015,Trey Flowers,DE,6,2,74,266,4.93,4.4,7.34,36.5,121,28,Arkansas,5.6,101,NWE,Trey Flowers,DE,22,2015,1,Arkansas,101,NEfrom TB,Trey Flowers,DE,Arkansas,4,"$2,838,932","$558,932","$558,932","$574,733"
2015,Jalston Fowler,FB,5,11,71,254,4.94,4.4,7.56,33.5,114,23,Alabama,5.1,108,TEN,Jalston Fowler,FB,25,2015,12,Alabama,108,TENfrom NYG,Jalston Fowler,FB,Alabama,4,"$2,817,716","$537,716","$537,716","$569,429"
2015,Devin Funchess,WR,6,4,76,232,4.7,0,0,38.5,122,17,Michigan,5.6,41,CAR,Devin Funchess,TE,21,2015,12,Michigan,41,CARfrom STL,Devin Funchess,WR,Michigan,4,"$5,520,887","$2,275,190","$2,961,140","$1,003,797"
2015,Charles Gaines,CB,5,10,70,180,4.44,4.2,7.07,34.5,123,0,Louisville,5.5,189,CLE,Charles Gaines,CB,22,2015,3,Louisville,189,CLE,Charles Gaines,CB,Louisville,4,"$2,402,137","$122,137","$122,137","$465,534"
2015,Andy Gallik,C,6,2,74,306,5.5,4.58,7.66,27,96,29,Boston College,5.5,208,TEN,Andy Gallik,C,24,2015,9,Boston Col.,208,TENfrom NE,Andy Gallik,C,Boston College,4,"$2,381,473","$101,473","$101,473","$460,368"
2015,Max Garcia,C,6,4,76,309,0,0,0,0,0,0,Florida,5.2,133,DEN,Max Garcia,C,,2015,11,Florida,133 (C),DEN,Max Garcia,G,Florida,4,"$2,625,692","$345,692","$345,692","$521,423"
2015,Clayton Geathers,SS,6,2,74,218,4.55,4.27,7.21,37,120,22,Central Florida,5.2,109,IND,Clayton Geathers,SS,23,2015,11,Central Florida,109,"INDfrom STL 
via TB",Clayton Geathers,FS,Central Florida,4,"$2,813,930","$533,930","$533,930","$568,482"
2015,Laurence Gibson,OT,6,6,78,305,5.04,4.56,7.72,33.5,113,24,Virginia Tech,4.9,243,DAL,Laurence Gibson,T,24,,,Virginia Tech,243,DALfrom BAL,Laurence Gibson,T,Virginia Tech,4,"$2,336,353","$56,353","$56,353","$449,088"
2015,Mark Glowinski,OG,6,4,76,307,5.2,4.58,7.56,29.5,113,31,West Virginia,5.4,134,SEA,Mark Glowinski,G,23,2015,5,West Virginia,134 (C),SEA,Mark Glowinski,G,West Virginia,4,"$2,625,692","$345,692","$345,692","$521,423"
2015,Markus Golden,DE,6,2,74,260,4.9,0,0,0,0,0,Missouri,5.5,58,ARI,Markus Golden,DE,24,2015,12,Missouri,58,ARIfrom BAL,Markus Golden,OLB,Missouri,4,"$3,918,330","$1,109,695","$1,722,802","$712,424"
2015,Eddie Goldman,DT,6,4,76,336,0,0,0,0,0,0,Florida St.,6.1,39,CHI,Eddie Goldman,DT,21,2015,12,Florida St.,39,CHI,Eddie Goldman,DT,Florida State,4,"$5,686,314","$2,395,501","$3,088,970","$1,033,875"
2015,Senquez Golson,CB,5,9,69,176,4.46,4.2,6.81,33.5,120,15,Mississippi,5.8,56,PIT,Senquez Golson,CB,22,,,Mississippi,56,PIT,Senquez Golson,CB,Mississippi,4,"$4,001,041","$1,169,848","$1,786,713","$727,462"
2015,Melvin Gordon,RB,6,1,73,215,4.52,4.07,7.04,35,126,19,Wisconsin,6.2,15,SDG,Melvin Gordon,RB,22,2015,12,Wisconsin,15,SDfrom SF,Melvin Gordon,RB,Wisconsin,4,"$10,669,773","$6,019,835","$10,669,773","$1,939,958"
2015,Doran Grant,CB,5,10,70,200,4.44,4.33,0,33,116,21,Ohio St.,5.3,121,PIT,Doran Grant,CB,22,,,Ohio St.,121,PIT,Doran Grant,CB,Ohio State,4,"$2,769,013","$489,013","$489,013","$557,253"
2015,Hroniss Grasu,C,6,3,75,297,0,0,0,0,0,0,Oregon,5.7,71,CHI,Hroniss Grasu,C,24,2015,5,Oregon,71,CHI,Hroniss Grasu,C,Oregon,4,"$3,258,919","$761,919","$761,919","$625,479"
2015,Garrett Grayson,QB,6,2,74,213,0,0,0,0,0,0,Colorado St.,5.4,75,NOR,Garrett Grayson,QB,24,2015,1,Colorado St.,75,NO,Garrett Grayson,QB,Colorado State,4,"$3,400,605","$733,167","$733,167","$618,291"
2015,Chaz Green,OT,6,5,77,314,5.16,4.7,8,29.5,106,21,Florida,5.1,91,DAL,Chaz Green,T,23,,,Florida,91,DAL,Chaz Green,T,Florida,4,"$2,951,326","$624,371","$624,371","$591,092"
2015,Dorial Green-Beckham,WR,6,5,77,237,4.49,4.45,6.89,33.5,119,13,Missouri,5.7,40,TEN,Dorial Green-Beckham,WR,22,2015,12,Oklahoma,40,TENfrom NYG,Dorial Green-Beckham,WR,Missouri,4,"$5,603,597","$2,335,344","$3,025,053","$1,018,836"
2015,Rashad Greene,WR,5,11,71,182,4.53,4.12,6.88,36.5,122,0,Florida St.,5.7,139,JAX,Rashad Greene,WR,23,2015,5,Florida St.,139,JAC,Rashad Greene,WR,Florida State,4,"$2,523,814","$243,814","$243,814","$495,953"
2015,Randy Gregory,OLB,6,5,77,235,4.64,0,0,36.5,125,24,Nebraska,6.4,60,DAL,Randy Gregory,OLB,22,2015,8,Nebraska,60,DAL,Randy Gregory,OLB,Nebraska,4,"$3,814,936","$1,034,499","$1,404,499","$693,624"
2015,Todd Gurley,RB,6,1,73,222,0,0,0,0,0,17,Georgia,6.3,10,STL,Todd Gurley,RB,21,2015,10,Georgia,10,STL,Todd Gurley,RB,Georgia,4,"$13,823,183","$8,313,224","$9,376,550","$2,513,306"
2015,Obum Gwacham,DE,6,5,77,246,4.72,4.28,7.28,36,121,22,Oregon St.,5.2,209,SEA,Obum Gwacham,DE,24,2015,5,Oregon St.,209 (C),SEA,Obum Gwacham,DE,Oregon State,4,"$2,370,487","$90,487","$90,487","$457,621"
2015,Bryce Hager,ILB,6,1,73,234,4.6,4.36,7.15,35,117,26,Baylor,5.1,224,STL,Bryce Hager,ILB,23,2015,12,Baylor,224,"STLfrom CHI 
via NYJ",Bryce Hager,ILB,Baylor,4,"$2,352,141","$72,141","$72,141","$453,035"
2015,Marcus Hardison,DE,6,3,75,307,0,0,0,0,0,27,Arizona State,5.6,135,CIN,Marcus Hardison,DE,23,,,Arizona St.,135 (C),CIN,Marcus Hardison,DE,Arizona State,4,"$2,625,692","$345,692","$345,692","$521,423"
2015,Justin Hardy,WR,5,10,70,192,4.56,4.21,6.63,36.5,114,11,East Carolina,5.4,107,ATL,Justin Hardy,WR,23,2015,5,East Carolina,107,ATL,Justin Hardy,WR,East Carolina,4,"$2,820,821","$540,821","$540,821","$570,205"
2015,Eli Harold,OLB,6,3,75,247,4.6,4.16,7.07,35,123,0,Virginia,5.9,79,SFO,Eli Harold,OLB,21,2015,12,Virginia,79,SF,Eli Harold,LB,Virginia,4,"$3,168,585","$697,373","$697,373","$624,343"
2015,Jarvis Harrison,OG,6,4,76,330,5.19,4.62,7.51,29.5,102,26,Texas A&M,5.7,152,NYJ,Jarvis Harrison,G,23,,,Texas A&M,152,NYJfrom HOU,Jarvis Harrison,G,Texas A&M,4,"$2,499,847","$219,847","$219,847","$489,962"
2015,Bobby Hart,OG,6,5,77,329,0,0,0,0,0,0,Florida St.,5.1,226,NYG,Bobby Hart,G,21,2015,5,Florida St.,226,NYG,Bobby Hart,G,Florida State,4,"$2,351,589","$71,589","$71,589","$452,897"
2015,Rob Havenstein,OT,6,7,79,321,5.46,4.87,8.28,28.5,96,16,Wisconsin,5.8,57,STL,Rob Havenstein,T,,2015,9,Wisconsin,57,STLfrom CAR,Rob Havenstein,RT,Wisconsin,4,"$3,970,021","$1,147,288","$1,762,743","$721,822"
2015,Ben Heeney,ILB,6,0,72,231,4.59,4,6.68,33.5,120,19,Kansas,5.2,140,OAK,Ben Heeney,ILB,22,2015,11,Kansas,140,OAK,Ben Heeney,ILB,Kansas,4,"$2,522,724","$242,724","$242,724","$495,681"
2015,Amarlo Herrera,ILB,6,1,73,244,4.83,4.27,7.35,32,111,23,Georgia,5.1,207,IND,Amarlo Herrera,ILB,24,2015,1,Georgia,207,INDfrom SEA,Amarlo Herrera,ILB,Georgia,4,"$2,384,656","$104,656","$104,656","$461,164"
2015,Jeff Heuerman,TE,6,5,77,254,0,0,0,0,0,26,Ohio St.,5.4,92,DEN,Jeff Heuerman,TE,22,,,Ohio St.,92,DEN,Jeff Heuerman,TE,Ohio State,4,"$2,968,477","$620,806","$620,806","$590,201"
2015,Jordan Hicks,OLB,6,1,73,236,4.68,4.15,6.78,38,124,20,Texas,5.4,84,PHI,Jordan Hicks,OLB,23,2015,8,Texas,84,PHI,Jordan Hicks,OLB,Texas,4,"$2,992,732","$652,732","$652,732","$598,183"
2015,Kenny Hilliard,RB,6,0,72,226,4.83,4.4,7.17,27,111,0,LSU,4.8,235,HOU,Kenny Hilliard,RB,23,,,LSU,235,HOU,Kenny Hilliard,RB,Louisiana State,4,"$2,345,379","$65,379","$65,379","$451,344"
2015,Gerod Holliman,FS,6,0,72,218,0,0,0,0,0,17,Louisville,5.5,239,PIT,Gerod Holliman,FS,21,,,Louisville,239,PIT,Gerod Holliman,FS,Louisville,4,"$2,338,515","$58,515","$58,515","$449,628"
2015,D.J. Humphries,OT,6,5,77,307,5.12,4.64,7.87,31,104,26,Florida,5.8,24,ARI,D.J. Humphries,T,21,,,Florida,24,ARI,D.J. Humphries,RT,Florida,4,"$8,912,112","$4,741,536","$7,261,824","$1,620,384"
2015,Brett Hundley,QB,6,3,75,226,4.63,3.98,6.93,36,120,0,UCLA,5.5,147,GNB,Brett Hundley,QB,22,,,UCLA,147,"GBfrom CLE 
via NE",Brett Hundley,QB,California-Los Angeles,4,"$2,503,633","$223,633","$223,633","$490,908"
2015,Danielle Hunter,DE,6,5,77,252,4.57,0,0,0,0,25,LSU,5.7,88,MIN,Danielle Hunter,DE,20,2015,10,LSU,88,MINfrom DET,Danielle Hunter,DE,Louisiana State,4,"$3,077,390","$627,223","$627,223","$591,805"
