1,1,HOU,Jadeveon Clowney,DE,21,2015,0,0,0,1,1,14,,,,,,,,,,,,26,,2.5,South Carolina,College Stats
1,2,STL,Greg Robinson,T,21,2015,0,0,2,6,6,28,,,,,,,,,,,,2,,,Auburn,College Stats
1,3,JAX,Blake Bortles,QB,22,2015,0,0,2,5,5,26,552,946,6182,38,30,95,663,0,,,,2,,,Central Florida,College Stats
1,4,BUF,Sammy Watkins,WR,21,2015,0,0,1,8,8,25,,,,,,2,8,0,99,1617,12,3,,,Clemson,College Stats
1,5,OAK,Khalil Mack,LB,23,2015,0,0,2,7,7,28,,,,,,,,,,,,99,,13,Buffalo,College Stats
1,6,ATL,Jake Matthews,T,22,2015,0,0,2,8,8,27,,,,,,,,,,,,1,,,Texas A&M,College Stats
1,7,TAM,Mike Evans,WR,21,2015,0,0,2,7,7,26,,,,,,,,,122,1901,15,4,,,Texas A&M,College Stats
1,8,CLE,Justin Gilbert,DB,22,2015,0,0,0,2,2,22,,,,,,,,,,,,29,1,,Oklahoma St.,College Stats
1,9,MIN,Anthony Barr,LB,22,2015,0,0,2,7,7,24,,,,,,,,,,,,106,1,6.5,UCLA,College Stats
1,10,DET,Eric Ebron,TE,21,2015,0,0,0,2,2,23,,,,,,,,,56,605,5,,,,North Carolina,College Stats
1,11,TEN,Taylor Lewan,T,23,2015,0,0,1,3,3,23,,,,,,,,,,,,,,,Michigan,College Stats
1,12,NYG,Odell Beckham,WR,21,2015,0,1,2,11,11,24,0,1,0,0,0,8,38,0,169,2459,22,3,,,LSU,College Stats
1,13,STL,Aaron Donald,DT,23,2015,0,1,2,11,11,28,,,,,,,,,,,,69,,17,Pittsburgh,College Stats
1,14,CHI,Kyle Fuller,DB,22,2015,0,0,2,5,5,28,,,,,,,,,,,,86,5,,Virginia Tech,College Stats
1,15,PIT,Ryan Shazier,LB,22,2015,0,0,0,2,2,17,,,,,,,,,,,,67,,3,Ohio St.,College Stats
1,16,DAL,Zack Martin,G,23,2015,1,1,2,14,14,28,,,,,,,,,,,,1,,,Notre Dame,College Stats
1,17,BAL,C.J. Mosley,LB,22,2015,0,1,2,13,13,28,,,,,,,,,,,,157,2,6,Alabama,College Stats
1,18,NYJ,Calvin Pryor,DB,22,2015,0,0,1,5,5,25,,,,,,,,,,,,75,1,0.5,Louisville,College Stats
1,19,MIA,Ja'Wuan James,T,22,2015,0,0,1,9,9,23,,,,,,,,,,,,1,,,Tennessee,College Stats
1,20,NOR,Brandin Cooks,WR,21,2015,0,0,1,5,5,22,,,,,,11,81,1,114,1390,10,2,,,Oregon St.,College Stats
1,21,GNB,Ha Ha Clinton-Dix,DB,21,2015,0,0,2,4,4,28,,,,,,,,,,,,143,3,3,Alabama,College Stats
1,22,CLE,Johnny Manziel,QB,21,2015,0,0,0,1,1,12,94,163,1108,5,4,26,119,1,,,,,,,Texas A&M,College Stats
1,23,KAN,Dee Ford,LB,23,2015,0,0,0,1,1,26,,,,,,,,,,,,12,,1.5,Auburn,College Stats
1,24,CIN,Darqueze Dennard,DB,22,2015,0,0,0,1,1,24,,,,,,,,,,,,28,1,1,Michigan St.,College Stats
1,25,SDG,Jason Verrett,DB,23,2015,0,0,1,2,2,17,,,,,,,,,,,,47,3,,TCU,College Stats
1,26,PHI,Marcus Smith,LB,22,2015,0,0,0,0,0,17,,,,,,,,,,,,,,,Louisville,College Stats
1,27,ARI,Deone Bucannon,DB,22,2015,0,0,1,4,4,28,,,,,,,,,,,,133,,4,Washington St.,College Stats
1,28,CAR,Kelvin Benjamin,WR,23,2014,0,0,1,8,8,16,,,,,,,,,73,1008,9,2,,,Florida St.,College Stats
1,29,NWE,Dominique Easley,DT,22,2015,0,0,0,2,2,21,,,,,,,,,,,,14,1,2,Florida,College Stats
1,30,SFO,Jimmie Ward,DB,23,2015,0,0,0,1,1,20,,,,,,,,,,,,47,1,,Northern Illinois,College Stats
1,31,DEN,Bradley Roby,DB,22,2015,0,0,0,2,2,28,,,,,,,,,,,,86,3,1,Ohio St.,College Stats
1,32,MIN,Teddy Bridgewater,QB,21,2015,0,0,2,9,9,25,484,749,5317,22,20,82,367,3,,,,1,,,Louisville,College Stats
2,33,HOU,Xavier Su'a-Filo,G,23,2015,0,0,0,1,1,20,,,,,,,,,,,,,,,UCLA,College Stats
2,34,DAL,Demarcus Lawrence,DE,22,2015,0,0,0,1,1,19,,,,,,,,,,,,30,,5,Boise St.,College Stats
2,35,CLE,Joel Bitonio,G,22,2015,0,0,2,6,6,26,,,,,,,,,,,,2,,,Nevada,College Stats
2,36,OAK,Derek Carr,QB,23,2015,0,0,2,5,5,28,619,1025,6448,47,21,48,150,0,,,,1,,,Fresno St.,College Stats
2,37,ATL,Ra'Shede Hageman,DT,24,2015,0,0,0,1,1,28,,,,,,,,,,,,25,,2,Minnesota,College Stats
2,38,TAM,Austin Seferian-Jenkins,TE,22,2015,0,0,1,2,2,12,,,,,,,,,31,391,4,1,,,Washington,College Stats
2,39,JAX,Marqise Lee,WR,22,2015,0,0,1,3,3,19,,,,,,7,38,0,43,490,1,2,,,USC,College Stats
2,40,DET,Kyle Van Noy,LB,24,2015,0,0,0,1,1,19,,,,,,,,,,,,9,,1,BYU,College Stats
2,41,STL,Lamarcus Joyner,DB,23,2015,0,0,0,1,1,22,,,,,,,,,,,,78,,3,Florida St.,College Stats
2,42,PHI,Jordan Matthews,WR,22,2015,0,0,1,6,6,28,,,,,,,,,128,1533,12,,,,Vanderbilt,College Stats
2,43,NYG,Weston Richburg,OL,23,2015,0,0,2,8,8,27,,,,,,,,,,,,,,,Colorado St.,College Stats
