,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,1,Sun,September 3,boxscore,Washington Redskins,H,Carolina Panthers,20,17,396,0,236,1,,2000,2000,Washington Redskins,8,8,0,0.5,281,269,12,0.8,0.2,1,-2.9,3.8,,24,Washington Redskins,16,281,5396,1038,5.2,33,12,308,343,561,3648,18,21,6.2,185,445,1748,14,3.9,98,115,1009,25,27.1,15.6,-39.65,,10,Washington Redskins,16,343,561,61.1,3648,18,3.2,21,3.7,77,6.9,5.9,11.3,228,77,,32,244,6.2,5.2,5.4,1,4,26.03,,19,Washington Redskins,16,445,1748,14,50,3.9,109.3,22,-63.83,,20,Washington Redskins,16,36,356,0,57,9.9,63,1301,0,49,20.7,7268,,22,Washington Redskins,16,2,,11,11,9,5,7,3,2,1,30,20,66.7%,29,27,93.1%,79,3160,53,0,40,,24,Washington Redskins,16,14,18,,,,,,32,,3,27,29,20,30,1,281,17.6,,2000,2000,7,Washington Redskins,16,269,4474,937,4.8,33,16,254,254,462,2621,12,17,5.2,134,430,1853,9,4.3,97,106,790,23,28.3,16.7,86.12,,2,Washington Redskins,16,254,462,55,2621,12,2.6,17,3.7,6.3,5.1,11.4,163.8,67.4,45,283,5.2,4.1,8.9,62.41,,22,Washington Redskins,16,430,1853,9,4.3,115.8,,18.48,,9,Washington Redskins,16,,,,,,,,,,,34,30,88.2%,23,23,100.0%,79,3389,,42.9,,8,Washington Redskins,16,9,12,2,1,1,1,,,,,23,23,30,34,,269,16.8,,2000,2000,Carolina Panthers,7,9,0,0.438,310,310,0,0,-1.1,-1.1,-3.6,2.5,,21,Carolina Panthers,16,310,4654,998,4.7,35,16,304,340,566,3468,19,19,5.5,201,363,1186,7,3.3,63,84,683,40,32.4,18.2,-65.61,,12,Carolina Panthers,16,340,566,60.1,3468,19,3.4,19,3.4,54,6.8,6,11.3,216.8,77.7,,69,382,5.5,4.7,10.9,2,2,-9.33,,29,Carolina Panthers,16,363,1186,7,43,3.3,74.1,25,-46.59,,31,Carolina Panthers,16,21,238,1,64,11.3,55,1160,1,92,21.1,6441,,27,Carolina Panthers,16,1,1,15,13,9,8,8,7,2,2,35,31,88.6%,29,29,100.0%,66,2536,66,2,38.4,,21,Carolina Panthers,16,7,19,1,1,,2,1,31,1,2,29,29,31,35,,310,19.4,,2000,2000,12,Carolina Panthers,16,310,5656,1005,5.6,38,21,304,352,552,3712,19,17,6.4,184,426,1944,12,4.6,107,128,1073,13,28.7,19.1,26.32,,26,Carolina Panthers,16,352,552,63.8,3712,19,3.4,17,3.1,7.1,6.4,11.2,232,83.6,27,226,6.4,5.7,4.7,-20.26,,26,Carolina Panthers,16,426,1944,12,4.6,121.5,,35.19,,5,Carolina Panthers,16,,,,,,,,,,,30,20,66.7%,31,30,96.8%,58,2308,,39.8,,11,Carolina Panthers,16,12,19,,,2,2,,,2,,30,31,20,30,3,310,19.4
2000,1,Sun,September 3,boxscore,Tampa Bay Buccaneers,A,New England Patriots,21,16,296,1,278,1,,2000,2000,Tampa Bay Buccaneers,10,6,0,0.625,388,269,119,7.4,-0.1,7.3,3.4,3.9,,7,Tampa Bay Buccaneers,16,388,4649,961,4.8,24,11,275,237,433,2583,18,13,5.5,144,490,2066,18,4.2,111,82,702,20,32.7,10.2,-51.6,,26,Tampa Bay Buccaneers,16,237,433,54.7,2583,18,4.2,13,3,75,6.5,6,11.9,161.4,76.2,,38,241,5.5,5,8.1,3,3,-6.04,,9,Tampa Bay Buccaneers,16,490,2066,18,70,4.2,129.1,16,-36.14,,23,Tampa Bay Buccaneers,16,39,337,1,73,8.6,55,1255,0,48,22.8,6524,,2,Tampa Bay Buccaneers,16,,,8,8,10,8,9,7,7,5,34,28,82.4%,42,42,100.0%,85,3551,63,0,41.8,,7,Tampa Bay Buccaneers,16,18,18,1,,1,4,1,43,1,1,42,42,28,34,1,388,24.3,,2000,2000,8,Tampa Bay Buccaneers,16,269,4800,1047,4.6,41,16,283,339,594,3152,15,25,4.9,180,398,1648,12,4.1,84,95,688,19,24.1,19.7,141.19,,13,Tampa Bay Buccaneers,16,339,594,57.1,3152,15,2.5,25,4.2,5.9,4.5,10.3,197,65,55,332,4.9,3.6,8.5,111.91,,9,Tampa Bay Buccaneers,16,398,1648,12,4.1,103,,14.34,,30,Tampa Bay Buccaneers,16,,,,,,,,,,,32,22,68.8%,25,25,100.0%,89,3560,,40,,25,Tampa Bay Buccaneers,16,12,15,1,,,1,,,2,,25,25,22,32,,269,16.8,,2000,2000,New England Patriots,5,11,0,0.313,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,,25,New England Patriots,16,276,4571,1037,4.4,25,10,283,328,565,3181,18,15,5.2,172,424,1390,9,3.3,80,99,815,31,27.7,12.8,-101.45,,19,New England Patriots,16,328,565,58.1,3181,18,3.2,15,2.7,59,6.1,5.6,10.6,198.8,75.5,,48,280,5.2,4.7,7.8,2,3,-17.49,,26,New England Patriots,16,424,1390,9,35,3.3,86.9,23,-79.06,,9,New England Patriots,16,45,562,1,66,12.5,64,1335,0,47,20.9,6754,,13,New England Patriots,16,,,13,11,9,8,8,7,3,1,33,27,81.8%,25,25,100.0%,90,3841,62,1,42.7,,25,New England Patriots,16,9,18,1,,,,,28,1,1,25,25,27,33,,276,17.3,,2000,2000,17,New England Patriots,16,338,5353,1068,5,23,13,326,321,544,3522,23,10,6.1,184,495,1831,12,3.7,108,95,897,34,31.2,11.6,-25.74,,21,New England Patriots,16,321,544,59,3522,23,4.2,10,1.8,6.8,6.8,11.5,220.1,86,29,172,6.1,6.2,5.1,-90.93,,21,New England Patriots,16,495,1831,12,3.7,114.4,,56.12,,19,New England Patriots,16,,,,,,,,,,,32,24,75.0%,34,34,100.0%,87,3515,,40.4,,7,New England Patriots,16,12,23,,1,,2,,,1,,34,34,24,32,1,338,21.1
